date,comp_price_avg,comp_price_min,comp_price_max
2023-07-01,991.85,942.26,1041.44
2023-07-08,978.5,929.57,1027.43
2023-07-15,981.86,932.77,1030.95
2023-07-22,987.44,938.07,1036.81
2023-07-29,997.09,947.24,1046.94
2023-08-05,1011.46,960.89,1062.03
2023-08-12,1016.59,965.76,1067.42
2023-08-19,997.52,947.64,1047.4
2023-08-26,1000.87,950.83,1050.91
2023-09-02,992.35,942.73,1041.97
2023-09-09,985.54,936.26,1034.82
2023-09-16,997.83,947.94,1047.72
2023-09-23,1010.11,959.6,1060.6200000000001
2023-09-30,1000.13,950.12,1050.14
2023-10-07,1007.88,957.49,1058.27
2023-10-14,992.0,942.4,1041.6
2023-10-21,996.54,946.7099999999999,1046.37
2023-10-28,990.76,941.22,1040.3
2023-11-04,985.51,936.23,1034.79
2023-11-11,996.58,946.75,1046.41
2023-11-18,991.79,942.1999999999999,1041.3799999999999
2023-11-25,1000.56,950.53,1050.59
2023-12-02,999.87,949.88,1049.86
2023-12-09,998.52,948.59,1048.45
2023-12-16,1003.98,953.78,1054.18
2023-12-23,1001.58,951.5,1051.66
2023-12-30,996.54,946.7099999999999,1046.37
2024-01-06,998.83,948.8900000000001,1048.77
2024-01-13,997.64,947.76,1047.52
2024-01-20,1017.16,966.3,1068.02
2024-01-27,1025.36,974.0899999999999,1076.6299999999999
2024-02-03,1033.03,981.38,1084.68
2024-02-10,1035.7,983.9100000000001,1087.49
2024-02-17,1010.93,960.38,1061.48
2024-02-24,1023.02,971.87,1074.17
2024-03-02,1001.2,951.1400000000001,1051.26
2024-03-09,992.66,943.03,1042.29
2024-03-16,992.26,942.65,1041.87
2024-03-23,989.48,940.01,1038.95
2024-03-30,1001.51,951.43,1051.59
2024-04-06,980.61,931.58,1029.64
2024-04-13,989.6,940.12,1039.08
2024-04-20,976.47,927.65,1025.29
2024-04-27,969.09,920.64,1017.5400000000001
2024-05-04,984.25,935.04,1033.46
2024-05-11,994.31,944.5899999999999,1044.03
2024-05-18,1002.07,951.97,1052.17
2024-05-25,999.08,949.13,1049.03
2024-06-01,986.3,936.99,1035.61
2024-06-08,998.82,948.8800000000001,1048.76
2024-06-15,1009.0,958.55,1059.45
2024-06-22,1015.58,964.8000000000001,1066.3600000000001
2024-06-29,1015.32,964.5500000000001,1066.0900000000001
2024-07-06,1007.28,956.92,1057.6399999999999
2024-07-13,1004.58,954.35,1054.81
2024-07-20,1000.65,950.62,1050.68
2024-07-27,1022.91,971.76,1074.06
2024-08-03,1029.39,977.9200000000001,1080.8600000000001
2024-08-10,1036.4,984.58,1088.22
2024-08-17,1042.95,990.8000000000001,1095.1000000000001
2024-08-24,1032.89,981.2500000000001,1084.5300000000002
2024-08-31,1022.68,971.55,1073.81
2024-09-07,1027.82,976.43,1079.21
2024-09-14,1027.72,976.33,1079.1100000000001
2024-09-21,1026.81,975.4699999999999,1078.1499999999999
2024-09-28,1053.78,1001.0899999999999,1106.47
2024-10-05,1051.08,998.53,1103.6299999999999
2024-10-12,1048.45,996.0300000000001,1100.8700000000001
2024-10-19,1058.68,1005.7500000000001,1111.6100000000001
2024-10-26,1061.23,1008.1700000000001,1114.29
2024-11-02,1048.46,996.0400000000001,1100.88
2024-11-09,1045.71,993.4200000000001,1098.0
2024-11-16,1026.54,975.2099999999999,1077.87
2024-11-23,1013.11,962.45,1063.77
2024-11-30,1017.49,966.62,1068.36
2024-12-07,1007.67,957.29,1058.05
2024-12-14,1016.57,965.74,1067.4
