date,cci_current,cci_baseline,google_trends_score
2023-07-01,100.0,100.0,55.6
2023-07-08,101.3,100.0,43.7
2023-07-15,98.8,100.0,53.2
2023-07-22,99.7,100.0,41.8
2023-07-29,97.4,100.0,34.9
2023-08-05,98.9,100.0,50.0
2023-08-12,100.1,100.0,44.7
2023-08-19,98.4,100.0,51.4
2023-08-26,100.3,100.0,41.0
2023-09-02,98.0,100.0,35.9
2023-09-09,98.3,100.0,36.5
2023-09-16,103.3,100.0,39.6
2023-09-23,102.4,100.0,39.2
2023-09-30,95.4,100.0,32.6
2023-10-07,98.1,100.0,34.1
2023-10-14,100.5,100.0,38.9
2023-10-21,100.3,100.0,39.4
2023-10-28,100.2,100.0,48.2
2023-11-04,101.0,100.0,34.9
2023-11-11,100.4,100.0,42.6
2023-11-18,102.6,100.0,43.0
2023-11-25,101.6,100.0,44.8
2023-12-02,99.7,100.0,43.7
2023-12-09,98.4,100.0,50.8
2023-12-16,101.8,100.0,53.1
2023-12-23,99.0,100.0,55.7
2023-12-30,99.9,100.0,53.4
2024-01-06,99.1,100.0,56.7
2024-01-13,101.6,100.0,44.6
2024-01-20,97.3,100.0,51.7
2024-01-27,100.6,100.0,56.3
2024-02-03,98.9,100.0,65.4
2024-02-10,98.7,100.0,60.1
2024-02-17,101.3,100.0,55.0
2024-02-24,98.9,100.0,63.6
2024-03-02,97.1,100.0,61.4
2024-03-09,98.0,100.0,62.6
2024-03-16,100.4,100.0,65.8
2024-03-23,101.9,100.0,63.8
2024-03-30,99.2,100.0,59.3
2024-04-06,93.5,100.0,59.1
2024-04-13,100.2,100.0,62.9
2024-04-20,100.3,100.0,59.8
2024-04-27,98.2,100.0,53.5
2024-05-04,99.6,100.0,64.9
2024-05-11,104.4,100.0,57.6
2024-05-18,101.2,100.0,55.9
2024-05-25,99.4,100.0,59.7
2024-06-01,99.7,100.0,55.3
2024-06-08,98.9,100.0,56.6
2024-06-15,100.6,100.0,63.3
2024-06-22,99.1,100.0,58.1
2024-06-29,101.1,100.0,45.8
2024-07-06,97.3,100.0,54.1
2024-07-13,96.6,100.0,52.0
2024-07-20,100.2,100.0,42.5
2024-07-27,99.9,100.0,40.4
2024-08-03,101.0,100.0,47.6
2024-08-10,100.3,100.0,43.6
2024-08-17,102.0,100.0,46.1
2024-08-24,99.2,100.0,37.1
2024-08-31,101.5,100.0,30.5
2024-09-07,100.6,100.0,42.5
2024-09-14,99.9,100.0,38.0
2024-09-21,99.8,100.0,41.8
2024-09-28,100.2,100.0,36.0
2024-10-05,99.2,100.0,40.7
2024-10-12,98.1,100.0,44.4
2024-10-19,101.2,100.0,41.5
2024-10-26,101.2,100.0,44.8
2024-11-02,100.5,100.0,42.0
2024-11-09,100.2,100.0,39.1
2024-11-16,99.5,100.0,38.8
2024-11-23,98.8,100.0,45.0
2024-11-30,99.8,100.0,49.0
2024-12-07,100.6,100.0,46.4
2024-12-14,99.2,100.0,45.5
2024-12-21,100.9,100.0,48.8
2024-12-28,101.5,100.0,49.0
2025-01-04,97.7,100.0,57.7
2025-01-11,100.7,100.0,53.1
2025-01-18,97.3,100.0,54.3
2025-01-25,98.4,100.0,49.2
2025-02-01,100.9,100.0,54.5
2025-02-08,101.5,100.0,52.2
2025-02-15,100.3,100.0,64.5
2025-02-22,99.2,100.0,54.0
2025-03-01,100.6,100.0,63.2
2025-03-08,100.1,100.0,56.5
2025-03-15,103.5,100.0,61.1
2025-03-22,101.0,100.0,61.3
2025-03-29,99.4,100.0,53.5
2025-04-05,100.4,100.0,63.0
2025-04-12,100.9,100.0,66.9
2025-04-19,102.2,100.0,60.1
2025-04-26,99.3,100.0,55.0
2025-05-03,100.3,100.0,64.7
2025-05-10,101.6,100.0,54.4
2025-05-17,99.1,100.0,56.8
2025-05-24,102.6,100.0,51.8
2025-05-31,100.4,100.0,57.7
2025-06-07,98.7,100.0,48.1
2025-06-14,101.5,100.0,54.4
2025-06-21,100.3,100.0,49.4
2025-06-28,98.6,100.0,52.8
2025-07-05,100.2,100.0,43.9
2025-07-12,102.5,100.0,46.0
2025-07-19,103.2,100.0,45.4
2025-07-26,100.2,100.0,51.5
2025-08-02,101.8,100.0,43.2
2025-08-09,97.9,100.0,100.0
2025-08-16,99.3,100.0,43.4
2025-08-23,98.9,100.0,40.7
2025-08-30,100.1,100.0,39.0
2025-09-06,96.4,100.0,37.0
2025-09-13,99.1,100.0,36.9
2025-09-20,98.1,100.0,45.0
2025-09-27,99.5,100.0,36.5
2025-10-04,97.8,100.0,31.9
2025-10-11,100.6,100.0,34.9
2025-10-18,97.6,100.0,38.5
2025-10-25,98.8,100.0,42.6
2025-11-01,97.4,100.0,46.0
2025-11-08,100.8,100.0,36.7
2025-11-15,99.5,100.0,44.6
2025-11-22,99.8,100.0,38.2
2025-11-29,98.4,100.0,45.3
2025-12-06,100.3,100.0,44.3
2025-12-13,100.3,100.0,42.4
2025-12-20,101.9,100.0,47.4
2025-12-27,99.3,100.0,55.8
2026-01-03,100.7,100.0,52.3
2026-01-10,101.4,100.0,56.4
2026-01-17,102.6,100.0,59.5
2026-01-24,98.2,100.0,59.1
2026-01-31,100.0,100.0,55.5
2026-02-07,101.1,100.0,57.5
2026-02-14,99.7,100.0,55.8
2026-02-21,102.5,100.0,56.8
2026-02-28,98.6,100.0,57.3
2026-03-07,99.4,100.0,69.2
2026-03-14,100.1,100.0,60.0
2026-03-21,102.2,100.0,55.4
2026-03-28,97.5,100.0,58.4
2026-04-04,98.4,100.0,64.9
2026-04-11,101.2,100.0,63.0
2026-04-18,99.5,100.0,65.2
2026-04-25,99.3,100.0,55.8
2026-05-02,100.7,100.0,65.8
2026-05-09,99.8,100.0,65.5
2026-05-16,98.5,100.0,60.2
2026-05-23,100.6,100.0,60.7
2026-05-30,99.2,100.0,53.9
2026-06-06,99.7,100.0,47.3
2026-06-13,101.2,100.0,53.1
2026-06-20,98.4,100.0,56.3
