date,units_in_stock,avg_daily_sales_14d
2023-07-01,1213,41.0
2023-07-08,937,45.43
2023-07-15,847,40.43
2023-07-22,878,42.86
2023-07-29,909,37.86
2023-08-05,888,41.14
2023-08-12,981,33.86
2023-08-19,922,42.57
2023-08-26,936,37.29
2023-09-02,944,39.0
2023-09-09,961,34.71
2023-09-16,928,35.71
2023-09-23,909,40.86
2023-09-30,954,37.14
2023-10-07,906,40.0
2023-10-14,999,36.43
2023-10-21,921,39.14
2023-10-28,945,36.71
2023-11-04,946,39.71
2023-11-11,950,35.71
2023-11-18,899,37.71
2023-11-25,917,38.86
2023-12-02,930,39.71
2023-12-09,926,39.71
2023-12-16,945,41.71
2023-12-23,854,44.29
2023-12-30,909,46.29
2024-01-06,854,47.14
2024-01-13,829,44.86
2024-01-20,844,44.43
2024-01-27,857,46.86
2024-02-03,906,44.29
2024-02-10,921,43.29
2024-02-17,889,42.29
2024-02-24,856,45.14
2024-03-02,866,40.71
2024-03-09,860,44.86
2024-03-16,864,48.14
2024-03-23,894,44.86
2024-03-30,830,47.29
2024-04-06,896,47.43
2024-04-13,812,52.43
2024-04-20,858,51.0
2024-04-27,884,48.71
2024-05-04,815,48.71
2024-05-11,449,111.43
2024-05-18,918,40.57
2024-05-25,881,45.57
2024-06-01,839,43.14
2024-06-08,864,48.14
2024-06-15,885,42.57
2024-06-22,849,45.86
2024-06-29,897,44.71
2024-07-06,862,42.0
2024-07-13,895,40.14
2024-07-20,944,38.71
2024-07-27,923,44.14
2024-08-03,917,41.86
2024-08-10,912,39.86
2024-08-17,939,36.43
2024-08-24,946,35.43
2024-08-31,913,39.57
2024-09-07,951,36.29
2024-09-14,882,38.14
2024-09-21,922,33.29
2024-09-28,955,38.14
2024-10-05,946,34.86
2024-10-12,954,40.0
2024-10-19,925,33.86
2024-10-26,882,38.0
2024-11-02,869,41.29
2024-11-09,948,34.57
2024-11-16,890,38.86
2024-11-23,894,47.14
2024-11-30,887,40.29
2024-12-07,887,38.71
2024-12-14,920,39.57
2024-12-21,878,42.43
2024-12-28,880,40.29
2025-01-04,879,44.0
2025-01-11,874,43.43
2025-01-18,843,47.86
2025-01-25,865,50.14
2025-02-01,783,55.43
2025-02-08,799,49.71
2025-02-15,870,53.57
2025-02-22,858,50.71
2025-03-01,820,59.71
2025-03-08,834,54.71
2025-03-15,921,42.29
2025-03-22,781,54.29
2025-03-29,847,55.71
2025-04-05,833,52.86
2025-04-12,856,46.29
2025-04-19,820,51.57
2025-04-26,923,41.29
2025-05-03,334,115.29
2025-05-10,423,112.71
2025-05-17,395,114.71
2025-05-24,426,116.14
2025-05-31,249,127.0
2025-06-07,283,124.57
2025-06-14,288,126.57
2025-06-21,478,109.71
2025-06-28,320,120.0
2025-07-05,531,98.57
2025-07-12,413,108.29
2025-07-19,523,97.43
2025-07-26,420,108.86
2025-08-02,552,94.14
2025-08-09,10,227.43
2025-08-16,1210,1.43
2025-08-23,440,113.57
2025-08-30,379,120.57
2025-09-06,362,119.43
2025-09-13,423,117.0
2025-09-20,367,113.29
2025-09-27,565,90.71
2025-10-04,531,92.29
2025-10-11,485,96.0
2025-10-18,504,97.43
2025-10-25,594,88.86
2025-11-01,530,100.57
2025-11-08,523,95.86
2025-11-15,486,93.43
2025-11-22,530,96.57
2025-11-29,479,101.43
2025-12-06,545,98.86
2025-12-13,508,99.57
2025-12-20,545,97.71
2025-12-27,314,124.0
2026-01-03,416,114.14
2026-01-10,497,102.71
2026-01-17,429,116.71
2026-01-24,480,110.14
2026-01-31,399,114.43
2026-02-07,428,111.86
2026-02-14,355,117.57
2026-02-21,371,122.43
2026-02-28,385,117.29
2026-03-07,397,107.86
2026-03-14,455,114.43
2026-03-21,479,112.14
2026-03-28,397,119.14
2026-04-04,301,126.43
2026-04-11,416,113.71
2026-04-18,314,118.14
2026-04-25,422,113.14
2026-05-02,458,107.29
2026-05-09,358,120.43
2026-05-16,459,102.14
2026-05-23,415,108.29
2026-05-30,347,112.29
2026-06-06,409,113.43
2026-06-13,442,103.57
2026-06-20,484,105.14
