date,sku_id,unit_price,units_sold,cost_per_unit
2023-07-01,ELE_IPHONE_14_PRO_001,1015.31,287,600.0
2023-07-08,ELE_IPHONE_14_PRO_001,1005.37,318,600.0
2023-07-15,ELE_IPHONE_14_PRO_001,993.61,283,600.0
2023-07-22,ELE_IPHONE_14_PRO_001,979.4,300,600.0
2023-07-29,ELE_IPHONE_14_PRO_001,1000.9,265,600.0
2023-08-05,ELE_IPHONE_14_PRO_001,1011.39,288,600.0
2023-08-12,ELE_IPHONE_14_PRO_001,1003.09,237,600.0
2023-08-19,ELE_IPHONE_14_PRO_001,1001.88,298,600.0
2023-08-26,ELE_IPHONE_14_PRO_001,1005.67,261,600.0
2023-09-02,ELE_IPHONE_14_PRO_001,1001.89,273,600.0
2023-09-09,ELE_IPHONE_14_PRO_001,1008.25,243,600.0
2023-09-16,ELE_IPHONE_14_PRO_001,995.87,250,600.0
2023-09-23,ELE_IPHONE_14_PRO_001,974.32,286,600.0
2023-09-30,ELE_IPHONE_14_PRO_001,996.7,260,600.0
2023-10-07,ELE_IPHONE_14_PRO_001,976.11,280,600.0
2023-10-14,ELE_IPHONE_14_PRO_001,1019.67,255,600.0
2023-10-21,ELE_IPHONE_14_PRO_001,1009.4,274,600.0
2023-10-28,ELE_IPHONE_14_PRO_001,1018.25,257,600.0
2023-11-04,ELE_IPHONE_14_PRO_001,1000.69,278,600.0
2023-11-11,ELE_IPHONE_14_PRO_001,1023.06,250,600.0
2023-11-18,ELE_IPHONE_14_PRO_001,982.96,264,600.0
2023-11-25,ELE_IPHONE_14_PRO_001,991.51,272,600.0
2023-12-02,ELE_IPHONE_14_PRO_001,990.65,278,600.0
2023-12-09,ELE_IPHONE_14_PRO_001,991.63,278,600.0
2023-12-16,ELE_IPHONE_14_PRO_001,987.65,292,600.0
2023-12-23,ELE_IPHONE_14_PRO_001,983.2,310,600.0
2023-12-30,ELE_IPHONE_14_PRO_001,1000.26,324,600.0
2024-01-06,ELE_IPHONE_14_PRO_001,992.89,330,600.0
2024-01-13,ELE_IPHONE_14_PRO_001,994.12,314,600.0
2024-01-20,ELE_IPHONE_14_PRO_001,1004.31,311,600.0
2024-01-27,ELE_IPHONE_14_PRO_001,1009.67,328,600.0
2024-02-03,ELE_IPHONE_14_PRO_001,1015.8,310,600.0
2024-02-10,ELE_IPHONE_14_PRO_001,992.61,303,600.0
2024-02-17,ELE_IPHONE_14_PRO_001,1013.35,296,600.0
2024-02-24,ELE_IPHONE_14_PRO_001,992.22,316,600.0
2024-03-02,ELE_IPHONE_14_PRO_001,985.69,285,600.0
2024-03-09,ELE_IPHONE_14_PRO_001,1024.46,314,600.0
2024-03-16,ELE_IPHONE_14_PRO_001,1013.67,337,600.0
2024-03-23,ELE_IPHONE_14_PRO_001,1000.99,314,600.0
2024-03-30,ELE_IPHONE_14_PRO_001,994.63,331,600.0
2024-04-06,ELE_IPHONE_14_PRO_001,997.12,332,600.0
2024-04-13,ELE_IPHONE_14_PRO_001,977.81,367,600.0
2024-04-20,ELE_IPHONE_14_PRO_001,990.18,357,600.0
2024-04-27,ELE_IPHONE_14_PRO_001,1004.47,341,600.0
2024-05-04,ELE_IPHONE_14_PRO_001,986.34,341,600.0
2024-05-11,ELE_IPHONE_14_PRO_001,1010.72,780,600.0
2024-05-18,ELE_IPHONE_14_PRO_001,1026.6,284,600.0
2024-05-25,ELE_IPHONE_14_PRO_001,1007.57,319,600.0
2024-06-01,ELE_IPHONE_14_PRO_001,1013.96,302,600.0
2024-06-08,ELE_IPHONE_14_PRO_001,973.09,337,600.0
2024-06-15,ELE_IPHONE_14_PRO_001,1003.35,298,600.0
