date,comp_price_avg,comp_price_min,comp_price_max
2023-07-01,993.72,944.03,1043.41
2023-07-08,1002.91,952.76,1053.06
2023-07-15,1006.51,956.18,1056.84
2023-07-22,1001.16,951.0999999999999,1051.22
2023-07-29,1012.25,961.64,1062.86
2023-08-05,996.77,946.93,1046.61
2023-08-12,1021.81,970.7199999999999,1072.8999999999999
2023-08-19,1012.19,961.58,1062.8
2023-08-26,1025.08,973.8299999999999,1076.33
2023-09-02,1008.75,958.31,1059.19
2023-09-09,1009.98,959.48,1060.48
2023-09-16,1020.78,969.74,1071.82
2023-09-23,1038.54,986.61,1090.47
2023-09-30,1039.4,987.4300000000001,1091.3700000000001
2023-10-07,1036.66,984.83,1088.49
2023-10-14,1022.47,971.35,1073.59
2023-10-21,1031.96,980.36,1083.56
2023-10-28,1050.94,998.3900000000001,1103.49
2023-11-04,1030.96,979.4100000000001,1082.51
2023-11-11,1035.61,983.8299999999999,1087.3899999999999
2023-11-18,1039.68,987.7,1091.66
2023-11-25,1046.22,993.9100000000001,1098.53
2023-12-02,1054.86,1002.1199999999999,1107.6
2023-12-09,1040.52,988.49,1092.55
2023-12-16,1045.26,993.0,1097.52
2023-12-23,1045.25,992.99,1097.51
2023-12-30,1035.47,983.7,1087.24
2024-01-06,1055.98,1003.1800000000001,1108.78
2024-01-13,1064.21,1011.0,1117.42
2024-01-20,1043.31,991.14,1095.48
2024-01-27,1059.89,1006.9000000000001,1112.88
2024-02-03,1068.23,1014.82,1121.64
2024-02-10,1072.25,1018.64,1125.86
2024-02-17,1065.26,1012.0,1118.52
2024-02-24,1075.31,1021.54,1129.08
2024-03-02,1065.48,1012.21,1118.75
2024-03-09,1074.68,1020.95,1128.41
2024-03-16,1084.38,1030.16,1138.6000000000001
2024-03-23,1083.49,1029.32,1137.66
2024-03-30,1094.66,1039.93,1149.39
2024-04-06,1081.35,1027.28,1135.4199999999998
2024-04-13,1088.43,1034.01,1142.8500000000001
2024-04-20,1084.02,1029.82,1138.22
2024-04-27,1095.17,1040.41,1149.93
2024-05-04,1074.97,1021.22,1128.72
2024-05-11,1113.84,1058.1499999999999,1169.53
2024-05-18,1088.25,1033.84,1142.66
2024-05-25,1100.87,1045.83,1155.9099999999999
2024-06-01,1097.34,1042.47,1152.2099999999998
2024-06-08,1084.51,1030.28,1138.74
2024-06-15,1107.0,1051.65,1162.35
2024-06-22,1105.56,1050.28,1160.84
2024-06-29,1100.18,1045.17,1155.19
2024-07-06,1113.97,1058.27,1169.67
2024-07-13,1097.77,1042.8799999999999,1152.66
2024-07-20,1110.41,1054.89,1165.93
2024-07-27,1104.82,1049.58,1160.06
2024-08-03,1130.92,1074.3700000000001,1187.47
2024-08-10,1104.22,1049.01,1159.43
2024-08-17,1114.52,1058.79,1170.25
2024-08-24,1127.16,1070.8000000000002,1183.52
2024-08-31,1126.13,1069.8200000000002,1182.44
2024-09-07,1113.04,1057.3899999999999,1168.69
2024-09-14,1112.44,1056.8200000000002,1168.06
2024-09-21,1132.5,1075.88,1189.12
2024-09-28,1129.08,1072.6299999999999,1185.53
2024-10-05,1148.82,1091.3799999999999,1206.26
2024-10-12,1131.31,1074.74,1187.8799999999999
2024-10-19,1144.14,1086.93,1201.3500000000001
2024-10-26,1154.87,1097.1299999999999,1212.61
2024-11-02,1151.62,1094.04,1209.1999999999998
2024-11-09,1135.01,1078.26,1191.76
2024-11-16,1144.6,1087.37,1201.83
2024-11-23,1173.84,1115.1499999999999,1232.53
2024-11-30,1166.95,1108.6000000000001,1225.3
2024-12-07,1163.39,1105.22,1221.5600000000002
2024-12-14,1155.11,1097.35,1212.87
2024-12-21,1163.08,1104.9299999999998,1221.23
2024-12-28,1169.64,1111.16,1228.1200000000001
2025-01-04,1155.21,1097.45,1212.97
