date,cci_current,cci_baseline,google_trends_score
2023-07-01,100.0,100.0,50.2
2023-07-08,99.9,100.0,57.5
2023-07-15,99.8,100.0,43.7
2023-07-22,99.6,100.0,44.1
2023-07-29,99.5,100.0,38.9
2023-08-05,99.4,100.0,38.3
2023-08-12,99.3,100.0,38.5
2023-08-19,99.2,100.0,44.0
2023-08-26,99.0,100.0,34.9
2023-09-02,98.9,100.0,42.0
2023-09-09,98.8,100.0,31.5
2023-09-16,98.7,100.0,41.8
2023-09-23,98.6,100.0,42.3
2023-09-30,98.4,100.0,33.3
2023-10-07,98.3,100.0,34.2
2023-10-14,98.2,100.0,37.8
2023-10-21,98.1,100.0,43.5
2023-10-28,98.0,100.0,45.4
2023-11-04,97.8,100.0,37.8
2023-11-11,97.7,100.0,33.3
2023-11-18,97.6,100.0,35.8
2023-11-25,97.5,100.0,44.5
2023-12-02,97.4,100.0,44.8
2023-12-09,97.2,100.0,49.4
2023-12-16,97.1,100.0,49.9
2023-12-23,97.0,100.0,48.0
2023-12-30,96.9,100.0,49.4
2024-01-06,96.8,100.0,55.0
2024-01-13,96.6,100.0,55.5
2024-01-20,96.5,100.0,53.6
2024-01-27,96.4,100.0,52.0
2024-02-03,96.3,100.0,53.1
2024-02-10,96.2,100.0,46.6
2024-02-17,96.0,100.0,60.0
2024-02-24,95.9,100.0,52.3
2024-03-02,95.8,100.0,52.5
2024-03-09,95.7,100.0,65.1
2024-03-16,95.6,100.0,64.9
2024-03-23,95.4,100.0,66.1
2024-03-30,95.3,100.0,61.8
2024-04-06,95.2,100.0,71.3
2024-04-13,95.1,100.0,60.8
2024-04-20,95.0,100.0,68.1
2024-04-27,94.8,100.0,53.7
2024-05-04,94.7,100.0,63.1
2024-05-11,94.6,100.0,53.9
2024-05-18,94.5,100.0,58.6
2024-05-25,94.4,100.0,50.5
2024-06-01,94.2,100.0,61.3
2024-06-08,94.1,100.0,54.4
2024-06-15,94.0,100.0,58.6
2024-06-22,93.9,100.0,51.9
2024-06-29,93.8,100.0,52.4
2024-07-06,93.6,100.0,51.1
2024-07-13,93.5,100.0,50.6
2024-07-20,93.4,100.0,44.6
