date,units_in_stock,avg_daily_sales_14d
2023-07-01,1190,44.29
2023-07-08,891,42.71
2023-07-15,875,39.14
2023-07-22,919,39.71
2023-07-29,901,42.0
2023-08-05,886,38.86
2023-08-12,912,38.86
2023-08-19,931,38.29
2023-08-26,918,37.86
2023-09-02,974,35.43
2023-09-09,951,38.14
2023-09-16,974,37.0
2023-09-23,972,35.29
2023-09-30,950,36.86
2023-10-07,972,33.86
2023-10-14,978,38.86
2023-10-21,909,38.14
2023-10-28,911,37.43
2023-11-04,978,38.57
2023-11-11,944,38.0
2023-11-18,931,36.29
2023-11-25,926,40.57
2023-12-02,910,38.86
2023-12-09,935,38.29
2023-12-16,938,36.43
2023-12-23,910,42.86
2023-12-30,895,40.86
2024-01-06,867,40.71
2024-01-13,914,40.29
2024-01-20,925,39.43
2024-01-27,908,40.29
2024-02-03,869,41.86
2024-02-10,885,43.43
2024-02-17,920,39.57
2024-02-24,918,40.71
2024-03-02,843,47.14
2024-03-09,931,43.29
2024-03-16,906,45.29
2024-03-23,884,41.71
2024-03-30,911,41.29
2024-04-06,976,33.57
2024-04-13,959,33.0
2024-04-20,971,36.43
2024-04-27,1038,31.14
2024-05-04,1000,35.0
2024-05-11,561,85.71
2024-05-18,969,31.29
2024-05-25,1006,31.14
2024-06-01,1002,28.86
2024-06-08,1031,28.71
2024-06-15,978,28.14
2024-06-22,990,28.14
2024-06-29,989,29.0
2024-07-06,961,31.14
2024-07-13,980,27.71
2024-07-20,955,28.57
2024-07-27,1014,25.29
2024-08-03,927,27.14
2024-08-10,1021,25.29
2024-08-17,1022,22.43
2024-08-24,1051,23.29
2024-08-31,1020,23.57
2024-09-07,1033,22.0
2024-09-14,1003,25.29
2024-09-21,1040,20.43
2024-09-28,1054,19.71
2024-10-05,1039,24.29
2024-10-12,966,24.43
2024-10-19,1053,22.71
2024-10-26,1022,21.71
2024-11-02,1025,20.0
2024-11-09,1035,23.29
2024-11-16,1062,21.71
2024-11-23,1027,20.43
2024-11-30,1017,24.29
2024-12-07,1046,24.43
2024-12-14,1035,23.0
2024-12-21,1005,22.14
2024-12-28,1082,21.71
2025-01-04,1044,23.0
2025-01-11,1060,20.86
2025-01-18,999,23.57
2025-01-25,1019,21.0
2025-02-01,994,25.43
2025-02-08,989,24.29
2025-02-15,1024,21.71
2025-02-22,1030,24.57
2025-03-01,1016,21.43
2025-03-08,1072,23.86
2025-03-15,1082,23.0
2025-03-22,1066,25.0
2025-03-29,1003,24.14
2025-04-05,1061,21.71
2025-04-12,1038,22.86
2025-04-19,1050,23.71
2025-04-26,1050,22.86
2025-05-03,1010,23.43
2025-05-10,989,23.0
2025-05-17,1040,20.29
2025-05-24,1032,20.71
2025-05-31,1156,20.29
2025-06-07,1074,21.0
2025-06-14,1049,20.86
2025-06-21,1080,20.86
2025-06-28,1042,19.29
2025-07-05,1096,16.86
2025-07-12,1020,16.43
2025-07-19,1084,17.29
2025-07-26,1114,15.57
2025-08-02,1073,17.29
2025-08-09,900,38.29
2025-08-16,1068,16.14
2025-08-23,1058,15.57
2025-08-30,1035,17.29
2025-09-06,1098,14.43
2025-09-13,1129,14.14
2025-09-20,1077,15.43
2025-09-27,1114,16.0
2025-10-04,1067,14.29
2025-10-11,1120,14.86
2025-10-18,1063,16.0
2025-10-25,1076,13.86
2025-11-01,1044,16.0
2025-11-08,1030,16.43
2025-11-15,1092,16.43
2025-11-22,1092,15.71
2025-11-29,1130,14.71
2025-12-06,1107,15.0
2025-12-13,1090,14.14
2025-12-20,1040,15.14
2025-12-27,1135,16.0
2026-01-03,1139,15.29
2026-01-10,1120,15.14
2026-01-17,1073,16.43
2026-01-24,1108,15.57
2026-01-31,1123,15.29
2026-02-07,1053,17.14
2026-02-14,1103,17.14
2026-02-21,1061,15.57
2026-02-28,1080,16.86
2026-03-07,1047,15.57
2026-03-14,1100,18.14
2026-03-21,1131,17.14
2026-03-28,1044,15.57
2026-04-04,1101,16.57
2026-04-11,1053,16.71
2026-04-18,1073,14.71
2026-04-25,1159,16.0
2026-05-02,1125,13.57
2026-05-09,1090,15.57
2026-05-16,1106,14.0
2026-05-23,1078,14.86
2026-05-30,1102,13.86
2026-06-06,1097,13.57
2026-06-13,1116,15.0
2026-06-20,1115,13.57
