date,sku_id,unit_price,units_sold,cost_per_unit
2023-07-01,ELE_IPHONE_14_PRO_001,990.16,301,600.0
2023-07-08,ELE_IPHONE_14_PRO_001,1001.82,307,601.08
2023-07-15,ELE_IPHONE_14_PRO_001,994.71,296,602.15
2023-07-22,ELE_IPHONE_14_PRO_001,997.04,312,603.23
2023-07-29,ELE_IPHONE_14_PRO_001,1012.26,252,604.31
2023-08-05,ELE_IPHONE_14_PRO_001,1009.51,274,605.38
2023-08-12,ELE_IPHONE_14_PRO_001,1015.69,285,606.46
2023-08-19,ELE_IPHONE_14_PRO_001,1009.59,270,607.54
2023-08-26,ELE_IPHONE_14_PRO_001,997.21,248,608.62
2023-09-02,ELE_IPHONE_14_PRO_001,1003.91,260,609.69
2023-09-09,ELE_IPHONE_14_PRO_001,1010.2,265,610.77
2023-09-16,ELE_IPHONE_14_PRO_001,1024.72,260,611.85
2023-09-23,ELE_IPHONE_14_PRO_001,1024.04,266,612.92
2023-09-30,ELE_IPHONE_14_PRO_001,1037.79,279,614.0
2023-10-07,ELE_IPHONE_14_PRO_001,1023.58,264,615.08
2023-10-14,ELE_IPHONE_14_PRO_001,1008.53,245,616.15
2023-10-21,ELE_IPHONE_14_PRO_001,1034.09,247,617.23
2023-10-28,ELE_IPHONE_14_PRO_001,1046.32,261,618.31
2023-11-04,ELE_IPHONE_14_PRO_001,1028.89,244,619.38
2023-11-11,ELE_IPHONE_14_PRO_001,1041.89,264,620.46
2023-11-18,ELE_IPHONE_14_PRO_001,1050.9,265,621.54
2023-11-25,ELE_IPHONE_14_PRO_001,1048.15,253,622.62
2023-12-02,ELE_IPHONE_14_PRO_001,1047.07,293,623.69
2023-12-09,ELE_IPHONE_14_PRO_001,1051.95,270,624.77
2023-12-16,ELE_IPHONE_14_PRO_001,1050.19,249,625.85
2023-12-23,ELE_IPHONE_14_PRO_001,1069.56,282,626.92
2023-12-30,ELE_IPHONE_14_PRO_001,1059.01,282,628.0
2024-01-06,ELE_IPHONE_14_PRO_001,1070.4,286,629.08
2024-01-13,ELE_IPHONE_14_PRO_001,1065.45,278,630.15
2024-01-20,ELE_IPHONE_14_PRO_001,1048.82,291,631.23
2024-01-27,ELE_IPHONE_14_PRO_001,1066.13,298,632.31
2024-02-03,ELE_IPHONE_14_PRO_001,1083.75,292,633.38
2024-02-10,ELE_IPHONE_14_PRO_001,1056.42,303,634.46
2024-02-17,ELE_IPHONE_14_PRO_001,1063.68,304,635.54
2024-02-24,ELE_IPHONE_14_PRO_001,1079.91,301,636.62
2024-03-02,ELE_IPHONE_14_PRO_001,1080.29,318,637.69
2024-03-09,ELE_IPHONE_14_PRO_001,1081.4,313,638.77
2024-03-16,ELE_IPHONE_14_PRO_001,1088.32,288,639.85
2024-03-23,ELE_IPHONE_14_PRO_001,1070.37,333,640.92
2024-03-30,ELE_IPHONE_14_PRO_001,1078.06,312,642.0
2024-04-06,ELE_IPHONE_14_PRO_001,1084.18,251,643.08
2024-04-13,ELE_IPHONE_14_PRO_001,1088.82,252,644.15
2024-04-20,ELE_IPHONE_14_PRO_001,1084.55,230,645.23
2024-04-27,ELE_IPHONE_14_PRO_001,1093.4,220,646.31
2024-05-04,ELE_IPHONE_14_PRO_001,1111.22,223,647.38
2024-05-11,ELE_IPHONE_14_PRO_001,1092.99,574,648.46
2024-05-18,ELE_IPHONE_14_PRO_001,1101.97,223,649.54
2024-05-25,ELE_IPHONE_14_PRO_001,1118.16,185,650.62
2024-06-01,ELE_IPHONE_14_PRO_001,1102.97,216,651.69
2024-06-08,ELE_IPHONE_14_PRO_001,1099.89,238,652.77
2024-06-15,ELE_IPHONE_14_PRO_001,1106.31,229,653.85
2024-06-22,ELE_IPHONE_14_PRO_001,1117.46,198,654.92
2024-06-29,ELE_IPHONE_14_PRO_001,1119.19,181,656.0
2024-07-06,ELE_IPHONE_14_PRO_001,1105.57,189,657.08
2024-07-13,ELE_IPHONE_14_PRO_001,1123.06,195,658.15
2024-07-20,ELE_IPHONE_14_PRO_001,1110.66,185,659.23
2024-07-27,ELE_IPHONE_14_PRO_001,1109.94,194,660.31
2024-08-03,ELE_IPHONE_14_PRO_001,1135.07,171,661.38
2024-08-10,ELE_IPHONE_14_PRO_001,1119.26,183,662.46
2024-08-17,ELE_IPHONE_14_PRO_001,1118.72,182,663.54
2024-08-24,ELE_IPHONE_14_PRO_001,1160.28,137,664.62
2024-08-31,ELE_IPHONE_14_PRO_001,1147.06,154,665.69
2024-09-07,ELE_IPHONE_14_PRO_001,1141.7,162,666.77
2024-09-14,ELE_IPHONE_14_PRO_001,1145.6,161,667.85
2024-09-21,ELE_IPHONE_14_PRO_001,1141.39,157,668.92
2024-09-28,ELE_IPHONE_14_PRO_001,1141.21,160,670.0
2024-10-05,ELE_IPHONE_14_PRO_001,1155.17,152,671.08
2024-10-12,ELE_IPHONE_14_PRO_001,1160.32,141,672.15
2024-10-19,ELE_IPHONE_14_PRO_001,1140.96,159,673.23
2024-10-26,ELE_IPHONE_14_PRO_001,1157.0,147,674.31
2024-11-02,ELE_IPHONE_14_PRO_001,1153.08,158,675.38
2024-11-09,ELE_IPHONE_14_PRO_001,1153.84,141,676.46
2024-11-16,ELE_IPHONE_14_PRO_001,1166.62,154,677.54
2024-11-23,ELE_IPHONE_14_PRO_001,1176.27,149,678.62
2024-11-30,ELE_IPHONE_14_PRO_001,1163.72,147,679.69
2024-12-07,ELE_IPHONE_14_PRO_001,1161.49,164,680.77
2024-12-14,ELE_IPHONE_14_PRO_001,1166.06,164,681.85
