date,comp_price_avg,comp_price_min,comp_price_max
2023-07-01,997.71,947.82,1047.6000000000001
2023-07-08,1001.48,951.41,1051.55
2023-07-15,995.98,946.1800000000001,1045.78
2023-07-22,1008.45,958.0300000000001,1058.8700000000001
2023-07-29,1013.65,962.97,1064.33
2023-08-05,999.79,949.8,1049.78
2023-08-12,985.87,936.58,1035.16
2023-08-19,1006.79,956.4499999999999,1057.1299999999999
2023-08-26,1001.18,951.1199999999999,1051.24
2023-09-02,1027.45,976.08,1078.82
2023-09-09,995.93,946.13,1045.73
2023-09-16,1016.88,966.04,1067.72
2023-09-23,1023.18,972.02,1074.34
2023-09-30,1013.84,963.1500000000001,1064.53
2023-10-07,994.21,944.5,1043.92
2023-10-14,1003.96,953.76,1054.16
2023-10-21,1014.62,963.89,1065.35
2023-10-28,1025.1,973.8499999999999,1076.35
2023-11-04,1001.08,951.0300000000001,1051.13
2023-11-11,997.4,947.53,1047.27
2023-11-18,998.19,948.2800000000001,1048.1000000000001
2023-11-25,999.67,949.6899999999999,1049.6499999999999
2023-12-02,965.47,917.2,1013.74
2023-12-09,983.65,934.47,1032.83
2023-12-16,988.96,939.51,1038.41
2023-12-23,991.42,941.8499999999999,1040.99
2023-12-30,949.28,901.8199999999999,996.74
2024-01-06,957.3,909.43,1005.17
2024-01-13,970.3,921.78,1018.8199999999999
2024-01-20,979.99,930.99,1028.99
2024-01-27,951.61,904.03,999.19
2024-02-03,975.66,926.88,1024.44
2024-02-10,990.46,940.94,1039.98
2024-02-17,977.44,928.57,1026.31
2024-02-24,946.29,898.98,993.5999999999999
2024-03-02,962.36,914.24,1010.48
2024-03-09,960.83,912.7900000000001,1008.87
2024-03-16,983.02,933.87,1032.17
2024-03-23,958.53,910.6,1006.4599999999999
2024-03-30,981.59,932.51,1030.67
2024-04-06,998.57,948.6400000000001,1048.5
2024-04-13,1006.66,956.3299999999999,1056.99
2024-04-20,973.41,924.74,1022.0799999999999
2024-04-27,973.84,925.1500000000001,1022.53
2024-05-04,975.45,926.6800000000001,1024.22
2024-05-11,983.5,934.32,1032.68
2024-05-18,969.5,921.02,1017.98
2024-05-25,965.63,917.35,1013.91
2024-06-01,988.23,938.82,1037.64
2024-06-08,988.33,938.9100000000001,1037.75
2024-06-15,965.0,916.75,1013.25
2024-06-22,965.6,917.32,1013.88
2024-06-29,978.94,929.99,1027.89
2024-07-06,985.48,936.21,1034.75
2024-07-13,954.75,907.01,1002.49
2024-07-20,959.67,911.6899999999999,1007.65
2024-07-27,984.78,935.54,1034.02
2024-08-03,982.49,933.37,1031.61
2024-08-10,947.16,899.8,994.52
2024-08-17,953.21,905.5500000000001,1000.87
2024-08-24,977.61,928.73,1026.49
2024-08-31,977.46,928.59,1026.33
2024-09-07,961.11,913.05,1009.1700000000001
2024-09-14,967.25,918.89,1015.61
2024-09-21,972.64,924.01,1021.27
2024-09-28,977.12,928.26,1025.98
2024-10-05,958.33,910.4100000000001,1006.25
2024-10-12,961.18,913.1199999999999,1009.24
2024-10-19,988.56,939.13,1037.99
2024-10-26,988.34,938.9200000000001,1037.76
2024-11-02,950.89,903.35,998.43
2024-11-09,958.73,910.79,1006.6700000000001
