date,cci_current,cci_baseline,google_trends_score
2023-07-01,100.4,100.0,50.0
2023-07-08,100.3,100.0,43.8
2023-07-15,98.0,100.0,52.9
2023-07-22,100.4,100.0,43.9
2023-07-29,99.4,100.0,45.4
2023-08-05,98.4,100.0,39.3
2023-08-12,101.0,100.0,40.0
2023-08-19,100.1,100.0,47.5
2023-08-26,102.3,100.0,35.6
2023-09-02,98.4,100.0,29.7
2023-09-09,100.7,100.0,44.6
2023-09-16,100.7,100.0,34.5
2023-09-23,99.6,100.0,35.2
2023-09-30,100.0,100.0,43.3
2023-10-07,100.8,100.0,34.4
2023-10-14,100.5,100.0,32.0
2023-10-21,98.2,100.0,40.3
2023-10-28,102.3,100.0,37.6
2023-11-04,102.2,100.0,42.5
2023-11-11,100.4,100.0,38.4
2023-11-18,100.8,100.0,43.9
2023-11-25,99.5,100.0,48.9
2023-12-02,101.8,100.0,50.1
2023-12-09,100.5,100.0,47.9
2023-12-16,97.7,100.0,51.5
2023-12-23,98.3,100.0,48.0
2023-12-30,98.7,100.0,47.0
2024-01-06,99.6,100.0,44.5
2024-01-13,100.4,100.0,61.6
2024-01-20,99.9,100.0,59.0
2024-01-27,98.9,100.0,51.0
2024-02-03,100.2,100.0,45.4
2024-02-10,102.9,100.0,52.5
2024-02-17,99.1,100.0,52.6
2024-02-24,101.3,100.0,68.7
2024-03-02,97.6,100.0,55.7
2024-03-09,100.9,100.0,62.2
2024-03-16,99.5,100.0,61.3
2024-03-23,101.8,100.0,58.8
2024-03-30,98.4,100.0,57.5
2024-04-06,100.0,100.0,72.6
2024-04-13,100.1,100.0,60.4
2024-04-20,101.3,100.0,59.5
2024-04-27,101.9,100.0,61.7
2024-05-04,102.6,100.0,61.3
2024-05-11,100.3,100.0,68.1
2024-05-18,99.0,100.0,58.8
2024-05-25,100.8,100.0,62.5
2024-06-01,99.2,100.0,55.5
2024-06-08,103.1,100.0,53.4
2024-06-15,99.1,100.0,52.3
2024-06-22,101.3,100.0,58.0
2024-06-29,100.8,100.0,53.4
