date,units_in_stock,avg_daily_sales_14d
2023-07-01,983,73.86
2023-07-08,906,42.14
2023-07-15,915,40.86
2023-07-22,909,38.14
2023-07-29,686,63.0
2023-08-05,918,37.86
2023-08-12,973,35.0
2023-08-19,937,36.86
2023-08-26,734,68.14
2023-09-02,963,35.0
2023-09-09,974,34.0
2023-09-16,986,34.0
2023-09-23,705,68.14
2023-09-30,919,36.43
2023-10-07,977,37.29
2023-10-14,930,35.86
2023-10-21,760,64.43
2023-10-28,907,32.71
2023-11-04,943,35.86
2023-11-11,906,35.43
2023-11-18,648,70.43
2023-11-25,947,37.43
2023-12-02,913,38.86
2023-12-09,937,38.71
2023-12-16,737,72.57
2023-12-23,963,37.57
2023-12-30,947,37.71
2024-01-06,872,42.29
2024-01-13,700,68.43
2024-01-20,953,41.57
2024-01-27,872,45.29
2024-02-03,970,40.29
2024-02-10,633,85.43
2024-02-17,916,49.0
2024-02-24,849,43.29
2024-03-02,829,49.29
2024-03-09,605,78.0
2024-03-16,833,49.86
2024-03-23,890,44.86
2024-03-30,871,44.14
2024-04-06,141,157.43
2024-04-13,895,48.43
2024-04-20,966,37.71
2024-04-27,869,36.71
2024-05-04,97,151.71
2024-05-11,1050,13.86
2024-05-18,815,56.14
2024-05-25,806,60.71
2024-06-01,97,157.71
2024-06-08,1092,13.86
2024-06-15,776,62.14
2024-06-22,770,58.71
2024-06-29,172,151.71
2024-07-06,887,43.57
2024-07-13,874,31.29
2024-07-20,968,31.14
2024-07-27,270,131.86
2024-08-03,911,39.57
2024-08-10,964,30.0
2024-08-17,909,30.43
2024-08-24,396,115.29
2024-08-31,1041,27.71
2024-09-07,1060,26.29
2024-09-14,952,31.57
2024-09-21,458,109.86
2024-09-28,1013,32.86
2024-10-05,990,30.0
2024-10-12,1082,29.14
2024-10-19,389,115.86
2024-10-26,984,30.43
2024-11-02,947,31.29
2024-11-09,905,31.57
2024-11-16,423,110.86
2024-11-23,990,31.71
2024-11-30,944,34.71
2024-12-07,902,34.57
2024-12-14,241,136.86
2024-12-21,879,40.29
2024-12-28,944,37.29
2025-01-04,908,35.86
2025-01-11,205,139.0
2025-01-18,916,37.0
2025-01-25,942,34.43
2025-02-01,932,36.57
2025-02-08,235,138.86
2025-02-15,879,44.14
2025-02-22,881,42.86
2025-03-01,873,39.71
2025-03-08,159,156.29
2025-03-15,905,43.14
2025-03-22,911,42.86
2025-03-29,883,41.86
2025-04-05,102,158.71
2025-04-12,1123,14.57
2025-04-19,776,58.86
2025-04-26,878,51.29
2025-05-03,355,130.71
2025-05-10,911,39.0
2025-05-17,1006,37.14
2025-05-24,946,36.71
2025-05-31,216,135.43
2025-06-07,873,45.0
2025-06-14,964,35.14
2025-06-21,923,37.86
2025-06-28,233,135.29
2025-07-05,985,38.43
2025-07-12,974,32.57
2025-07-19,1004,32.0
2025-07-26,268,131.0
2025-08-02,890,43.57
2025-08-09,746,70.29
2025-08-16,957,31.29
2025-08-23,322,116.71
2025-08-30,1000,30.57
2025-09-06,1009,28.71
2025-09-13,975,32.43
2025-09-20,365,117.29
2025-09-27,953,30.71
2025-10-04,948,32.0
2025-10-11,935,34.14
2025-10-18,307,126.14
2025-10-25,904,31.86
2025-11-01,990,30.43
2025-11-08,936,31.86
2025-11-15,328,118.86
2025-11-22,920,33.43
2025-11-29,957,33.71
2025-12-06,961,31.71
2025-12-13,251,132.29
2025-12-20,953,37.86
2025-12-27,944,34.71
2026-01-03,953,36.0
2026-01-10,181,142.0
2026-01-17,943,40.0
2026-01-24,867,41.14
2026-01-31,943,34.29
2026-02-07,230,143.86
2026-02-14,853,45.0
2026-02-21,938,36.0
2026-02-28,928,36.57
2026-03-07,214,142.71
2026-03-14,901,42.43
2026-03-21,926,38.29
2026-03-28,869,41.29
2026-04-04,86,161.0
2026-04-11,1096,12.29
2026-04-18,761,61.71
2026-04-25,877,48.71
2026-05-02,126,151.57
2026-05-09,1082,18.0
2026-05-16,832,56.86
2026-05-23,935,40.0
2026-05-30,140,145.43
2026-06-06,937,38.57
2026-06-13,949,36.14
2026-06-20,959,33.43
