date,sku_id,unit_price,units_sold,cost_per_unit
2023-07-01,ELE_IPHONE_14_PRO_001,799.2,517,600.0
2023-07-08,ELE_IPHONE_14_PRO_001,1040.33,295,600.0
2023-07-15,ELE_IPHONE_14_PRO_001,1053.41,286,600.0
2023-07-22,ELE_IPHONE_14_PRO_001,1058.21,267,600.0
2023-07-29,ELE_IPHONE_14_PRO_001,799.2,441,600.0
2023-08-05,ELE_IPHONE_14_PRO_001,1037.17,265,600.0
2023-08-12,ELE_IPHONE_14_PRO_001,1048.39,245,600.0
2023-08-19,ELE_IPHONE_14_PRO_001,1056.91,258,600.0
2023-08-26,ELE_IPHONE_14_PRO_001,799.2,477,600.0
2023-09-02,ELE_IPHONE_14_PRO_001,1046.31,245,600.0
2023-09-09,ELE_IPHONE_14_PRO_001,1042.97,238,600.0
2023-09-16,ELE_IPHONE_14_PRO_001,1053.1,238,600.0
2023-09-23,ELE_IPHONE_14_PRO_001,799.2,477,600.0
2023-09-30,ELE_IPHONE_14_PRO_001,1034.04,255,600.0
2023-10-07,ELE_IPHONE_14_PRO_001,1063.86,261,600.0
2023-10-14,ELE_IPHONE_14_PRO_001,1050.35,251,600.0
2023-10-21,ELE_IPHONE_14_PRO_001,799.2,451,600.0
2023-10-28,ELE_IPHONE_14_PRO_001,1051.56,229,600.0
2023-11-04,ELE_IPHONE_14_PRO_001,1048.47,251,600.0
2023-11-11,ELE_IPHONE_14_PRO_001,1055.63,248,600.0
2023-11-18,ELE_IPHONE_14_PRO_001,799.2,493,600.0
2023-11-25,ELE_IPHONE_14_PRO_001,1055.1,262,600.0
2023-12-02,ELE_IPHONE_14_PRO_001,1065.08,272,600.0
2023-12-09,ELE_IPHONE_14_PRO_001,1034.26,271,600.0
2023-12-16,ELE_IPHONE_14_PRO_001,799.2,508,600.0
2023-12-23,ELE_IPHONE_14_PRO_001,1054.86,263,600.0
2023-12-30,ELE_IPHONE_14_PRO_001,1041.46,264,600.0
2024-01-06,ELE_IPHONE_14_PRO_001,1057.17,296,600.0
2024-01-13,ELE_IPHONE_14_PRO_001,799.2,479,600.0
2024-01-20,ELE_IPHONE_14_PRO_001,1050.03,291,600.0
2024-01-27,ELE_IPHONE_14_PRO_001,1061.08,317,600.0
2024-02-03,ELE_IPHONE_14_PRO_001,1060.84,282,600.0
2024-02-10,ELE_IPHONE_14_PRO_001,799.2,598,600.0
2024-02-17,ELE_IPHONE_14_PRO_001,1049.5,343,600.0
2024-02-24,ELE_IPHONE_14_PRO_001,1048.6,303,600.0
2024-03-02,ELE_IPHONE_14_PRO_001,1036.4,345,600.0
2024-03-09,ELE_IPHONE_14_PRO_001,799.2,546,600.0
2024-03-16,ELE_IPHONE_14_PRO_001,1049.18,349,600.0
2024-03-23,ELE_IPHONE_14_PRO_001,1049.24,314,600.0
2024-03-30,ELE_IPHONE_14_PRO_001,1043.22,309,600.0
2024-04-06,ELE_IPHONE_14_PRO_001,799.2,1102,600.0
2024-04-13,ELE_IPHONE_14_PRO_001,1035.94,339,600.0
2024-04-20,ELE_IPHONE_14_PRO_001,1061.38,264,600.0
2024-04-27,ELE_IPHONE_14_PRO_001,1048.53,257,600.0
2024-05-04,ELE_IPHONE_14_PRO_001,799.2,1062,600.0
2024-05-11,ELE_IPHONE_14_PRO_001,1045.13,97,600.0
2024-05-18,ELE_IPHONE_14_PRO_001,1058.52,393,600.0
2024-05-25,ELE_IPHONE_14_PRO_001,1048.88,425,600.0
2024-06-01,ELE_IPHONE_14_PRO_001,799.2,1104,600.0
2024-06-08,ELE_IPHONE_14_PRO_001,1043.16,97,600.0
2024-06-15,ELE_IPHONE_14_PRO_001,1040.15,435,600.0
2024-06-22,ELE_IPHONE_14_PRO_001,1045.95,411,600.0
2024-06-29,ELE_IPHONE_14_PRO_001,799.2,1062,600.0
2024-07-06,ELE_IPHONE_14_PRO_001,1037.57,305,600.0
2024-07-13,ELE_IPHONE_14_PRO_001,1047.46,219,600.0
2024-07-20,ELE_IPHONE_14_PRO_001,1050.78,218,600.0
2024-07-27,ELE_IPHONE_14_PRO_001,799.2,923,600.0
2024-08-03,ELE_IPHONE_14_PRO_001,1034.48,277,600.0
2024-08-10,ELE_IPHONE_14_PRO_001,1060.95,210,600.0
2024-08-17,ELE_IPHONE_14_PRO_001,1049.63,213,600.0
2024-08-24,ELE_IPHONE_14_PRO_001,799.2,807,600.0
2024-08-31,ELE_IPHONE_14_PRO_001,1064.46,194,600.0
2024-09-07,ELE_IPHONE_14_PRO_001,1057.51,184,600.0
2024-09-14,ELE_IPHONE_14_PRO_001,1047.53,221,600.0
2024-09-21,ELE_IPHONE_14_PRO_001,799.2,769,600.0
2024-09-28,ELE_IPHONE_14_PRO_001,1037.78,230,600.0
2024-10-05,ELE_IPHONE_14_PRO_001,1049.74,210,600.0
2024-10-12,ELE_IPHONE_14_PRO_001,1050.21,204,600.0
2024-10-19,ELE_IPHONE_14_PRO_001,799.2,811,600.0
2024-10-26,ELE_IPHONE_14_PRO_001,1031.8,213,600.0
2024-11-02,ELE_IPHONE_14_PRO_001,1050.19,219,600.0
2024-11-09,ELE_IPHONE_14_PRO_001,1061.45,221,600.0
2024-11-16,ELE_IPHONE_14_PRO_001,799.2,776,600.0
2024-11-23,ELE_IPHONE_14_PRO_001,1044.39,222,600.0
2024-11-30,ELE_IPHONE_14_PRO_001,1032.74,243,600.0
2024-12-07,ELE_IPHONE_14_PRO_001,1044.5,242,600.0
2024-12-14,ELE_IPHONE_14_PRO_001,799.2,958,600.0
2024-12-21,ELE_IPHONE_14_PRO_001,1041.3,282,600.0
2024-12-28,ELE_IPHONE_14_PRO_001,1048.11,261,930.0
2025-01-04,ELE_IPHONE_14_PRO_001,1051.58,251,930.0
2025-01-11,ELE_IPHONE_14_PRO_001,799.2,973,930.0
2025-01-18,ELE_IPHONE_14_PRO_001,1053.94,259,930.0
2025-01-25,ELE_IPHONE_14_PRO_001,1068.82,241,930.0
2025-02-01,ELE_IPHONE_14_PRO_001,1048.4,256,930.0
2025-02-08,ELE_IPHONE_14_PRO_001,799.2,972,930.0
2025-02-15,ELE_IPHONE_14_PRO_001,1049.69,309,930.0
2025-02-22,ELE_IPHONE_14_PRO_001,1044.91,300,930.0
2025-03-01,ELE_IPHONE_14_PRO_001,1046.57,278,930.0
2025-03-08,ELE_IPHONE_14_PRO_001,799.2,1094,930.0
2025-03-15,ELE_IPHONE_14_PRO_001,1041.96,302,930.0
2025-03-22,ELE_IPHONE_14_PRO_001,1048.43,300,930.0
2025-03-29,ELE_IPHONE_14_PRO_001,1058.73,293,930.0
2025-04-05,ELE_IPHONE_14_PRO_001,799.2,1111,930.0
2025-04-12,ELE_IPHONE_14_PRO_001,1047.16,102,930.0
2025-04-19,ELE_IPHONE_14_PRO_001,1045.07,412,930.0
2025-04-26,ELE_IPHONE_14_PRO_001,1044.76,359,930.0
2025-05-03,ELE_IPHONE_14_PRO_001,799.2,915,930.0
2025-05-10,ELE_IPHONE_14_PRO_001,1053.67,273,930.0
2025-05-17,ELE_IPHONE_14_PRO_001,1060.43,260,930.0
2025-05-24,ELE_IPHONE_14_PRO_001,1052.21,257,930.0
2025-05-31,ELE_IPHONE_14_PRO_001,799.2,948,930.0
2025-06-07,ELE_IPHONE_14_PRO_001,1041.35,315,930.0
2025-06-14,ELE_IPHONE_14_PRO_001,1051.6,246,930.0
2025-06-21,ELE_IPHONE_14_PRO_001,1038.36,265,930.0
2025-06-28,ELE_IPHONE_14_PRO_001,799.2,947,930.0
2025-07-05,ELE_IPHONE_14_PRO_001,1039.28,269,930.0
2025-07-12,ELE_IPHONE_14_PRO_001,1040.68,228,930.0
2025-07-19,ELE_IPHONE_14_PRO_001,1054.12,224,930.0
2025-07-26,ELE_IPHONE_14_PRO_001,799.2,917,930.0
2025-08-02,ELE_IPHONE_14_PRO_001,1026.73,305,930.0
2025-08-09,ELE_IPHONE_14_PRO_001,1052.02,492,930.0
2025-08-16,ELE_IPHONE_14_PRO_001,1051.43,219,930.0
2025-08-23,ELE_IPHONE_14_PRO_001,799.2,817,930.0
2025-08-30,ELE_IPHONE_14_PRO_001,1043.38,214,930.0
2025-09-06,ELE_IPHONE_14_PRO_001,1049.39,201,930.0
2025-09-13,ELE_IPHONE_14_PRO_001,1033.2,227,930.0
2025-09-20,ELE_IPHONE_14_PRO_001,799.2,821,930.0
2025-09-27,ELE_IPHONE_14_PRO_001,1052.21,215,930.0
2025-10-04,ELE_IPHONE_14_PRO_001,1045.91,224,930.0
2025-10-11,ELE_IPHONE_14_PRO_001,1029.57,239,930.0
2025-10-18,ELE_IPHONE_14_PRO_001,799.2,883,930.0
2025-10-25,ELE_IPHONE_14_PRO_001,1052.26,223,930.0
2025-11-01,ELE_IPHONE_14_PRO_001,1063.48,213,930.0
2025-11-08,ELE_IPHONE_14_PRO_001,1044.89,223,930.0
2025-11-15,ELE_IPHONE_14_PRO_001,799.2,832,930.0
2025-11-22,ELE_IPHONE_14_PRO_001,1034.55,234,930.0
2025-11-29,ELE_IPHONE_14_PRO_001,1053.55,236,930.0
2025-12-06,ELE_IPHONE_14_PRO_001,1058.03,222,930.0
2025-12-13,ELE_IPHONE_14_PRO_001,799.2,926,930.0
2025-12-20,ELE_IPHONE_14_PRO_001,1062.55,265,930.0
2025-12-27,ELE_IPHONE_14_PRO_001,1063.39,243,930.0
2026-01-03,ELE_IPHONE_14_PRO_001,1054.55,252,930.0
2026-01-10,ELE_IPHONE_14_PRO_001,799.2,994,930.0
2026-01-17,ELE_IPHONE_14_PRO_001,1066.69,280,930.0
2026-01-24,ELE_IPHONE_14_PRO_001,1050.3,288,930.0
2026-01-31,ELE_IPHONE_14_PRO_001,1059.67,240,930.0
2026-02-07,ELE_IPHONE_14_PRO_001,799.2,1007,930.0
2026-02-14,ELE_IPHONE_14_PRO_001,1044.31,315,930.0
2026-02-21,ELE_IPHONE_14_PRO_001,1053.19,252,930.0
2026-02-28,ELE_IPHONE_14_PRO_001,1059.05,256,930.0
2026-03-07,ELE_IPHONE_14_PRO_001,799.2,999,930.0
2026-03-14,ELE_IPHONE_14_PRO_001,1062.02,297,930.0
2026-03-21,ELE_IPHONE_14_PRO_001,1037.19,268,930.0
2026-03-28,ELE_IPHONE_14_PRO_001,1049.38,289,930.0
2026-04-04,ELE_IPHONE_14_PRO_001,799.2,1127,930.0
2026-04-11,ELE_IPHONE_14_PRO_001,1045.68,86,930.0
2026-04-18,ELE_IPHONE_14_PRO_001,1049.1,432,930.0
2026-04-25,ELE_IPHONE_14_PRO_001,1071.84,341,930.0
2026-05-02,ELE_IPHONE_14_PRO_001,799.2,1061,930.0
2026-05-09,ELE_IPHONE_14_PRO_001,1032.25,126,930.0
2026-05-16,ELE_IPHONE_14_PRO_001,1061.42,398,930.0
2026-05-23,ELE_IPHONE_14_PRO_001,1052.22,280,930.0
2026-05-30,ELE_IPHONE_14_PRO_001,799.2,1018,930.0
2026-06-06,ELE_IPHONE_14_PRO_001,1046.05,270,930.0
2026-06-13,ELE_IPHONE_14_PRO_001,1043.06,253,930.0
2026-06-20,ELE_IPHONE_14_PRO_001,1047.62,234,930.0
