date,comp_price_avg,comp_price_min,comp_price_max
2023-07-01,973.43,924.76,1022.0999999999999
2023-07-08,969.58,921.1,1018.0600000000001
2023-07-15,958.96,911.01,1006.9100000000001
2023-07-22,942.34,895.22,989.46
2023-07-29,957.25,909.39,1005.11
2023-08-05,988.47,939.0500000000001,1037.89
2023-08-12,998.92,948.9699999999999,1048.87
2023-08-19,1024.68,973.45,1075.91
2023-08-26,1066.85,1013.5099999999999,1120.1899999999998
2023-09-02,1102.76,1047.62,1157.9
2023-09-09,1138.3,1081.3799999999999,1195.22
2023-09-16,1141.35,1084.28,1198.4199999999998
2023-09-23,1149.05,1091.6,1206.5
2023-09-30,1131.52,1074.94,1188.1
2023-10-07,1140.07,1083.07,1197.07
2023-10-14,1146.24,1088.93,1203.55
2023-10-21,1156.72,1098.88,1214.56
2023-10-28,1130.4,1073.88,1186.92
2023-11-04,1093.36,1038.6899999999998,1148.03
2023-11-11,1065.29,1012.03,1118.55
2023-11-18,1062.3,1009.18,1115.4199999999998
2023-11-25,1061.6,1008.5199999999999,1114.6799999999998
2023-12-02,1046.71,994.37,1099.05
2023-12-09,1035.01,983.26,1086.76
2023-12-16,1027.82,976.43,1079.21
2023-12-23,992.9,943.26,1042.54
2023-12-30,971.64,923.06,1020.22
2024-01-06,955.5,907.72,1003.28
2024-01-13,949.82,902.33,997.3100000000001
2024-01-20,931.84,885.25,978.4300000000001
2024-01-27,916.36,870.54,962.1800000000001
2024-02-03,902.9,857.76,948.04
2024-02-10,864.52,821.29,907.75
2024-02-17,876.96,833.11,920.8100000000001
2024-02-24,877.46,833.59,921.33
2024-03-02,875.85,832.0600000000001,919.64
2024-03-09,877.04,833.1899999999999,920.89
2024-03-16,872.29,828.68,915.9
2024-03-23,873.67,829.99,917.3499999999999
2024-03-30,888.1,843.7,932.5
2024-04-06,902.49,857.37,947.61
2024-04-13,916.17,870.3599999999999,961.98
2024-04-20,938.35,891.4300000000001,985.27
2024-04-27,950.56,903.03,998.0899999999999
2024-05-04,974.14,925.43,1022.85
2024-05-11,1000.69,950.6600000000001,1050.72
2024-05-18,1011.94,961.34,1062.54
2024-05-25,1042.24,990.13,1094.35
2024-06-01,1056.84,1003.9999999999999,1109.6799999999998
2024-06-08,1039.6,987.6199999999999,1091.58
2024-06-15,1046.21,993.9000000000001,1098.52
2024-06-22,1086.9,1032.5500000000002,1141.25
2024-06-29,1082.32,1028.2,1136.4399999999998
2024-07-06,1092.08,1037.48,1146.6799999999998
2024-07-13,1096.57,1041.74,1151.3999999999999
2024-07-20,1145.49,1088.22,1202.76
2024-07-27,1148.95,1091.5,1206.4
2024-08-03,1152.55,1094.9199999999998,1210.18
2024-08-10,1111.48,1055.91,1167.05
2024-08-17,1102.29,1047.18,1157.3999999999999
2024-08-24,1089.86,1035.37,1144.35
2024-08-31,1046.97,994.62,1099.32
2024-09-07,1033.06,981.41,1084.71
2024-09-14,1049.09,996.6399999999999,1101.54
2024-09-21,1017.81,966.92,1068.7
2024-09-28,993.73,944.04,1043.42
2024-10-05,966.46,918.14,1014.7800000000001
2024-10-12,951.5,903.92,999.08
2024-10-19,943.18,896.02,990.3399999999999
2024-10-26,943.25,896.09,990.41
2024-11-02,917.49,871.62,963.36
2024-11-09,905.78,860.49,951.0699999999999
2024-11-16,878.08,834.1800000000001,921.98
2024-11-23,877.1,833.24,920.96
2024-11-30,879.04,835.0899999999999,922.99
2024-12-07,899.01,854.06,943.96
2024-12-14,891.12,846.56,935.6800000000001
2024-12-21,890.89,846.35,935.43
2024-12-28,894.2,849.49,938.9100000000001
2025-01-04,934.68,887.9499999999999,981.41
2025-01-11,947.46,900.09,994.83
2025-01-18,992.67,943.04,1042.3
2025-01-25,991.76,942.17,1041.35
2025-02-01,994.66,944.93,1044.3899999999999
2025-02-08,1014.4,963.68,1065.12
2025-02-15,1016.5,965.68,1067.32
2025-02-22,1028.52,977.09,1079.95
2025-03-01,1034.36,982.6399999999999,1086.08
