date,cci_current,cci_baseline,google_trends_score
2023-07-01,102.1,100.0,59.3
2023-07-08,100.7,100.0,39.3
2023-07-15,100.9,100.0,51.7
2023-07-22,98.8,100.0,52.6
2023-07-29,99.1,100.0,44.8
2023-08-05,97.6,100.0,45.6
2023-08-12,99.0,100.0,40.7
2023-08-19,98.6,100.0,47.5
2023-08-26,101.2,100.0,38.4
2023-09-02,98.4,100.0,48.3
2023-09-09,100.1,100.0,40.8
2023-09-16,100.6,100.0,38.7
2023-09-23,98.9,100.0,38.0
2023-09-30,100.3,100.0,34.6
2023-10-07,100.4,100.0,44.7
2023-10-14,98.7,100.0,39.0
2023-10-21,99.9,100.0,40.3
2023-10-28,99.9,100.0,40.3
2023-11-04,100.9,100.0,45.8
2023-11-11,101.6,100.0,40.2
2023-11-18,99.2,100.0,35.3
2023-11-25,98.5,100.0,44.4
2023-12-02,100.0,100.0,48.6
2023-12-09,98.8,100.0,44.4
2023-12-16,99.7,100.0,42.7
2023-12-23,101.8,100.0,50.9
2023-12-30,101.4,100.0,51.7
2024-01-06,97.9,100.0,51.3
2024-01-13,101.3,100.0,41.2
2024-01-20,100.7,100.0,57.1
2024-01-27,101.0,100.0,44.2
2024-02-03,101.8,100.0,66.0
2024-02-10,100.9,100.0,54.6
2024-02-17,101.1,100.0,62.5
2024-02-24,99.1,100.0,63.0
2024-03-02,99.8,100.0,59.0
2024-03-09,101.7,100.0,64.7
2024-03-16,98.1,100.0,60.7
2024-03-23,101.2,100.0,60.2
2024-03-30,103.3,100.0,62.0
2024-04-06,99.8,100.0,73.7
2024-04-13,97.6,100.0,59.4
2024-04-20,101.3,100.0,55.5
2024-04-27,100.9,100.0,63.7
2024-05-04,101.5,100.0,65.8
2024-05-11,100.6,100.0,56.8
2024-05-18,98.7,100.0,62.9
2024-05-25,99.8,100.0,53.0
2024-06-01,99.8,100.0,53.8
2024-06-08,100.7,100.0,58.5
2024-06-15,100.5,100.0,50.2
2024-06-22,99.0,100.0,51.9
2024-06-29,99.8,100.0,47.7
2024-07-06,101.2,100.0,39.9
2024-07-13,98.7,100.0,50.4
