date,units_in_stock,avg_daily_sales_14d
2023-07-01,1198,43.14
2023-07-08,917,41.43
2023-07-15,946,36.86
2023-07-22,962,36.29
2023-07-29,937,37.43
2023-08-05,927,34.86
2023-08-12,988,33.43
2023-08-19,1018,31.0
2023-08-26,946,36.0
2023-09-02,940,32.29
2023-09-09,1008,28.57
2023-09-16,980,34.29
2023-09-23,994,33.14
2023-09-30,933,32.71
2023-10-07,946,31.14
2023-10-14,918,35.43
2023-10-21,957,34.29
2023-10-28,876,38.43
2023-11-04,925,40.29
2023-11-11,969,33.71
2023-11-18,954,39.29
2023-11-25,903,38.43
2023-12-02,885,45.71
2023-12-09,890,49.57
2023-12-16,861,48.57
2023-12-23,853,50.14
2023-12-30,854,49.57
2024-01-06,890,48.57
2024-01-13,796,55.29
2024-01-20,858,51.14
2024-01-27,804,57.29
2024-02-03,807,56.29
2024-02-10,803,50.71
2024-02-17,821,51.71
2024-02-24,891,51.0
2024-03-02,860,49.43
2024-03-09,842,49.0
2024-03-16,834,53.14
2024-03-23,881,50.71
2024-03-30,904,43.43
2024-04-06,860,45.29
2024-04-13,935,40.43
2024-04-20,911,37.43
2024-04-27,976,33.14
2024-05-04,1010,32.57
2024-05-11,681,75.71
2024-05-18,962,28.71
2024-05-25,985,26.57
2024-06-01,1034,25.71
2024-06-08,1029,26.71
2024-06-15,1038,23.86
2024-06-22,1015,28.0
2024-06-29,1025,26.14
2024-07-06,1036,26.0
2024-07-13,942,30.29
2024-07-20,1005,28.14
2024-07-27,987,37.0
2024-08-03,910,35.29
2024-08-10,980,35.0
2024-08-17,882,42.29
2024-08-24,922,43.14
2024-08-31,885,50.0
2024-09-07,848,56.43
2024-09-14,798,54.0
2024-09-21,828,58.29
2024-09-28,769,62.29
2024-10-05,676,70.86
2024-10-12,734,65.71
2024-10-19,664,77.29
2024-10-26,671,70.29
2024-11-02,669,68.43
2024-11-09,770,60.86
2024-11-16,620,75.71
2024-11-23,743,60.14
2024-11-30,746,60.86
2024-12-07,811,55.0
2024-12-14,843,50.29
2024-12-21,830,52.43
2024-12-28,911,39.43
2025-01-04,1007,39.86
2025-01-11,898,40.43
2025-01-18,928,35.43
2025-01-25,958,34.29
2025-02-01,1002,31.57
2025-02-08,1002,29.43
2025-02-15,1034,28.0
2025-02-22,1015,29.0
2025-03-01,954,30.43
2025-03-08,994,29.29
2025-03-15,979,27.86
2025-03-22,1049,28.0
2025-03-29,981,26.71
2025-04-05,1059,27.86
2025-04-12,926,33.14
2025-04-19,956,37.43
2025-04-26,929,39.14
2025-05-03,907,41.86
2025-05-10,898,42.57
2025-05-17,872,41.29
2025-05-24,908,49.0
2025-05-31,826,57.0
2025-06-07,774,58.71
2025-06-14,774,64.57
2025-06-21,666,74.29
2025-06-28,702,74.57
2025-07-05,689,79.14
2025-07-12,656,77.14
2025-07-19,683,84.43
2025-07-26,714,68.86
2025-08-02,634,75.71
2025-08-09,42,157.14
2025-08-16,1180,6.0
2025-08-23,614,87.14
2025-08-30,687,75.0
2025-09-06,703,69.71
2025-09-13,808,53.71
2025-09-20,924,44.57
2025-09-27,938,38.57
2025-10-04,948,35.71
2025-10-11,971,29.43
2025-10-18,1070,25.14
2025-10-25,972,26.86
2025-11-01,1017,26.43
2025-11-08,1084,23.71
2025-11-15,1052,24.14
2025-11-22,1024,26.43
2025-11-29,1066,22.57
2025-12-06,1082,21.14
2025-12-13,1038,21.86
2025-12-20,1009,26.14
2025-12-27,1033,24.43
2026-01-03,1033,26.29
2026-01-10,1054,32.14
2026-01-17,914,33.29
2026-01-24,897,35.86
2026-01-31,911,40.14
2026-02-07,900,43.14
2026-02-14,878,48.71
2026-02-21,854,53.14
2026-02-28,772,61.71
2026-03-07,757,66.71
2026-03-14,692,74.14
2026-03-21,688,72.86
2026-03-28,586,89.86
2026-04-04,574,86.43
2026-04-11,542,92.43
2026-04-18,543,93.29
2026-04-25,532,94.86
2026-05-02,521,95.14
2026-05-09,595,87.86
2026-05-16,634,79.0
2026-05-23,680,70.29
2026-05-30,737,64.71
2026-06-06,764,63.14
2026-06-13,900,44.29
2026-06-20,890,46.86
