date,sku_id,unit_price,units_sold,cost_per_unit
2023-07-01,ELE_IPHONE_14_PRO_001,992.93,285,600.0
2023-07-08,ELE_IPHONE_14_PRO_001,1016.76,291,600.0
2023-07-15,ELE_IPHONE_14_PRO_001,1051.71,260,600.0
2023-07-22,ELE_IPHONE_14_PRO_001,1070.98,239,600.0
2023-07-29,ELE_IPHONE_14_PRO_001,1088.96,245,600.0
2023-08-05,ELE_IPHONE_14_PRO_001,1103.06,255,600.0
2023-08-12,ELE_IPHONE_14_PRO_001,1127.74,232,600.0
2023-08-19,ELE_IPHONE_14_PRO_001,1152.69,233,600.0
2023-08-26,ELE_IPHONE_14_PRO_001,1134.28,248,600.0
2023-09-02,ELE_IPHONE_14_PRO_001,1133.48,241,600.0
2023-09-09,ELE_IPHONE_14_PRO_001,1145.39,248,600.0
2023-09-16,ELE_IPHONE_14_PRO_001,1137.9,238,600.0
2023-09-23,ELE_IPHONE_14_PRO_001,1132.93,228,600.0
2023-09-30,ELE_IPHONE_14_PRO_001,1118.98,241,600.0
2023-10-07,ELE_IPHONE_14_PRO_001,1105.97,243,600.0
2023-10-14,ELE_IPHONE_14_PRO_001,1099.5,226,600.0
2023-10-21,ELE_IPHONE_14_PRO_001,1068.46,256,600.0
2023-10-28,ELE_IPHONE_14_PRO_001,1075.36,261,600.0
2023-11-04,ELE_IPHONE_14_PRO_001,1022.11,254,600.0
2023-11-11,ELE_IPHONE_14_PRO_001,1009.51,266,600.0
2023-11-18,ELE_IPHONE_14_PRO_001,984.72,273,600.0
2023-11-25,ELE_IPHONE_14_PRO_001,953.0,301,600.0
2023-12-02,ELE_IPHONE_14_PRO_001,939.66,295,600.0
2023-12-09,ELE_IPHONE_14_PRO_001,923.7,294,600.0
2023-12-16,ELE_IPHONE_14_PRO_001,891.09,326,600.0
2023-12-23,ELE_IPHONE_14_PRO_001,896.18,339,600.0
2023-12-30,ELE_IPHONE_14_PRO_001,884.75,352,600.0
2024-01-06,ELE_IPHONE_14_PRO_001,852.77,392,600.0
2024-01-13,ELE_IPHONE_14_PRO_001,848.22,364,600.0
2024-01-20,ELE_IPHONE_14_PRO_001,845.51,379,600.0
2024-01-27,ELE_IPHONE_14_PRO_001,846.78,375,600.0
2024-02-03,ELE_IPHONE_14_PRO_001,864.98,370,600.0
2024-02-10,ELE_IPHONE_14_PRO_001,862.95,379,600.0
2024-02-17,ELE_IPHONE_14_PRO_001,862.98,348,600.0
2024-02-24,ELE_IPHONE_14_PRO_001,893.58,384,600.0
2024-03-02,ELE_IPHONE_14_PRO_001,901.88,376,600.0
2024-03-09,ELE_IPHONE_14_PRO_001,934.51,368,600.0
2024-03-16,ELE_IPHONE_14_PRO_001,957.22,351,600.0
2024-03-23,ELE_IPHONE_14_PRO_001,957.91,362,600.0
2024-03-30,ELE_IPHONE_14_PRO_001,1006.36,339,600.0
2024-04-06,ELE_IPHONE_14_PRO_001,1022.14,318,600.0
2024-04-13,ELE_IPHONE_14_PRO_001,1061.4,276,600.0
2024-04-20,ELE_IPHONE_14_PRO_001,1072.95,244,600.0
2024-04-27,ELE_IPHONE_14_PRO_001,1089.1,229,600.0
2024-05-04,ELE_IPHONE_14_PRO_001,1121.4,207,600.0
2024-05-11,ELE_IPHONE_14_PRO_001,1116.41,520,600.0
2024-05-18,ELE_IPHONE_14_PRO_001,1133.06,175,600.0
2024-05-25,ELE_IPHONE_14_PRO_001,1150.42,181,600.0
2024-06-01,ELE_IPHONE_14_PRO_001,1146.37,178,600.0
2024-06-08,ELE_IPHONE_14_PRO_001,1166.28,168,600.0
2024-06-15,ELE_IPHONE_14_PRO_001,1173.97,165,600.0
2024-06-22,ELE_IPHONE_14_PRO_001,1134.64,175,600.0
2024-06-29,ELE_IPHONE_14_PRO_001,1123.16,189,600.0
2024-07-06,ELE_IPHONE_14_PRO_001,1119.56,191,600.0
2024-07-13,ELE_IPHONE_14_PRO_001,1088.39,223,600.0
2024-07-20,ELE_IPHONE_14_PRO_001,1071.73,232,600.0
2024-07-27,ELE_IPHONE_14_PRO_001,1056.73,226,600.0
2024-08-03,ELE_IPHONE_14_PRO_001,1037.85,233,600.0
2024-08-10,ELE_IPHONE_14_PRO_001,1023.85,247,600.0
2024-08-17,ELE_IPHONE_14_PRO_001,997.65,285,600.0
2024-08-24,ELE_IPHONE_14_PRO_001,966.16,311,600.0
2024-08-31,ELE_IPHONE_14_PRO_001,932.22,356,600.0
2024-09-07,ELE_IPHONE_14_PRO_001,909.78,341,600.0
2024-09-14,ELE_IPHONE_14_PRO_001,899.26,399,600.0
2024-09-21,ELE_IPHONE_14_PRO_001,879.09,419,600.0
2024-09-28,ELE_IPHONE_14_PRO_001,874.45,407,600.0
2024-10-05,ELE_IPHONE_14_PRO_001,876.0,452,600.0
2024-10-12,ELE_IPHONE_14_PRO_001,834.67,547,600.0
2024-10-19,ELE_IPHONE_14_PRO_001,850.07,493,600.0
