date,comp_price_avg,comp_price_min,comp_price_max
2023-07-01,1221.75,1160.66,1282.84
2023-07-08,1210.76,1150.22,1271.3
2023-07-15,1186.17,1126.8600000000001,1245.48
2023-07-22,1160.84,1102.8,1218.8799999999999
2023-07-29,1181.41,1122.3400000000001,1240.48
2023-08-05,1183.71,1124.52,1242.9
2023-08-12,1185.98,1126.68,1245.28
2023-08-19,1177.52,1118.6399999999999,1236.4
2023-08-26,1200.09,1140.09,1260.09
2023-09-02,1204.57,1144.34,1264.8
2023-09-09,1193.14,1133.48,1252.8000000000002
2023-09-16,1167.44,1109.0700000000002,1225.81
2023-09-23,1170.91,1112.3600000000001,1229.46
2023-09-30,1178.24,1119.33,1237.15
2023-10-07,1182.7,1123.56,1241.8400000000001
2023-10-14,1195.04,1135.29,1254.79
2023-10-21,1204.26,1144.05,1264.47
2023-10-28,1230.82,1169.28,1292.36
2023-11-04,1210.51,1149.98,1271.04
2023-11-11,1216.45,1155.63,1277.27
2023-11-18,1224.31,1163.09,1285.53
2023-11-25,1224.35,1163.1299999999999,1285.57
2023-12-02,1224.22,1163.01,1285.43
2023-12-09,1232.76,1171.12,1294.4
2023-12-16,1231.84,1170.25,1293.4299999999998
2023-12-23,1235.98,1174.18,1297.78
2023-12-30,1204.83,1144.59,1265.07
2024-01-06,1196.93,1137.0800000000002,1256.78
2024-01-13,1189.52,1130.04,1249.0
2024-01-20,1198.3,1138.3899999999999,1258.21
2024-01-27,1191.65,1132.0700000000002,1251.23
2024-02-03,1205.64,1145.3600000000001,1265.92
2024-02-10,1208.92,1148.47,1269.3700000000001
2024-02-17,1221.84,1160.75,1282.9299999999998
2024-02-24,1239.92,1177.92,1301.92
2024-03-02,1239.15,1177.19,1301.1100000000001
2024-03-09,1232.16,1170.5500000000002,1293.77
2024-03-16,1209.02,1148.57,1269.47
2024-03-23,1194.62,1134.8899999999999,1254.35
2024-03-30,1207.26,1146.9,1267.62
2024-04-06,1209.6,1149.12,1270.08
2024-04-13,1192.8,1133.1599999999999,1252.44
2024-04-20,1194.9,1135.15,1254.65
2024-04-27,1198.67,1138.74,1258.6000000000001
2024-05-04,1208.8,1148.36,1269.24
2024-05-11,1209.2,1148.74,1269.66
2024-05-18,1194.82,1135.08,1254.56
2024-05-25,1191.12,1131.56,1250.6799999999998
2024-06-01,1194.67,1134.94,1254.4
2024-06-08,1182.77,1123.6299999999999,1241.91
2024-06-15,1186.6,1127.27,1245.9299999999998
2024-06-22,1195.1,1135.35,1254.85
2024-06-29,1183.09,1123.9399999999998,1242.24
2024-07-06,1169.82,1111.33,1228.31
2024-07-13,1149.72,1092.23,1207.21
2024-07-20,1170.06,1111.56,1228.56
2024-07-27,1179.38,1120.41,1238.3500000000001
2024-08-03,1168.96,1110.51,1227.41
2024-08-10,1161.78,1103.69,1219.87
2024-08-17,1179.74,1120.75,1238.73
2024-08-24,1190.56,1131.03,1250.09
2024-08-31,1183.51,1124.33,1242.69
2024-09-07,1171.33,1112.76,1229.8999999999999
2024-09-14,1170.26,1111.75,1228.77
2024-09-21,1173.36,1114.6899999999998,1232.03
2024-09-28,1192.98,1133.33,1252.63
2024-10-05,1215.43,1154.66,1276.2
2024-10-12,1252.92,1190.27,1315.5700000000002
2024-10-19,1231.58,1170.0,1293.1599999999999
2024-10-26,1217.17,1156.3100000000002,1278.03
2024-11-02,1204.55,1144.32,1264.78
2024-11-09,1208.5,1148.07,1268.93
2024-11-16,1219.22,1158.26,1280.18
2024-11-23,1211.98,1151.38,1272.58
2024-11-30,1209.03,1148.58,1269.48
2024-12-07,1203.55,1143.37,1263.73
2024-12-14,1197.85,1137.9599999999998,1257.74
2024-12-21,1200.6,1140.57,1260.6299999999999
2024-12-28,1208.4,1147.98,1268.8200000000002
2025-01-04,1216.1,1155.3,1276.8999999999999
2025-01-11,1224.44,1163.22,1285.66
2025-01-18,913.82,868.1300000000001,959.51
2025-01-25,920.41,874.39,966.43
2025-02-01,901.4,856.3299999999999,946.47
2025-02-08,892.51,847.88,937.14
2025-02-15,913.13,867.47,958.79
2025-02-22,901.19,856.1300000000001,946.25
2025-03-01,926.47,880.15,972.7900000000001
2025-03-08,885.03,840.78,929.28
2025-03-15,887.27,842.91,931.63
2025-03-22,931.95,885.35,978.5500000000001
2025-03-29,892.83,848.19,937.47
2025-04-05,872.11,828.5,915.72
2025-04-12,902.34,857.22,947.46
2025-04-19,939.91,892.91,986.91
2025-04-26,908.95,863.5,954.4000000000001
2025-05-03,900.64,855.61,945.67
2025-05-10,913.83,868.1400000000001,959.52
2025-05-17,886.82,842.48,931.1600000000001
2025-05-24,918.65,872.72,964.5799999999999
2025-05-31,872.5,828.88,916.12
2025-06-07,880.77,836.73,924.81
2025-06-14,907.54,862.16,952.92
2025-06-21,904.14,858.93,949.35
2025-06-28,886.28,841.97,930.5899999999999
2025-07-05,900.94,855.8900000000001,945.99
2025-07-12,883.85,839.6600000000001,928.04
2025-07-19,894.32,849.6,939.0400000000001
2025-07-26,898.33,853.4100000000001,943.25
2025-08-02,878.72,834.78,922.6600000000001
2025-08-09,902.05,856.9499999999999,947.15
2025-08-16,891.22,846.6600000000001,935.78
2025-08-23,915.51,869.73,961.29
2025-08-30,893.85,849.1600000000001,938.54
2025-09-06,872.76,829.12,916.4
2025-09-13,898.52,853.59,943.4499999999999
2025-09-20,888.86,844.4200000000001,933.3
2025-09-27,910.03,864.53,955.53
2025-10-04,901.69,856.61,946.7700000000001
2025-10-11,867.9,824.5,911.3
2025-10-18,937.46,890.59,984.33
2025-10-25,910.59,865.0600000000001,956.12
2025-11-01,921.0,874.95,967.05
2025-11-08,904.61,859.38,949.84
2025-11-15,879.98,835.98,923.98
2025-11-22,915.26,869.5,961.02
2025-11-29,926.5,880.17,972.83
2025-12-06,892.45,847.83,937.07
2025-12-13,871.96,828.36,915.5600000000001
2025-12-20,882.69,838.5600000000001,926.82
2025-12-27,880.63,836.6,924.66
2026-01-03,923.78,877.5899999999999,969.97
2026-01-10,905.07,859.82,950.32
2026-01-17,916.04,870.24,961.8399999999999
2026-01-24,909.42,863.9499999999999,954.89
2026-01-31,895.69,850.9100000000001,940.47
2026-02-07,919.63,873.65,965.61
2026-02-14,900.7,855.6600000000001,945.74
2026-02-21,890.29,845.78,934.8
2026-02-28,909.89,864.4,955.38
2026-03-07,863.35,820.1800000000001,906.52
2026-03-14,871.44,827.87,915.0100000000001
2026-03-21,919.11,873.15,965.07
2026-03-28,890.55,846.02,935.0799999999999
2026-04-04,882.24,838.13,926.35
2026-04-11,885.63,841.35,929.91
2026-04-18,906.54,861.2099999999999,951.87
2026-04-25,881.39,837.3199999999999,925.46
2026-05-02,878.11,834.2,922.02
2026-05-09,908.96,863.51,954.4100000000001
2026-05-16,889.7,845.21,934.19
2026-05-23,881.97,837.87,926.07
2026-05-30,916.17,870.3599999999999,961.98
2026-06-06,889.22,844.76,933.6800000000001
2026-06-13,892.78,848.14,937.42
2026-06-20,897.34,852.47,942.21
