date,cci_current,cci_baseline,google_trends_score
2023-07-01,100.9,100.0,39.8
2023-07-08,101.4,100.0,51.8
2023-07-15,101.2,100.0,53.3
2023-07-22,99.6,100.0,52.4
2023-07-29,102.1,100.0,42.9
2023-08-05,102.1,100.0,50.9
2023-08-12,99.3,100.0,43.2
2023-08-19,100.8,100.0,42.3
2023-08-26,103.3,100.0,39.1
2023-09-02,100.3,100.0,38.7
2023-09-09,100.9,100.0,42.3
2023-09-16,100.7,100.0,34.6
2023-09-23,101.3,100.0,47.2
2023-09-30,100.0,100.0,42.1
2023-10-07,102.0,100.0,54.6
2023-10-14,100.1,100.0,38.2
2023-10-21,101.3,100.0,42.3
2023-10-28,97.9,100.0,39.9
2023-11-04,101.6,100.0,36.7
2023-11-11,102.7,100.0,41.9
2023-11-18,102.0,100.0,38.0
2023-11-25,99.3,100.0,41.0
2023-12-02,100.9,100.0,40.4
2023-12-09,100.6,100.0,39.5
2023-12-16,100.9,100.0,43.5
2023-12-23,99.4,100.0,57.3
2023-12-30,102.2,100.0,53.0
2024-01-06,100.7,100.0,48.5
2024-01-13,103.6,100.0,59.4
2024-01-20,100.9,100.0,55.6
2024-01-27,100.5,100.0,59.1
2024-02-03,98.2,100.0,50.8
2024-02-10,101.2,100.0,59.8
2024-02-17,99.9,100.0,54.9
2024-02-24,101.7,100.0,59.0
2024-03-02,101.4,100.0,61.4
2024-03-09,99.0,100.0,53.7
2024-03-16,103.0,100.0,55.1
2024-03-23,101.2,100.0,63.2
2024-03-30,98.8,100.0,62.1
2024-04-06,97.6,100.0,55.6
2024-04-13,99.0,100.0,67.0
2024-04-20,101.0,100.0,61.4
2024-04-27,99.7,100.0,54.9
2024-05-04,97.9,100.0,58.4
2024-05-11,101.4,100.0,56.2
2024-05-18,98.5,100.0,55.9
2024-05-25,103.7,100.0,55.8
2024-06-01,100.6,100.0,58.4
2024-06-08,99.8,100.0,50.8
2024-06-15,99.9,100.0,51.3
2024-06-22,99.4,100.0,53.0
2024-06-29,97.5,100.0,45.0
2024-07-06,99.4,100.0,48.0
2024-07-13,99.0,100.0,53.8
2024-07-20,100.3,100.0,44.4
2024-07-27,99.0,100.0,49.2
2024-08-03,101.2,100.0,49.3
2024-08-10,100.9,100.0,37.3
2024-08-17,100.6,100.0,44.8
2024-08-24,101.1,100.0,47.6
2024-08-31,99.9,100.0,38.4
2024-09-07,100.3,100.0,44.4
2024-09-14,103.2,100.0,41.5
2024-09-21,97.7,100.0,38.0
2024-09-28,98.8,100.0,41.2
2024-10-05,100.7,100.0,41.3
2024-10-12,100.0,100.0,45.5
2024-10-19,98.8,100.0,39.1
2024-10-26,101.8,100.0,37.2
2024-11-02,99.6,100.0,43.6
2024-11-09,100.1,100.0,40.9
2024-11-16,98.5,100.0,48.8
2024-11-23,102.0,100.0,52.5
2024-11-30,101.8,100.0,47.8
2024-12-07,101.2,100.0,45.8
2024-12-14,101.1,100.0,41.6
2024-12-21,100.7,100.0,46.8
2024-12-28,101.5,100.0,40.3
2025-01-04,100.9,100.0,51.2
2025-01-11,102.0,100.0,52.5
2025-01-18,97.7,100.0,51.6
2025-01-25,98.7,100.0,57.8
2025-02-01,100.1,100.0,56.8
2025-02-08,98.4,100.0,59.5
2025-02-15,98.4,100.0,60.4
2025-02-22,104.4,100.0,67.0
2025-03-01,99.8,100.0,53.1
2025-03-08,101.0,100.0,57.2
2025-03-15,102.2,100.0,51.8
2025-03-22,96.8,100.0,59.8
2025-03-29,99.7,100.0,52.6
2025-04-05,102.6,100.0,61.0
2025-04-12,101.1,100.0,64.2
2025-04-19,97.6,100.0,61.4
2025-04-26,99.6,100.0,53.5
2025-05-03,99.1,100.0,65.7
2025-05-10,101.8,100.0,53.6
2025-05-17,98.6,100.0,55.4
2025-05-24,101.5,100.0,50.1
2025-05-31,100.9,100.0,58.7
2025-06-07,99.6,100.0,55.1
2025-06-14,97.8,100.0,53.7
2025-06-21,99.2,100.0,48.4
2025-06-28,98.6,100.0,58.6
2025-07-05,101.3,100.0,40.7
2025-07-12,101.0,100.0,47.3
2025-07-19,99.9,100.0,54.9
2025-07-26,99.0,100.0,46.8
2025-08-02,101.9,100.0,44.0
2025-08-09,101.5,100.0,100.0
2025-08-16,100.8,100.0,45.2
2025-08-23,99.0,100.0,42.5
2025-08-30,100.8,100.0,32.1
2025-09-06,99.2,100.0,48.7
2025-09-13,100.8,100.0,37.2
2025-09-20,99.6,100.0,46.4
2025-09-27,100.7,100.0,42.0
2025-10-04,98.5,100.0,46.7
2025-10-11,98.8,100.0,36.6
2025-10-18,101.4,100.0,39.9
2025-10-25,100.4,100.0,39.5
2025-11-01,96.3,100.0,36.4
2025-11-08,98.8,100.0,48.8
2025-11-15,98.2,100.0,45.8
2025-11-22,100.7,100.0,42.4
2025-11-29,101.1,100.0,50.8
2025-12-06,97.8,100.0,52.9
2025-12-13,99.0,100.0,43.3
2025-12-20,97.0,100.0,52.6
2025-12-27,100.6,100.0,49.0
2026-01-03,101.6,100.0,62.5
2026-01-10,99.3,100.0,60.4
