date,units_in_stock,avg_daily_sales_14d
2023-07-01,184,8.86
2023-07-08,185,9.14
2023-07-15,196,8.57
2023-07-22,201,7.29
2023-07-29,199,7.57
2023-08-05,199,8.14
2023-08-12,206,7.43
2023-08-19,208,7.0
2023-08-26,200,8.14
2023-09-02,215,7.29
2023-09-09,221,7.71
2023-09-16,214,8.14
2023-09-23,219,8.14
2023-09-30,233,7.14
2023-10-07,237,6.86
2023-10-14,231,8.29
2023-10-21,247,7.43
2023-10-28,242,8.14
2023-11-04,240,8.0
2023-11-11,248,7.43
2023-11-18,253,8.14
2023-11-25,249,8.29
2023-12-02,246,8.71
2023-12-09,250,8.0
2023-12-16,256,8.14
2023-12-23,248,9.0
2023-12-30,247,8.57
2024-01-06,242,9.0
2024-01-13,240,8.86
2024-01-20,229,9.57
2024-01-27,228,8.43
2024-02-03,212,9.43
2024-02-10,201,8.71
2024-02-17,192,9.57
2024-02-24,194,9.0
2024-03-02,190,8.71
2024-03-09,183,10.14
2024-03-16,172,8.86
2024-03-23,180,9.29
2024-03-30,172,9.0
2024-04-06,179,9.14
2024-04-13,179,8.71
2024-04-20,178,9.86
2024-04-27,192,7.71
2024-05-04,180,9.86
2024-05-11,85,22.29
2024-05-18,79,9.14
2024-05-25,84,8.29
2024-06-01,78,9.29
2024-06-08,74,8.43
2024-06-15,74,9.0
2024-06-22,63,8.86
2024-06-29,64,8.0
2024-07-06,59,7.86
2024-07-13,50,9.71
2024-07-20,48,8.86
2024-07-27,42,8.86
2024-08-03,35,8.86
2024-08-10,37,9.29
2024-08-17,37,9.29
2024-08-24,43,7.71
2024-08-31,32,9.29
2024-09-07,28,8.86
2024-09-14,28,8.71
2024-09-21,20,9.14
2024-09-28,65,2.86
2024-10-05,72,8.14
2024-10-12,75,7.71
2024-10-19,91,7.29
2024-10-26,93,7.57
2024-11-02,99,8.29
2024-11-09,106,8.14
2024-11-16,95,7.86
2024-11-23,95,7.43
2024-11-30,91,8.43
2024-12-07,109,8.29
2024-12-14,116,8.71
2024-12-21,113,8.71
2024-12-28,107,7.57
2025-01-04,107,8.57
2025-01-11,101,8.71
2025-01-18,97,8.29
2025-01-25,85,9.0
2025-02-01,87,8.86
2025-02-08,82,9.0
2025-02-15,81,8.86
2025-02-22,87,8.57
2025-03-01,73,9.14
2025-03-08,67,9.43
2025-03-15,63,9.43
2025-03-22,52,9.29
2025-03-29,31,11.0
2025-04-05,10,10.0
2025-04-12,55,1.43
2025-04-19,33,11.43
2025-04-26,34,9.86
2025-05-03,10,12.29
2025-05-10,59,1.43
2025-05-17,39,12.29
2025-05-24,18,12.0
2025-05-31,70,2.57
2025-06-07,49,10.57
2025-06-14,21,13.0
2025-06-21,66,3.0
2025-06-28,35,11.43
2025-07-05,20,11.86
2025-07-12,59,2.86
2025-07-19,35,12.14
2025-07-26,10,12.0
2025-08-02,62,1.43
2025-08-09,10,20.71
2025-08-16,60,1.43
2025-08-23,63,9.57
2025-08-30,73,9.29
2025-09-06,67,9.57
2025-09-13,79,8.29
2025-09-20,77,9.0
2025-09-27,61,10.14
2025-10-04,56,9.43
2025-10-11,39,11.0
2025-10-18,18,11.14
2025-10-25,68,2.57
2025-11-01,54,9.43
2025-11-08,45,10.86
2025-11-15,35,10.0
2025-11-22,33,10.86
2025-11-29,14,10.14
2025-12-06,44,2.0
2025-12-13,17,12.0
2025-12-20,55,2.43
2025-12-27,20,13.57
2026-01-03,54,2.86
2026-01-10,39,11.14
2026-01-17,23,11.57
2026-01-24,69,3.29
2026-01-31,62,10.57
2026-02-07,51,11.57
2026-02-14,21,12.43
2026-02-21,52,3.0
2026-02-28,42,12.57
2026-03-07,10,13.57
2026-03-14,66,1.43
2026-03-21,38,11.43
2026-03-28,10,12.71
2026-04-04,51,1.43
2026-04-11,19,13.57
2026-04-18,50,2.71
2026-04-25,21,13.29
2026-05-02,60,3.0
2026-05-09,38,11.0
2026-05-16,10,12.29
2026-05-23,54,1.43
2026-05-30,20,13.0
2026-06-06,51,2.86
2026-06-13,35,12.0
2026-06-20,14,12.14
