date,sku_id,unit_price,units_sold,cost_per_unit
2023-07-01,ELE_LAPTOP_001,1210.75,62,800.0
2023-07-08,ELE_LAPTOP_001,1177.48,64,800.0
2023-07-15,ELE_LAPTOP_001,1177.97,60,800.0
2023-07-22,ELE_LAPTOP_001,1225.34,51,800.0
2023-07-29,ELE_LAPTOP_001,1208.87,53,800.0
2023-08-05,ELE_LAPTOP_001,1200.69,57,800.0
2023-08-12,ELE_LAPTOP_001,1215.32,52,800.0
2023-08-19,ELE_LAPTOP_001,1278.29,49,800.0
2023-08-26,ELE_LAPTOP_001,1137.63,57,800.0
2023-09-02,ELE_LAPTOP_001,1193.01,51,800.0
2023-09-09,ELE_LAPTOP_001,1168.49,54,800.0
2023-09-16,ELE_LAPTOP_001,1179.68,57,800.0
2023-09-23,ELE_LAPTOP_001,1182.04,57,800.0
2023-09-30,ELE_LAPTOP_001,1207.22,50,800.0
2023-10-07,ELE_LAPTOP_001,1223.65,48,800.0
2023-10-14,ELE_LAPTOP_001,1156.94,58,800.0
2023-10-21,ELE_LAPTOP_001,1202.87,52,800.0
2023-10-28,ELE_LAPTOP_001,1222.84,57,800.0
2023-11-04,ELE_LAPTOP_001,1193.47,56,800.0
2023-11-11,ELE_LAPTOP_001,1281.65,52,800.0
2023-11-18,ELE_LAPTOP_001,1226.28,57,800.0
2023-11-25,ELE_LAPTOP_001,1163.1,58,800.0
2023-12-02,ELE_LAPTOP_001,1202.21,61,800.0
2023-12-09,ELE_LAPTOP_001,1222.32,56,800.0
2023-12-16,ELE_LAPTOP_001,1226.71,57,800.0
2023-12-23,ELE_LAPTOP_001,1195.93,63,800.0
2023-12-30,ELE_LAPTOP_001,1220.61,60,800.0
2024-01-06,ELE_LAPTOP_001,1165.33,63,800.0
2024-01-13,ELE_LAPTOP_001,1217.82,62,800.0
2024-01-20,ELE_LAPTOP_001,1177.18,67,800.0
2024-01-27,ELE_LAPTOP_001,1240.34,59,800.0
2024-02-03,ELE_LAPTOP_001,1201.64,66,800.0
2024-02-10,ELE_LAPTOP_001,1246.47,61,800.0
2024-02-17,ELE_LAPTOP_001,1154.82,67,800.0
2024-02-24,ELE_LAPTOP_001,1173.74,63,800.0
2024-03-02,ELE_LAPTOP_001,1223.59,61,800.0
2024-03-09,ELE_LAPTOP_001,1184.39,71,800.0
2024-03-16,ELE_LAPTOP_001,1228.01,62,800.0
2024-03-23,ELE_LAPTOP_001,1201.23,65,800.0
2024-03-30,ELE_LAPTOP_001,1183.23,63,800.0
2024-04-06,ELE_LAPTOP_001,1196.76,64,800.0
2024-04-13,ELE_LAPTOP_001,1194.59,61,800.0
2024-04-20,ELE_LAPTOP_001,1170.89,69,800.0
2024-04-27,ELE_LAPTOP_001,1246.48,54,800.0
2024-05-04,ELE_LAPTOP_001,1210.32,69,800.0
2024-05-11,ELE_LAPTOP_001,1221.69,156,800.0
2024-05-18,ELE_LAPTOP_001,1178.25,64,800.0
2024-05-25,ELE_LAPTOP_001,1213.63,58,800.0
2024-06-01,ELE_LAPTOP_001,1161.35,65,800.0
2024-06-08,ELE_LAPTOP_001,1223.94,59,800.0
2024-06-15,ELE_LAPTOP_001,1206.43,63,800.0
2024-06-22,ELE_LAPTOP_001,1219.47,62,800.0
2024-06-29,ELE_LAPTOP_001,1233.65,56,800.0
2024-07-06,ELE_LAPTOP_001,1243.43,55,800.0
2024-07-13,ELE_LAPTOP_001,1220.65,68,800.0
2024-07-20,ELE_LAPTOP_001,1210.49,62,800.0
2024-07-27,ELE_LAPTOP_001,1226.06,62,800.0
2024-08-03,ELE_LAPTOP_001,1221.3,62,800.0
2024-08-10,ELE_LAPTOP_001,1209.22,65,800.0
2024-08-17,ELE_LAPTOP_001,1199.28,65,800.0
2024-08-24,ELE_LAPTOP_001,1244.13,54,800.0
2024-08-31,ELE_LAPTOP_001,1186.26,65,800.0
2024-09-07,ELE_LAPTOP_001,1212.06,62,800.0
2024-09-14,ELE_LAPTOP_001,1227.11,61,800.0
2024-09-21,ELE_LAPTOP_001,1164.62,64,800.0
2024-09-28,ELE_LAPTOP_001,1225.74,20,800.0
2024-10-05,ELE_LAPTOP_001,1202.07,57,800.0
2024-10-12,ELE_LAPTOP_001,1183.36,54,800.0
2024-10-19,ELE_LAPTOP_001,1192.14,51,800.0
2024-10-26,ELE_LAPTOP_001,1227.55,53,800.0
