date,comp_price_avg,comp_price_min,comp_price_max
2023-07-01,1225.57,1164.29,1286.85
2023-07-08,1207.65,1147.27,1268.0300000000002
2023-07-15,1185.69,1126.41,1244.97
2023-07-22,1214.34,1153.62,1275.06
2023-07-29,1209.36,1148.8899999999999,1269.83
2023-08-05,1214.12,1153.4099999999999,1274.83
2023-08-12,1210.54,1150.01,1271.07
2023-08-19,1228.3,1166.8899999999999,1289.71
2023-08-26,1222.0,1160.9,1283.1
2023-09-02,1223.65,1162.47,1284.8300000000002
2023-09-09,1237.96,1176.06,1299.8600000000001
2023-09-16,1227.31,1165.94,1288.6799999999998
2023-09-23,1221.86,1160.77,1282.9499999999998
2023-09-30,1234.45,1172.73,1296.17
2023-10-07,1208.95,1148.5,1269.4
2023-10-14,1247.05,1184.7,1309.3999999999999
2023-10-21,1232.48,1170.8600000000001,1294.1
2023-10-28,1240.03,1178.03,1302.03
2023-11-04,1238.3,1176.3899999999999,1300.21
2023-11-11,1241.53,1179.45,1303.61
2023-11-18,1257.16,1194.3000000000002,1320.02
2023-11-25,1246.31,1183.99,1308.6299999999999
2023-12-02,1250.68,1188.15,1313.21
2023-12-09,1258.37,1195.4499999999998,1321.29
2023-12-16,1257.87,1194.9799999999998,1320.76
2023-12-23,1254.04,1191.34,1316.74
2023-12-30,1262.41,1199.2900000000002,1325.53
2024-01-06,1258.62,1195.6899999999998,1321.55
2024-01-13,1257.56,1194.6799999999998,1320.44
2024-01-20,1260.74,1197.7,1323.78
2024-01-27,1264.88,1201.64,1328.1200000000001
2024-02-03,1266.87,1203.53,1330.2099999999998
2024-02-10,1287.8,1223.4099999999999,1352.19
2024-02-17,1292.48,1227.8600000000001,1357.1
2024-02-24,1286.35,1222.03,1350.6699999999998
2024-03-02,1285.6,1221.32,1349.8799999999999
2024-03-09,1284.92,1220.67,1349.17
2024-03-16,1302.57,1237.44,1367.6999999999998
2024-03-23,1293.41,1228.74,1358.0800000000002
2024-03-30,1290.68,1226.15,1355.21
2024-04-06,1299.25,1234.29,1364.21
2024-04-13,1309.42,1243.95,1374.89
2024-04-20,1287.12,1222.76,1351.4799999999998
2024-04-27,1305.89,1240.6000000000001,1371.18
2024-05-04,1307.09,1241.74,1372.4399999999998
2024-05-11,1286.48,1222.16,1350.8
2024-05-18,1314.52,1248.79,1380.25
2024-05-25,1321.34,1255.27,1387.4099999999999
2024-06-01,1325.6,1259.32,1391.8799999999999
2024-06-08,1309.11,1243.6499999999999,1374.57
2024-06-15,1321.99,1255.89,1388.09
2024-06-22,1336.72,1269.88,1403.56
2024-06-29,1321.14,1255.0800000000002,1387.2
2024-07-06,1325.44,1259.17,1391.71
