date,units_in_stock,avg_daily_sales_14d
2023-07-01,242,8.29
2023-07-08,195,7.57
2023-07-15,177,8.43
2023-07-22,174,8.43
2023-07-29,183,7.86
2023-08-05,188,8.0
2023-08-12,183,8.14
2023-08-19,186,8.43
2023-08-26,183,7.71
2023-09-02,181,8.14
2023-09-09,187,7.29
2023-09-16,182,7.43
2023-09-23,184,7.86
2023-09-30,186,7.57
2023-10-07,192,6.71
2023-10-14,181,6.57
2023-10-21,188,7.29
2023-10-28,183,7.86
2023-11-04,192,7.0
2023-11-11,191,7.29
2023-11-18,182,7.43
2023-11-25,194,7.14
2023-12-02,180,8.0
2023-12-09,177,7.57
2023-12-16,177,8.29
2023-12-23,185,8.0
2023-12-30,186,7.86
2024-01-06,183,7.71
2024-01-13,183,8.43
2024-01-20,190,8.14
2024-01-27,177,8.43
2024-02-03,192,8.0
2024-02-10,178,9.14
2024-02-17,179,8.43
2024-02-24,184,8.0
2024-03-02,181,9.0
2024-03-09,177,8.29
2024-03-16,156,8.86
2024-03-23,182,8.71
2024-03-30,187,8.14
2024-04-06,180,8.57
2024-04-13,180,7.71
2024-04-20,170,8.57
2024-04-27,202,7.71
2024-05-04,175,7.86
2024-05-11,106,20.14
2024-05-18,188,7.43
2024-05-25,190,7.43
2024-06-01,181,8.0
2024-06-08,187,8.14
2024-06-15,189,7.0
2024-06-22,190,6.86
2024-06-29,182,7.57
2024-07-06,192,7.71
2024-07-13,192,7.29
2024-07-20,183,7.29
2024-07-27,193,6.86
2024-08-03,188,7.43
2024-08-10,209,6.14
2024-08-17,191,6.71
2024-08-24,195,6.29
2024-08-31,201,6.29
2024-09-07,196,6.14
2024-09-14,180,6.86
2024-09-21,197,6.0
2024-09-28,193,6.29
2024-10-05,195,6.71
2024-10-12,199,6.57
2024-10-19,201,5.86
2024-10-26,190,5.86
2024-11-02,182,6.71
2024-11-09,206,5.29
2024-11-16,200,6.14
2024-11-23,199,5.71
2024-11-30,203,6.43
2024-12-07,193,6.0
2024-12-14,193,6.29
2024-12-21,195,5.86
2024-12-28,187,6.86
2025-01-04,196,6.86
2025-01-11,204,6.43
2025-01-18,190,6.71
2025-01-25,202,7.14
2025-02-01,193,6.57
2025-02-08,189,7.0
2025-02-15,187,6.86
2025-02-22,190,6.86
2025-03-01,197,6.14
2025-03-08,185,6.43
2025-03-15,194,7.29
2025-03-22,199,6.57
2025-03-29,197,6.43
2025-04-05,183,7.0
2025-04-12,178,6.43
2025-04-19,190,6.14
2025-04-26,190,5.86
2025-05-03,187,7.14
2025-05-10,198,6.14
2025-05-17,198,6.57
2025-05-24,192,6.0
2025-05-31,200,6.14
2025-06-07,194,6.43
2025-06-14,200,6.0
2025-06-21,208,5.43
2025-06-28,200,5.14
2025-07-05,201,5.0
2025-07-12,198,5.29
2025-07-19,200,5.14
2025-07-26,193,5.43
2025-08-02,201,5.29
2025-08-09,157,11.29
2025-08-16,212,5.0
2025-08-23,197,5.14
2025-08-30,202,5.0
2025-09-06,193,4.71
2025-09-13,209,5.0
2025-09-20,209,4.43
2025-09-27,195,4.43
2025-10-04,202,4.86
2025-10-11,213,4.0
2025-10-18,203,4.71
2025-10-25,202,4.57
2025-11-01,207,5.14
2025-11-08,209,4.86
2025-11-15,205,5.0
2025-11-22,208,4.57
2025-11-29,212,4.86
2025-12-06,205,4.57
2025-12-13,204,4.86
2025-12-20,199,4.57
2025-12-27,192,5.29
2026-01-03,208,4.86
2026-01-10,208,4.29
2026-01-17,204,5.14
2026-01-24,201,5.0
2026-01-31,207,5.14
2026-02-07,205,5.29
2026-02-14,206,4.57
2026-02-21,199,5.0
2026-02-28,197,5.43
2026-03-07,205,5.43
2026-03-14,201,5.43
2026-03-21,203,5.14
2026-03-28,200,5.14
2026-04-04,202,5.43
2026-04-11,208,4.86
2026-04-18,204,4.86
2026-04-25,212,4.71
2026-05-02,205,5.14
2026-05-09,205,4.71
2026-05-16,202,4.71
2026-05-23,201,4.57
2026-05-30,197,5.14
2026-06-06,208,4.43
2026-06-13,217,4.29
2026-06-20,206,4.29
