date,sku_id,unit_price,units_sold,cost_per_unit
2023-07-01,ELE_LAPTOP_001,1217.89,58,800.0
2023-07-08,ELE_LAPTOP_001,1214.3,53,801.44
2023-07-15,ELE_LAPTOP_001,1199.51,59,802.87
2023-07-22,ELE_LAPTOP_001,1228.49,59,804.31
2023-07-29,ELE_LAPTOP_001,1185.04,55,805.74
2023-08-05,ELE_LAPTOP_001,1212.1,56,807.18
2023-08-12,ELE_LAPTOP_001,1227.07,57,808.62
2023-08-19,ELE_LAPTOP_001,1217.25,59,810.05
2023-08-26,ELE_LAPTOP_001,1223.92,54,811.49
2023-09-02,ELE_LAPTOP_001,1209.82,57,812.92
2023-09-09,ELE_LAPTOP_001,1223.47,51,814.36
2023-09-16,ELE_LAPTOP_001,1225.35,52,815.79
2023-09-23,ELE_LAPTOP_001,1252.24,55,817.23
2023-09-30,ELE_LAPTOP_001,1217.72,53,818.67
2023-10-07,ELE_LAPTOP_001,1256.34,47,820.1
2023-10-14,ELE_LAPTOP_001,1230.27,46,821.54
2023-10-21,ELE_LAPTOP_001,1232.82,51,822.97
2023-10-28,ELE_LAPTOP_001,1242.7,55,824.41
2023-11-04,ELE_LAPTOP_001,1235.95,49,825.85
2023-11-11,ELE_LAPTOP_001,1269.84,51,827.28
2023-11-18,ELE_LAPTOP_001,1238.5,52,828.72
2023-11-25,ELE_LAPTOP_001,1250.01,50,830.15
2023-12-02,ELE_LAPTOP_001,1264.99,56,831.59
2023-12-09,ELE_LAPTOP_001,1277.47,53,833.03
2023-12-16,ELE_LAPTOP_001,1254.4,58,834.46
2023-12-23,ELE_LAPTOP_001,1257.91,56,835.9
2023-12-30,ELE_LAPTOP_001,1258.42,55,837.33
2024-01-06,ELE_LAPTOP_001,1287.17,54,838.77
2024-01-13,ELE_LAPTOP_001,1259.67,59,840.21
2024-01-20,ELE_LAPTOP_001,1298.84,57,841.64
2024-01-27,ELE_LAPTOP_001,1256.04,59,843.08
2024-02-03,ELE_LAPTOP_001,1279.16,56,844.51
2024-02-10,ELE_LAPTOP_001,1254.62,64,845.95
2024-02-17,ELE_LAPTOP_001,1285.27,59,847.38
2024-02-24,ELE_LAPTOP_001,1286.34,56,848.82
2024-03-02,ELE_LAPTOP_001,1291.68,63,850.26
2024-03-09,ELE_LAPTOP_001,1289.96,58,851.69
2024-03-16,ELE_LAPTOP_001,1297.6,62,853.13
2024-03-23,ELE_LAPTOP_001,1296.52,61,854.56
