date,comp_price_avg,comp_price_min,comp_price_max
2023-07-01,1176.31,1117.49,1235.1299999999999
2023-07-08,1141.42,1084.3500000000001,1198.49
2023-07-15,1150.0,1092.5,1207.5
2023-07-22,1249.78,1187.29,1312.27
2023-07-29,1260.85,1197.81,1323.8899999999999
2023-08-05,1146.69,1089.3600000000001,1204.02
2023-08-12,1211.05,1150.5,1271.6
2023-08-19,1191.55,1131.97,1251.1299999999999
2023-08-26,1207.79,1147.3999999999999,1268.18
2023-09-02,1248.47,1186.05,1310.89
2023-09-09,1148.74,1091.3,1206.18
2023-09-16,1189.58,1130.1,1249.06
2023-09-23,1218.77,1157.83,1279.71
2023-09-30,1161.8,1103.71,1219.8899999999999
2023-10-07,1228.11,1166.6999999999998,1289.52
2023-10-14,1150.61,1093.08,1208.1399999999999
2023-10-21,1265.27,1202.01,1328.53
2023-10-28,1223.39,1162.22,1284.5600000000002
2023-11-04,1213.68,1153.0,1274.3600000000001
2023-11-11,1241.11,1179.05,1303.1699999999998
2023-11-18,1176.32,1117.5,1235.1399999999999
2023-11-25,1190.21,1130.7,1249.72
2023-12-02,1226.91,1165.5600000000002,1288.26
2023-12-09,1219.98,1158.98,1280.98
2023-12-16,1205.63,1145.3500000000001,1265.91
2023-12-23,1216.01,1155.21,1276.81
2023-12-30,1213.98,1153.28,1274.68
2024-01-06,1274.55,1210.82,1338.28
2024-01-13,1238.48,1176.56,1300.4
2024-01-20,1183.43,1124.26,1242.6000000000001
2024-01-27,1213.63,1152.95,1274.3100000000002
2024-02-03,1191.94,1132.3400000000001,1251.54
2024-02-10,1179.94,1120.94,1238.94
2024-02-17,1227.8,1166.4099999999999,1289.19
2024-02-24,1171.93,1113.3300000000002,1230.53
2024-03-02,1216.62,1155.79,1277.4499999999998
2024-03-09,1180.59,1121.56,1239.62
2024-03-16,1146.5,1089.17,1203.83
2024-03-23,1142.19,1085.0800000000002,1199.3
2024-03-30,1114.59,1058.86,1170.32
2024-04-06,1160.64,1102.6100000000001,1218.67
2024-04-13,1204.58,1144.35,1264.81
2024-04-20,1228.56,1167.1299999999999,1289.99
2024-04-27,1203.43,1143.26,1263.6000000000001
2024-05-04,1184.79,1125.55,1244.03
2024-05-11,1208.24,1147.83,1268.65
2024-05-18,1208.28,1147.87,1268.69
2024-05-25,1242.66,1180.53,1304.7900000000002
2024-06-01,1193.77,1134.08,1253.46
2024-06-08,1165.56,1107.28,1223.84
2024-06-15,1225.93,1164.63,1287.23
2024-06-22,1224.1,1162.8999999999999,1285.3
2024-06-29,1142.97,1085.82,1200.1200000000001
2024-07-06,1109.59,1054.11,1165.07
2024-07-13,1196.86,1137.02,1256.6999999999998
2024-07-20,1179.52,1120.54,1238.5
2024-07-27,1195.07,1135.32,1254.82
2024-08-03,1243.65,1181.47,1305.8300000000002
2024-08-10,1206.06,1145.76,1266.36
2024-08-17,1213.64,1152.96,1274.3200000000002
2024-08-24,1187.09,1127.74,1246.4399999999998
2024-08-31,1216.44,1155.6200000000001,1277.26
2024-09-07,1212.32,1151.7,1272.9399999999998
2024-09-14,1200.39,1140.3700000000001,1260.41
2024-09-21,1196.18,1136.3700000000001,1255.99
2024-09-28,1191.43,1131.8600000000001,1251.0
2024-10-05,1163.87,1105.6799999999998,1222.06
2024-10-12,1189.15,1129.69,1248.6100000000001
2024-10-19,1259.45,1196.48,1322.42
2024-10-26,1192.52,1132.8899999999999,1252.15
2024-11-02,1154.91,1097.16,1212.66
2024-11-09,1153.98,1096.28,1211.68
2024-11-16,1200.81,1140.77,1260.85
2024-11-23,1205.48,1145.21,1265.75
2024-11-30,1185.63,1126.3500000000001,1244.91
2024-12-07,1224.17,1162.96,1285.38
2024-12-14,1169.23,1110.77,1227.69
2024-12-21,1229.56,1168.08,1291.04
2024-12-28,1252.35,1189.73,1314.9699999999998
2025-01-04,1188.61,1129.1799999999998,1248.04
2025-01-11,1205.26,1145.0,1265.52
2025-01-18,1222.56,1161.4299999999998,1283.69
2025-01-25,1124.26,1068.05,1180.47
2025-02-01,1177.48,1118.6100000000001,1236.35
2025-02-08,1154.88,1097.14,1212.6200000000001
2025-02-15,1193.78,1134.09,1253.47
2025-02-22,1221.67,1160.5900000000001,1282.75
2025-03-01,1208.81,1148.37,1269.25
2025-03-08,1273.56,1209.8799999999999,1337.24
2025-03-15,1167.25,1108.89,1225.61
2025-03-22,1224.52,1163.29,1285.75
2025-03-29,1206.48,1146.16,1266.8
2025-04-05,1163.39,1105.22,1221.5600000000002
2025-04-12,1229.39,1167.92,1290.8600000000001
2025-04-19,1191.67,1132.0900000000001,1251.25
2025-04-26,1175.07,1116.32,1233.82
2025-05-03,1213.16,1152.5,1273.8200000000002
2025-05-10,1190.18,1130.67,1249.69
2025-05-17,1187.31,1127.94,1246.6799999999998
2025-05-24,1209.2,1148.74,1269.66
2025-05-31,1202.2,1142.0900000000001,1262.31
2025-06-07,1194.71,1134.97,1254.45
2025-06-14,1240.31,1178.29,1302.33
2025-06-21,1207.2,1146.8400000000001,1267.56
2025-06-28,1149.49,1092.02,1206.96
2025-07-05,1101.59,1046.51,1156.6699999999998
2025-07-12,1174.93,1116.18,1233.68
2025-07-19,1213.43,1152.76,1274.1000000000001
2025-07-26,1192.53,1132.8999999999999,1252.16
2025-08-02,1249.95,1187.45,1312.45
2025-08-09,1195.22,1135.46,1254.98
2025-08-16,1207.46,1147.0900000000001,1267.83
2025-08-23,1187.57,1128.1899999999998,1246.95
2025-08-30,1215.01,1154.26,1275.76
2025-09-06,1132.9,1076.25,1189.5500000000002
2025-09-13,1178.52,1119.59,1237.45
2025-09-20,1161.18,1103.1200000000001,1219.24
2025-09-27,1260.61,1197.58,1323.6399999999999
2025-10-04,1225.29,1164.03,1286.55
2025-10-11,1203.13,1142.97,1263.2900000000002
2025-10-18,1203.93,1143.73,1264.13
2025-10-25,1194.28,1134.57,1253.99
2025-11-01,1271.52,1207.94,1335.1
2025-11-08,1178.29,1119.3799999999999,1237.2
2025-11-15,1198.59,1138.6599999999999,1258.52
2025-11-22,1181.9,1122.8000000000002,1241.0
2025-11-29,1208.16,1147.75,1268.5700000000002
2025-12-06,1220.23,1159.22,1281.24
2025-12-13,1137.76,1080.87,1194.65
2025-12-20,1216.35,1155.53,1277.1699999999998
2025-12-27,1287.76,1223.37,1352.15
2026-01-03,1191.42,1131.8500000000001,1250.99
2026-01-10,1159.16,1101.2,1217.1200000000001
2026-01-17,1272.08,1208.48,1335.6799999999998
2026-01-24,1138.13,1081.22,1195.0400000000002
2026-01-31,1231.05,1169.5,1292.6
2026-02-07,1239.71,1177.72,1301.7
2026-02-14,1225.38,1164.1100000000001,1286.65
2026-02-21,1239.08,1177.1299999999999,1301.03
2026-02-28,1204.59,1144.36,1264.82
2026-03-07,1238.64,1176.71,1300.5700000000002
2026-03-14,1195.44,1135.67,1255.21
2026-03-21,1214.35,1153.6299999999999,1275.07
2026-03-28,1201.43,1141.3600000000001,1261.5
2026-04-04,1226.8,1165.46,1288.1399999999999
2026-04-11,1162.45,1104.3300000000002,1220.57
2026-04-18,1201.65,1141.5700000000002,1261.73
2026-04-25,1183.9,1124.7,1243.1000000000001
2026-05-02,1226.34,1165.02,1287.6599999999999
2026-05-09,1236.58,1174.75,1298.4099999999999
2026-05-16,1214.3,1153.58,1275.02
2026-05-23,1191.54,1131.96,1251.12
2026-05-30,1137.33,1080.46,1194.1999999999998
2026-06-06,1204.53,1144.3,1264.76
2026-06-13,1241.82,1179.73,1303.9099999999999
2026-06-20,1193.48,1133.81,1253.15
