date,cci_current,cci_baseline,google_trends_score
2023-07-01,101.2,100.0,47.1
2023-07-08,99.3,100.0,46.4
2023-07-15,99.4,100.0,45.5
2023-07-22,100.5,100.0,40.8
2023-07-29,101.2,100.0,48.4
2023-08-05,102.4,100.0,47.6
2023-08-12,98.4,100.0,54.6
2023-08-19,100.4,100.0,45.8
2023-08-26,102.2,100.0,40.8
2023-09-02,99.4,100.0,44.5
2023-09-09,99.8,100.0,33.1
2023-09-16,99.8,100.0,37.1
2023-09-23,98.9,100.0,34.7
2023-09-30,98.9,100.0,36.7
2023-10-07,99.2,100.0,41.1
2023-10-14,99.7,100.0,41.3
2023-10-21,101.9,100.0,38.4
2023-10-28,96.9,100.0,31.8
2023-11-04,98.5,100.0,41.8
2023-11-11,101.0,100.0,41.8
2023-11-18,99.3,100.0,42.9
2023-11-25,98.8,100.0,43.6
2023-12-02,97.5,100.0,45.3
2023-12-09,99.0,100.0,41.3
2023-12-16,98.3,100.0,41.9
2023-12-23,101.6,100.0,48.7
2023-12-30,101.6,100.0,56.3
2024-01-06,99.3,100.0,55.1
2024-01-13,102.1,100.0,47.4
2024-01-20,98.7,100.0,50.5
2024-01-27,101.6,100.0,53.6
2024-02-03,98.5,100.0,56.3
2024-02-10,101.4,100.0,43.5
2024-02-17,98.5,100.0,56.8
2024-02-24,100.2,100.0,58.9
2024-03-02,98.8,100.0,60.5
2024-03-09,98.2,100.0,60.1
2024-03-16,97.8,100.0,57.4
2024-03-23,99.7,100.0,62.2
2024-03-30,98.7,100.0,54.1
2024-04-06,101.0,100.0,64.0
2024-04-13,96.6,100.0,61.0
2024-04-20,101.8,100.0,61.8
2024-04-27,99.3,100.0,61.6
2024-05-04,97.2,100.0,58.8
2024-05-11,100.9,100.0,55.8
2024-05-18,98.8,100.0,65.1
2024-05-25,100.9,100.0,60.6
2024-06-01,100.0,100.0,59.5
2024-06-08,102.1,100.0,52.5
2024-06-15,100.6,100.0,53.0
2024-06-22,98.3,100.0,56.8
2024-06-29,100.0,100.0,49.5
2024-07-06,99.6,100.0,48.3
2024-07-13,101.6,100.0,49.0
2024-07-20,100.0,100.0,46.5
2024-07-27,97.0,100.0,49.4
2024-08-03,100.0,100.0,32.4
2024-08-10,99.7,100.0,49.6
2024-08-17,100.7,100.0,41.5
2024-08-24,98.9,100.0,46.3
2024-08-31,97.8,100.0,41.0
2024-09-07,102.0,100.0,42.5
2024-09-14,99.8,100.0,39.7
2024-09-21,100.1,100.0,42.9
2024-09-28,96.9,100.0,40.5
