date,units_in_stock,avg_daily_sales_14d
2023-07-01,136,14.86
2023-07-08,147,7.86
2023-07-15,147,8.29
2023-07-22,147,8.0
2023-07-29,100,15.0
2023-08-05,98,8.0
2023-08-12,100,8.71
2023-08-19,102,8.14
2023-08-26,63,14.14
2023-09-02,83,7.43
2023-09-09,97,7.29
2023-09-16,104,7.86
2023-09-23,65,13.57
2023-09-30,82,6.71
2023-10-07,81,7.71
2023-10-14,80,7.57
2023-10-21,38,13.86
2023-10-28,30,9.57
2023-11-04,28,8.86
2023-11-11,29,8.71
2023-11-18,10,16.14
2023-11-25,59,1.43
2023-12-02,49,9.57
2023-12-09,44,8.43
2023-12-16,10,16.43
2023-12-23,53,1.43
2023-12-30,58,9.14
2024-01-06,51,10.0
2024-01-13,10,19.57
2024-01-20,67,1.43
2024-01-27,59,9.14
2024-02-03,57,10.29
2024-02-10,10,19.29
2024-02-17,52,1.43
2024-02-24,36,10.0
2024-03-02,19,11.0
2024-03-09,68,2.71
2024-03-16,72,9.71
2024-03-23,63,9.43
2024-03-30,45,10.86
2024-04-06,10,19.29
2024-04-13,66,1.43
2024-04-20,61,8.71
2024-04-27,52,9.43
2024-05-04,10,20.57
2024-05-11,62,1.43
2024-05-18,53,8.86
2024-05-25,41,10.0
2024-06-01,10,18.71
2024-06-08,57,1.43
2024-06-15,50,9.57
2024-06-22,50,9.0
2024-06-29,10,17.14
2024-07-06,62,1.43
2024-07-13,68,8.29
2024-07-20,80,8.43
2024-07-27,37,14.29
2024-08-03,20,10.57
2024-08-10,59,2.86
2024-08-17,51,9.29
2024-08-24,10,16.29
2024-08-31,77,1.43
2024-09-07,82,7.86
2024-09-14,96,7.43
2024-09-21,55,13.86
2024-09-28,56,8.43
2024-10-05,56,8.14
2024-10-12,48,10.0
2024-10-19,10,17.43
2024-10-26,60,1.43
2024-11-02,68,7.43
2024-11-09,63,8.29
2024-11-16,23,14.43
2024-11-23,58,3.29
2024-11-30,44,10.29
2024-12-07,44,9.71
2024-12-14,10,18.29
2024-12-21,58,1.43
2024-12-28,51,10.43
2025-01-04,43,9.14
2025-01-11,10,19.71
2025-01-18,59,1.43
2025-01-25,51,10.29
2025-02-01,46,9.43
2025-02-08,10,21.29
2025-02-15,53,1.43
2025-02-22,31,11.71
2025-03-01,22,9.86
2025-03-08,61,3.14
2025-03-15,48,9.43
2025-03-22,25,12.29
2025-03-29,53,3.57
2025-04-05,10,21.0
2025-04-12,54,1.43
2025-04-19,43,11.14
2025-04-26,29,10.29
2025-05-03,10,21.71
2025-05-10,61,1.43
2025-05-17,50,10.0
2025-05-24,40,10.86
2025-05-31,10,19.86
2025-06-07,64,1.43
2025-06-14,71,7.71
2025-06-21,64,8.71
2025-06-28,10,17.57
2025-07-05,64,1.43
2025-07-12,77,7.86
2025-07-19,84,8.43
2025-07-26,21,17.14
2025-08-02,56,3.0
2025-08-09,10,21.71
2025-08-16,62,1.43
2025-08-23,21,14.43
2025-08-30,58,3.0
2025-09-06,55,9.43
2025-09-13,50,9.14
2025-09-20,10,18.86
2025-09-27,57,1.43
2025-10-04,60,8.43
2025-10-11,70,7.71
2025-10-18,17,16.57
2025-10-25,53,2.43
2025-11-01,45,9.29
2025-11-08,47,8.86
2025-11-15,10,18.0
2025-11-22,67,1.43
2025-11-29,73,7.71
2025-12-06,65,8.0
2025-12-13,10,17.14
2025-12-20,69,1.43
2025-12-27,56,8.0
2026-01-03,51,10.57
2026-01-10,10,20.0
2026-01-17,51,1.43
2026-01-24,36,10.57
2026-01-31,23,9.86
2026-02-07,62,3.29
2026-02-14,62,9.14
2026-02-21,58,9.14
2026-02-28,34,11.71
2026-03-07,10,22.0
2026-03-14,67,1.43
2026-03-21,57,9.14
2026-03-28,38,11.29
2026-04-04,10,19.14
2026-04-11,55,1.43
2026-04-18,46,10.29
2026-04-25,27,10.43
2026-05-02,10,19.29
2026-05-09,51,1.43
2026-05-16,37,10.71
2026-05-23,18,10.29
2026-05-30,49,2.57
2026-06-06,48,9.0
2026-06-13,44,9.86
2026-06-20,26,10.29
