date,comp_price_avg,comp_price_min,comp_price_max
2023-07-01,1220.58,1159.55,1281.61
2023-07-08,1243.96,1181.76,1306.16
2023-07-15,1257.32,1194.45,1320.1899999999998
2023-07-22,1269.39,1205.92,1332.8600000000001
2023-07-29,1301.28,1236.22,1366.34
2023-08-05,1310.94,1245.39,1376.49
2023-08-12,1331.29,1264.73,1397.85
2023-08-19,1310.98,1245.43,1376.53
2023-08-26,1302.93,1237.78,1368.0800000000002
2023-09-02,1327.55,1261.17,1393.9299999999998
2023-09-09,1353.13,1285.47,1420.7900000000002
2023-09-16,1375.92,1307.1200000000001,1444.72
2023-09-23,1351.15,1283.5900000000001,1418.71
2023-09-30,1345.19,1277.93,1412.45
2023-10-07,1340.7,1273.66,1407.74
2023-10-14,1365.78,1297.49,1434.07
2023-10-21,1384.52,1315.29,1453.75
2023-10-28,1392.9,1323.25,1462.5500000000002
2023-11-04,1357.84,1289.9499999999998,1425.73
2023-11-11,1337.09,1270.24,1403.9399999999998
2023-11-18,1348.08,1280.6799999999998,1415.48
2023-11-25,1299.71,1234.72,1364.7
2023-12-02,1290.14,1225.63,1354.65
2023-12-09,1266.21,1202.9,1329.52
2023-12-16,1251.26,1188.7,1313.82
2023-12-23,1233.86,1172.1699999999998,1295.55
2023-12-30,1209.83,1149.34,1270.32
2024-01-06,1189.59,1130.11,1249.07
2024-01-13,1150.55,1093.02,1208.08
2024-01-20,1166.82,1108.48,1225.1599999999999
2024-01-27,1132.36,1075.74,1188.9799999999998
2024-02-03,1097.31,1042.44,1152.1799999999998
2024-02-10,1074.34,1020.6199999999999,1128.06
2024-02-17,1055.03,1002.28,1107.78
2024-02-24,1035.7,983.9200000000001,1087.48
2024-03-02,1047.23,994.87,1099.59
2024-03-09,1055.54,1002.76,1108.32
2024-03-16,1080.22,1026.21,1134.23
2024-03-23,1091.33,1036.76,1145.8999999999999
2024-03-30,1125.17,1068.91,1181.43
2024-04-06,1147.13,1089.7700000000002,1204.49
2024-04-13,1140.21,1083.2,1197.22
2024-04-20,1189.91,1130.41,1249.41
2024-04-27,1206.13,1145.8200000000002,1266.44
2024-05-04,1200.33,1140.31,1260.35
2024-05-11,1172.58,1113.9499999999998,1231.21
2024-05-18,1179.05,1120.1,1238.0
2024-05-25,1215.43,1154.66,1276.2
2024-06-01,1236.0,1174.2,1297.8
2024-06-08,1249.98,1187.48,1312.48
2024-06-15,1290.19,1225.68,1354.7
2024-06-22,1301.33,1236.26,1366.3999999999999
2024-06-29,1339.72,1272.73,1406.71
2024-07-06,1372.67,1304.04,1441.3000000000002
2024-07-13,1370.89,1302.3500000000001,1439.43
2024-07-20,1357.18,1289.3200000000002,1425.04
2024-07-27,1351.72,1284.13,1419.31
2024-08-03,1356.41,1288.5900000000001,1424.23
2024-08-10,1346.5,1279.18,1413.82
2024-08-17,1307.93,1242.53,1373.3300000000002
2024-08-24,1274.73,1210.99,1338.47
2024-08-31,1259.34,1196.37,1322.31
2024-09-07,1231.46,1169.89,1293.03
2024-09-14,1197.88,1137.99,1257.7700000000002
2024-09-21,1198.98,1139.03,1258.93
2024-09-28,1165.38,1107.1100000000001,1223.65
2024-10-05,1146.13,1088.8200000000002,1203.44
2024-10-12,1118.97,1063.02,1174.92
2024-10-19,1084.21,1030.0,1138.42
2024-10-26,1064.38,1011.1600000000001,1117.6000000000001
2024-11-02,1040.78,988.74,1092.82
2024-11-09,1041.28,989.22,1093.34
2024-11-16,1028.73,977.29,1080.17
2024-11-23,1038.14,986.2300000000001,1090.0500000000002
2024-11-30,1005.22,954.96,1055.48
2024-12-07,997.91,948.01,1047.81
2024-12-14,983.27,934.11,1032.43
2024-12-21,1022.13,971.02,1073.24
2024-12-28,1017.58,966.7,1068.46
2025-01-04,1055.46,1002.69,1108.23
2025-01-11,1087.7,1033.31,1142.0900000000001
2025-01-18,1117.94,1062.04,1173.8400000000001
2025-01-25,1143.21,1086.05,1200.3700000000001
2025-02-01,1179.59,1120.61,1238.57
2025-02-08,1222.84,1161.6999999999998,1283.98
2025-02-15,1250.96,1188.41,1313.51
2025-02-22,1294.45,1229.73,1359.17
2025-03-01,1298.0,1233.1,1362.9
2025-03-08,1305.82,1240.53,1371.11
2025-03-15,1326.97,1260.6200000000001,1393.32
2025-03-22,1348.07,1280.6699999999998,1415.47
2025-03-29,1331.56,1264.98,1398.1399999999999
2025-04-05,1345.25,1277.99,1412.51
2025-04-12,1341.05,1274.0,1408.1
2025-04-19,1330.97,1264.42,1397.52
2025-04-26,1341.24,1274.18,1408.3
2025-05-03,1336.78,1269.94,1403.62
2025-05-10,1334.21,1267.5,1400.92
2025-05-17,1358.4,1290.48,1426.3200000000002
2025-05-24,1355.35,1287.58,1423.12
2025-05-31,1332.44,1265.8200000000002,1399.06
2025-06-07,1307.07,1241.72,1372.4199999999998
2025-06-14,1305.35,1240.08,1370.62
2025-06-21,1274.71,1210.97,1338.45
2025-06-28,1236.87,1175.03,1298.7099999999998
2025-07-05,1192.79,1133.1499999999999,1252.43
2025-07-12,1138.98,1082.03,1195.93
2025-07-19,1132.75,1076.11,1189.39
2025-07-26,1111.45,1055.88,1167.02
2025-08-02,1086.58,1032.25,1140.9099999999999
2025-08-09,1095.89,1041.1000000000001,1150.68
2025-08-16,1084.35,1030.1299999999999,1138.57
2025-08-23,1049.21,996.75,1101.67
2025-08-30,1050.39,997.8700000000001,1102.91
2025-09-06,1058.91,1005.96,1111.8600000000001
2025-09-13,1089.89,1035.4,1144.38
2025-09-20,1068.96,1015.51,1122.41
2025-09-27,1087.08,1032.73,1141.4299999999998
2025-10-04,1118.56,1062.6299999999999,1174.49
2025-10-11,1128.17,1071.76,1184.5800000000002
2025-10-18,1164.03,1105.83,1222.23
2025-10-25,1175.54,1116.76,1234.32
2025-11-01,1181.49,1122.42,1240.56
2025-11-08,1222.77,1161.6299999999999,1283.91
2025-11-15,1231.21,1169.65,1292.77
2025-11-22,1242.32,1180.2,1304.4399999999998
2025-11-29,1239.66,1177.68,1301.64
2025-12-06,1252.7,1190.06,1315.3400000000001
2025-12-13,1258.74,1195.8,1321.68
2025-12-20,1287.78,1223.3899999999999,1352.17
