date,cci_current,cci_baseline,google_trends_score
2023-07-01,99.4,100.0,50.4
2023-07-08,102.0,100.0,47.4
2023-07-15,97.6,100.0,46.2
2023-07-22,98.6,100.0,51.5
2023-07-29,97.8,100.0,40.7
2023-08-05,97.3,100.0,44.9
2023-08-12,98.5,100.0,45.9
2023-08-19,100.6,100.0,44.7
2023-08-26,100.8,100.0,33.9
2023-09-02,94.5,100.0,46.9
2023-09-09,99.7,100.0,37.4
2023-09-16,101.0,100.0,43.5
2023-09-23,101.8,100.0,37.7
2023-09-30,99.6,100.0,43.3
2023-10-07,100.5,100.0,41.7
2023-10-14,98.0,100.0,35.3
2023-10-21,101.0,100.0,36.4
2023-10-28,101.6,100.0,45.4
2023-11-04,100.1,100.0,43.8
2023-11-11,100.0,100.0,43.9
2023-11-18,97.9,100.0,30.5
2023-11-25,98.8,100.0,50.7
2023-12-02,98.3,100.0,38.6
2023-12-09,99.2,100.0,42.6
2023-12-16,100.5,100.0,46.6
2023-12-23,99.2,100.0,50.3
2023-12-30,98.6,100.0,53.2
2024-01-06,101.7,100.0,57.3
2024-01-13,100.7,100.0,38.7
2024-01-20,99.2,100.0,55.6
2024-01-27,102.0,100.0,56.7
2024-02-03,100.8,100.0,54.6
2024-02-10,100.4,100.0,50.0
2024-02-17,98.8,100.0,55.6
2024-02-24,100.9,100.0,61.0
2024-03-02,101.3,100.0,58.3
2024-03-09,101.3,100.0,62.5
2024-03-16,98.0,100.0,65.0
2024-03-23,99.2,100.0,60.8
2024-03-30,99.4,100.0,52.9
2024-04-06,101.7,100.0,60.0
2024-04-13,99.8,100.0,62.7
2024-04-20,99.0,100.0,55.6
2024-04-27,97.1,100.0,57.6
2024-05-04,100.2,100.0,61.8
2024-05-11,101.3,100.0,64.7
2024-05-18,101.6,100.0,53.0
2024-05-25,102.3,100.0,62.2
2024-06-01,101.2,100.0,64.8
2024-06-08,102.6,100.0,55.1
2024-06-15,101.3,100.0,48.9
2024-06-22,101.8,100.0,45.6
2024-06-29,100.3,100.0,47.2
2024-07-06,98.9,100.0,39.0
2024-07-13,99.6,100.0,49.3
2024-07-20,101.5,100.0,47.4
2024-07-27,101.7,100.0,44.7
2024-08-03,101.9,100.0,41.4
2024-08-10,98.3,100.0,50.8
2024-08-17,99.9,100.0,47.7
2024-08-24,100.7,100.0,39.3
2024-08-31,100.9,100.0,41.7
2024-09-07,99.2,100.0,45.1
2024-09-14,100.7,100.0,36.8
2024-09-21,98.8,100.0,35.5
2024-09-28,100.7,100.0,44.7
2024-10-05,100.4,100.0,39.7
2024-10-12,99.0,100.0,39.0
2024-10-19,100.1,100.0,41.7
2024-10-26,98.2,100.0,42.3
2024-11-02,99.3,100.0,42.4
2024-11-09,97.7,100.0,48.5
2024-11-16,97.4,100.0,45.3
2024-11-23,100.4,100.0,47.1
2024-11-30,98.7,100.0,54.4
2024-12-07,98.6,100.0,45.0
2024-12-14,95.3,100.0,39.0
2024-12-21,95.0,100.0,48.4
2024-12-28,98.1,100.0,50.7
2025-01-04,102.0,100.0,51.0
2025-01-11,100.9,100.0,55.3
2025-01-18,102.6,100.0,43.7
2025-01-25,99.6,100.0,63.9
2025-02-01,97.2,100.0,58.4
2025-02-08,100.7,100.0,54.8
2025-02-15,99.3,100.0,52.2
2025-02-22,100.1,100.0,62.6
2025-03-01,100.3,100.0,61.3
2025-03-08,103.1,100.0,54.4
2025-03-15,98.9,100.0,54.9
2025-03-22,100.4,100.0,60.8
2025-03-29,100.8,100.0,60.3
2025-04-05,100.7,100.0,67.9
2025-04-12,101.2,100.0,56.5
2025-04-19,101.8,100.0,63.3
2025-04-26,98.2,100.0,64.6
2025-05-03,101.6,100.0,59.2
2025-05-10,101.7,100.0,60.5
2025-05-17,99.3,100.0,61.3
2025-05-24,97.8,100.0,57.3
2025-05-31,99.9,100.0,66.3
2025-06-07,98.7,100.0,56.8
2025-06-14,99.4,100.0,60.6
2025-06-21,100.9,100.0,54.8
2025-06-28,100.3,100.0,41.1
2025-07-05,101.2,100.0,54.4
2025-07-12,98.7,100.0,50.0
2025-07-19,97.5,100.0,42.4
2025-07-26,101.3,100.0,52.0
2025-08-02,99.1,100.0,36.2
2025-08-09,99.6,100.0,100.0
2025-08-16,98.6,100.0,42.5
2025-08-23,99.6,100.0,41.4
2025-08-30,95.9,100.0,38.2
