date,units_in_stock,avg_daily_sales_14d
2023-07-01,239,8.71
2023-07-08,190,7.71
2023-07-15,190,7.86
2023-07-22,182,7.43
2023-07-29,195,6.71
2023-08-05,193,7.0
2023-08-12,196,6.0
2023-08-19,193,6.86
2023-08-26,184,6.57
2023-09-02,192,6.71
2023-09-09,193,6.57
2023-09-16,189,6.43
2023-09-23,188,6.14
2023-09-30,193,7.29
2023-10-07,193,6.29
2023-10-14,193,6.86
2023-10-21,201,6.57
2023-10-28,188,7.43
2023-11-04,194,7.43
2023-11-11,185,7.57
2023-11-18,188,7.86
2023-11-25,170,8.0
2023-12-02,178,9.0
2023-12-09,170,9.14
2023-12-16,171,10.14
2023-12-23,165,10.29
2023-12-30,184,9.14
2024-01-06,169,10.71
2024-01-13,164,10.86
2024-01-20,153,11.0
2024-01-27,156,10.86
2024-02-03,151,12.0
2024-02-10,163,11.14
2024-02-17,157,10.86
2024-02-24,171,10.86
2024-03-02,174,9.57
2024-03-09,162,9.57
2024-03-16,170,9.86
2024-03-23,176,9.43
2024-03-30,172,9.86
2024-04-06,181,8.43
2024-04-13,183,8.86
2024-04-20,183,9.43
2024-04-27,189,8.43
2024-05-04,188,8.0
2024-05-11,100,19.14
2024-05-18,187,7.71
2024-05-25,184,7.43
2024-06-01,183,7.14
2024-06-08,195,6.57
2024-06-15,187,7.57
2024-06-22,181,7.43
2024-06-29,191,7.0
2024-07-06,196,6.43
2024-07-13,192,7.0
2024-07-20,189,8.0
2024-07-27,183,7.43
2024-08-03,188,7.86
2024-08-10,187,7.43
2024-08-17,198,7.57
2024-08-24,168,8.57
2024-08-31,192,7.57
2024-09-07,194,8.43
2024-09-14,176,9.29
2024-09-21,190,9.0
2024-09-28,164,10.57
2024-10-05,176,9.29
2024-10-12,163,10.57
2024-10-19,176,9.43
2024-10-26,183,10.0
2024-11-02,174,10.29
2024-11-09,175,9.71
2024-11-16,176,9.71
2024-11-23,185,9.29
2024-11-30,178,9.71
2024-12-07,175,9.14
2024-12-14,169,9.86
2024-12-21,190,8.29
2024-12-28,181,8.86
2025-01-04,189,8.0
2025-01-11,187,8.0
2025-01-18,186,8.29
2025-01-25,181,7.29
2025-02-01,197,6.86
2025-02-08,187,7.29
2025-02-15,198,6.71
2025-02-22,187,6.57
2025-03-01,187,7.43
2025-03-08,195,7.0
2025-03-15,197,6.86
2025-03-22,184,6.57
2025-03-29,201,6.86
2025-04-05,179,7.29
2025-04-12,182,8.71
2025-04-19,185,7.29
2025-04-26,175,8.14
2025-05-03,183,7.57
2025-05-10,177,8.43
2025-05-17,184,8.57
2025-05-24,179,9.57
2025-05-31,166,10.14
2025-06-07,166,11.0
2025-06-14,162,10.71
2025-06-21,167,10.71
2025-06-28,155,10.71
2025-07-05,152,12.14
2025-07-12,151,11.86
2025-07-19,166,11.57
2025-07-26,166,11.0
2025-08-02,153,11.43
2025-08-09,73,23.14
2025-08-16,160,11.0
2025-08-23,183,9.57
2025-08-30,172,9.57
2025-09-06,176,9.86
2025-09-13,193,8.14
2025-09-20,184,7.86
2025-09-27,185,7.14
2025-10-04,191,7.71
2025-10-11,193,6.86
2025-10-18,182,7.29
2025-10-25,189,7.14
2025-11-01,194,6.57
2025-11-08,204,6.57
2025-11-15,194,5.86
2025-11-22,207,5.71
2025-11-29,200,5.57
2025-12-06,191,6.14
2025-12-13,186,5.86
2025-12-20,203,5.86
2025-12-27,198,6.57
2026-01-03,178,6.71
2026-01-10,192,7.57
2026-01-17,182,7.29
2026-01-24,183,8.57
2026-01-31,182,8.43
2026-02-07,178,9.0
2026-02-14,174,8.86
2026-02-21,166,10.43
2026-02-28,175,9.57
2026-03-07,165,10.71
2026-03-14,164,11.14
2026-03-21,155,11.57
2026-03-28,170,12.0
2026-04-04,142,13.43
2026-04-11,147,13.14
2026-04-18,147,14.57
2026-04-25,138,13.43
2026-05-02,161,12.43
2026-05-09,160,11.14
2026-05-16,157,11.57
2026-05-23,158,10.86
2026-05-30,164,11.14
2026-06-06,158,10.0
2026-06-13,164,10.43
2026-06-20,165,9.14
