date,sku_id,unit_price,units_sold,cost_per_unit
2023-07-01,ELE_LAPTOP_001,1208.59,59,800.0
2023-07-08,ELE_LAPTOP_001,1218.72,58,800.0
2023-07-15,ELE_LAPTOP_001,1219.02,55,800.0
2023-07-22,ELE_LAPTOP_001,1179.54,61,800.0
2023-07-29,ELE_LAPTOP_001,1206.64,54,800.0
2023-08-05,ELE_LAPTOP_001,1248.53,51,800.0
2023-08-12,ELE_LAPTOP_001,1222.92,58,800.0
2023-08-19,ELE_LAPTOP_001,1218.51,56,800.0
2023-08-26,ELE_LAPTOP_001,1219.91,52,800.0
2023-09-02,ELE_LAPTOP_001,1179.78,58,800.0
2023-09-09,ELE_LAPTOP_001,1225.33,52,800.0
2023-09-16,ELE_LAPTOP_001,1196.7,55,800.0
2023-09-23,ELE_LAPTOP_001,1176.79,57,800.0
2023-09-30,ELE_LAPTOP_001,1199.2,53,800.0
2023-10-07,ELE_LAPTOP_001,1193.02,49,800.0
2023-10-14,ELE_LAPTOP_001,1187.69,55,800.0
2023-10-21,ELE_LAPTOP_001,1163.45,57,800.0
2023-10-28,ELE_LAPTOP_001,1156.14,56,800.0
2023-11-04,ELE_LAPTOP_001,1198.0,52,800.0
2023-11-11,ELE_LAPTOP_001,1214.99,50,800.0
2023-11-18,ELE_LAPTOP_001,1250.18,52,800.0
2023-11-25,ELE_LAPTOP_001,1183.92,57,800.0
2023-12-02,ELE_LAPTOP_001,1160.33,61,800.0
2023-12-09,ELE_LAPTOP_001,1193.86,57,800.0
2023-12-16,ELE_LAPTOP_001,1229.0,56,800.0
2023-12-23,ELE_LAPTOP_001,1164.71,63,800.0
2023-12-30,ELE_LAPTOP_001,1204.39,64,800.0
2024-01-06,ELE_LAPTOP_001,1191.46,58,800.0
2024-01-13,ELE_LAPTOP_001,1188.46,68,800.0
2024-01-20,ELE_LAPTOP_001,1172.67,63,800.0
2024-01-27,ELE_LAPTOP_001,1245.59,61,800.0
2024-02-03,ELE_LAPTOP_001,1177.66,63,800.0
2024-02-10,ELE_LAPTOP_001,1200.37,58,800.0
2024-02-17,ELE_LAPTOP_001,1163.77,63,800.0
2024-02-24,ELE_LAPTOP_001,1197.3,70,800.0
2024-03-02,ELE_LAPTOP_001,1176.73,70,800.0
2024-03-09,ELE_LAPTOP_001,1203.55,68,800.0
2024-03-16,ELE_LAPTOP_001,1185.64,68,800.0
2024-03-23,ELE_LAPTOP_001,1228.13,69,800.0
2024-03-30,ELE_LAPTOP_001,1205.06,60,800.0
2024-04-06,ELE_LAPTOP_001,1200.72,64,800.0
2024-04-13,ELE_LAPTOP_001,1189.28,64,800.0
2024-04-20,ELE_LAPTOP_001,1174.09,72,800.0
2024-04-27,ELE_LAPTOP_001,1253.06,63,800.0
2024-05-04,ELE_LAPTOP_001,1211.27,67,800.0
2024-05-11,ELE_LAPTOP_001,1188.89,163,800.0
2024-05-18,ELE_LAPTOP_001,1218.8,63,800.0
2024-05-25,ELE_LAPTOP_001,1197.25,78,800.0
2024-06-01,ELE_LAPTOP_001,1225.97,61,800.0
2024-06-08,ELE_LAPTOP_001,1234.88,66,800.0
2024-06-15,ELE_LAPTOP_001,1209.1,72,800.0
2024-06-22,ELE_LAPTOP_001,1175.23,79,800.0
2024-06-29,ELE_LAPTOP_001,1219.44,16,800.0
2024-07-06,ELE_LAPTOP_001,1199.8,60,800.0
2024-07-13,ELE_LAPTOP_001,1223.08,62,800.0
2024-07-20,ELE_LAPTOP_001,1205.37,63,800.0
2024-07-27,ELE_LAPTOP_001,1207.17,57,800.0
2024-08-03,ELE_LAPTOP_001,1248.06,50,800.0
2024-08-10,ELE_LAPTOP_001,1214.44,50,800.0
2024-08-17,ELE_LAPTOP_001,1164.13,58,800.0
2024-08-24,ELE_LAPTOP_001,1215.79,53,800.0
2024-08-31,ELE_LAPTOP_001,1171.94,54,800.0
2024-09-07,ELE_LAPTOP_001,1223.99,53,800.0
2024-09-14,ELE_LAPTOP_001,1186.86,55,800.0
2024-09-21,ELE_LAPTOP_001,1178.99,59,800.0
2024-09-28,ELE_LAPTOP_001,1252.42,52,800.0
2024-10-05,ELE_LAPTOP_001,1172.39,60,800.0
2024-10-12,ELE_LAPTOP_001,1230.11,52,800.0
2024-10-19,ELE_LAPTOP_001,1180.15,53,800.0
2024-10-26,ELE_LAPTOP_001,1201.68,53,800.0
2024-11-02,ELE_LAPTOP_001,1189.34,55,800.0
2024-11-09,ELE_LAPTOP_001,1218.57,55,800.0
2024-11-16,ELE_LAPTOP_001,1189.34,55,800.0
2024-11-23,ELE_LAPTOP_001,1210.56,59,800.0
2024-11-30,ELE_LAPTOP_001,1167.36,62,800.0
2024-12-07,ELE_LAPTOP_001,1205.74,55,800.0
2024-12-14,ELE_LAPTOP_001,1202.9,59,800.0
2024-12-21,ELE_LAPTOP_001,1217.5,62,800.0
