date,comp_price_avg,comp_price_min,comp_price_max
2023-07-01,789.06,749.6099999999999,828.51
2023-07-08,805.13,764.87,845.39
2023-07-15,803.78,763.5899999999999,843.97
2023-07-22,804.36,764.14,844.58
2023-07-29,803.08,762.9300000000001,843.23
2023-08-05,807.91,767.51,848.31
2023-08-12,799.36,759.39,839.33
2023-08-19,792.83,753.19,832.47
2023-08-26,790.48,750.96,830.0
2023-09-02,787.95,748.5500000000001,827.35
2023-09-09,783.08,743.9300000000001,822.23
2023-09-16,790.75,751.21,830.29
2023-09-23,796.3,756.49,836.1099999999999
2023-09-30,795.43,755.66,835.1999999999999
2023-10-07,808.39,767.97,848.81
2023-10-14,797.6,757.72,837.48
2023-10-21,790.85,751.3100000000001,830.39
2023-10-28,791.43,751.8599999999999,831.0
2023-11-04,802.06,761.9599999999999,842.16
2023-11-11,807.64,767.26,848.02
2023-11-18,789.94,750.44,829.44
2023-11-25,790.21,750.7,829.72
2023-12-02,790.63,751.1,830.16
2023-12-09,790.97,751.4200000000001,830.52
2023-12-16,797.1,757.24,836.96
2023-12-23,804.82,764.58,845.0600000000001
2023-12-30,807.9,767.5,848.3
2024-01-06,800.21,760.2,840.22
2024-01-13,792.62,752.99,832.25
2024-01-20,791.23,751.6700000000001,830.79
2024-01-27,786.25,746.94,825.56
2024-02-03,796.97,757.12,836.82
2024-02-10,802.6,762.47,842.73
2024-02-17,799.41,759.4399999999999,839.38
2024-02-24,793.17,753.51,832.8299999999999
2024-03-02,790.03,750.53,829.53
2024-03-09,788.42,749.0,827.8399999999999
2024-03-16,797.19,757.33,837.0500000000001
2024-03-23,797.1,757.24,836.96
2024-03-30,797.59,757.71,837.47
2024-04-06,803.6,763.4200000000001,843.78
2024-04-13,816.02,775.22,856.8199999999999
2024-04-20,821.02,779.97,862.0699999999999
2024-04-27,818.24,777.33,859.15
2024-05-04,820.72,779.6800000000001,861.76
2024-05-11,812.31,771.6899999999999,852.93
2024-05-18,810.61,770.08,851.14
2024-05-25,822.52,781.39,863.65
2024-06-01,819.97,778.97,860.97
2024-06-08,820.34,779.32,861.36
2024-06-15,824.21,783.0,865.4200000000001
2024-06-22,840.24,798.23,882.25
2024-06-29,837.38,795.51,879.25
2024-07-06,838.61,796.6800000000001,880.54
2024-07-13,826.31,784.9899999999999,867.63
2024-07-20,826.08,784.7800000000001,867.38
2024-07-27,826.91,785.56,868.26
2024-08-03,802.93,762.78,843.0799999999999
2024-08-10,789.27,749.81,828.73
2024-08-17,802.55,762.42,842.68
2024-08-24,794.93,755.18,834.68
2024-08-31,806.67,766.3399999999999,847.0
2024-09-07,814.31,773.5899999999999,855.03
2024-09-14,808.58,768.1500000000001,849.01
2024-09-21,802.78,762.64,842.92
2024-09-28,800.32,760.3000000000001,840.34
2024-10-05,817.06,776.2099999999999,857.91
2024-10-12,803.31,763.14,843.4799999999999
2024-10-19,806.76,766.42,847.1
2024-10-26,778.36,739.44,817.28
2024-11-02,783.56,744.38,822.7399999999999
2024-11-09,784.68,745.4499999999999,823.91
2024-11-16,787.1,747.74,826.46
2024-11-23,780.53,741.5,819.56
2024-11-30,781.17,742.1099999999999,820.23
2024-12-07,785.85,746.5600000000001,825.14
2024-12-14,788.36,748.94,827.78
2024-12-21,788.39,748.97,827.81
2024-12-28,804.06,763.8599999999999,844.26
2025-01-04,818.07,777.1700000000001,858.97
2025-01-11,819.08,778.13,860.0300000000001
2025-01-18,603.49,573.32,633.66
2025-01-25,593.06,563.41,622.7099999999999
2025-02-01,602.04,571.9399999999999,632.14
2025-02-08,626.5,595.17,657.83
2025-02-15,591.26,561.7,620.8199999999999
2025-02-22,631.3,599.74,662.8599999999999
2025-03-01,604.09,573.89,634.2900000000001
2025-03-08,624.86,593.62,656.1
2025-03-15,584.82,555.58,614.0600000000001
2025-03-22,586.87,557.53,616.21
2025-03-29,614.09,583.39,644.7900000000001
2025-04-05,604.9,574.65,635.15
2025-04-12,609.65,579.17,640.13
2025-04-19,598.4,568.48,628.3199999999999
2025-04-26,604.9,574.65,635.15
2025-05-03,594.73,564.99,624.47
2025-05-10,601.61,571.53,631.69
2025-05-17,582.96,553.8100000000001,612.11
2025-05-24,595.57,565.7900000000001,625.35
2025-05-31,607.51,577.13,637.89
2025-06-07,597.12,567.26,626.98
2025-06-14,604.38,574.16,634.6
2025-06-21,608.63,578.2,639.06
2025-06-28,610.05,579.55,640.55
2025-07-05,613.77,583.0799999999999,644.46
2025-07-12,605.67,575.39,635.9499999999999
2025-07-19,597.04,567.1899999999999,626.89
2025-07-26,611.34,580.77,641.9100000000001
2025-08-02,591.09,561.5400000000001,620.64
2025-08-09,591.25,561.69,620.81
2025-08-16,594.96,565.21,624.71
2025-08-23,596.79,566.9499999999999,626.63
2025-08-30,599.14,569.18,629.1
2025-09-06,580.04,551.04,609.04
2025-09-13,600.71,570.6700000000001,630.75
2025-09-20,623.22,592.0600000000001,654.38
2025-09-27,609.44,578.97,639.9100000000001
2025-10-04,606.77,576.43,637.11
2025-10-11,589.72,560.23,619.21
2025-10-18,599.01,569.06,628.96
2025-10-25,604.97,574.72,635.22
2025-11-01,634.23,602.52,665.94
2025-11-08,613.13,582.47,643.79
2025-11-15,589.23,559.77,618.69
2025-11-22,584.25,555.04,613.46
2025-11-29,616.12,585.3100000000001,646.93
2025-12-06,615.56,584.78,646.3399999999999
2025-12-13,601.11,571.0500000000001,631.17
2025-12-20,618.46,587.5400000000001,649.38
2025-12-27,603.6,573.4200000000001,633.78
2026-01-03,609.96,579.46,640.46
2026-01-10,586.16,556.85,615.4699999999999
2026-01-17,587.53,558.15,616.91
2026-01-24,618.89,587.9499999999999,649.83
2026-01-31,605.15,574.89,635.41
2026-02-07,577.4,548.53,606.27
2026-02-14,609.16,578.6999999999999,639.62
2026-02-21,597.48,567.61,627.35
2026-02-28,602.94,572.7900000000001,633.09
2026-03-07,579.88,550.89,608.87
2026-03-14,595.23,565.47,624.99
2026-03-21,599.41,569.4399999999999,629.38
2026-03-28,597.27,567.41,627.13
2026-04-04,601.96,571.86,632.0600000000001
2026-04-11,624.74,593.5,655.98
2026-04-18,612.41,581.79,643.03
2026-04-25,607.73,577.34,638.12
2026-05-02,591.07,561.5200000000001,620.62
2026-05-09,596.86,567.02,626.7
2026-05-16,583.93,554.7299999999999,613.13
2026-05-23,601.98,571.88,632.08
2026-05-30,592.49,562.87,622.11
2026-06-06,628.21,596.8000000000001,659.62
2026-06-13,600.43,570.41,630.4499999999999
2026-06-20,606.33,576.01,636.6500000000001
