date,cci_current,cci_baseline,google_trends_score
2023-07-01,99.6,100.0,44.0
2023-07-08,98.3,100.0,46.4
2023-07-15,100.1,100.0,50.7
2023-07-22,101.3,100.0,43.9
2023-07-29,99.3,100.0,43.5
2023-08-05,101.8,100.0,37.5
2023-08-12,97.9,100.0,40.5
2023-08-19,100.9,100.0,41.9
2023-08-26,98.6,100.0,41.1
2023-09-02,99.3,100.0,49.6
2023-09-09,101.3,100.0,39.7
2023-09-16,100.8,100.0,32.2
2023-09-23,99.0,100.0,34.1
2023-09-30,99.0,100.0,43.9
2023-10-07,101.8,100.0,37.3
2023-10-14,98.4,100.0,33.5
2023-10-21,97.9,100.0,43.1
2023-10-28,98.5,100.0,30.5
2023-11-04,101.1,100.0,28.4
2023-11-11,101.6,100.0,36.7
2023-11-18,100.4,100.0,33.4
2023-11-25,97.9,100.0,31.1
2023-12-02,100.0,100.0,44.9
2023-12-09,100.7,100.0,38.1
2023-12-16,101.9,100.0,44.5
2023-12-23,99.1,100.0,37.3
2023-12-30,99.9,100.0,45.6
2024-01-06,99.6,100.0,44.3
2024-01-13,102.8,100.0,58.1
2024-01-20,98.5,100.0,65.4
2024-01-27,102.3,100.0,47.8
2024-02-03,103.5,100.0,58.1
2024-02-10,100.4,100.0,53.0
2024-02-17,100.5,100.0,61.5
2024-02-24,100.8,100.0,64.5
2024-03-02,98.3,100.0,68.0
2024-03-09,100.8,100.0,68.4
2024-03-16,99.4,100.0,60.0
2024-03-23,99.0,100.0,62.2
2024-03-30,98.3,100.0,63.0
2024-04-06,99.6,100.0,61.3
2024-04-13,99.1,100.0,59.6
2024-04-20,100.7,100.0,67.3
2024-04-27,103.2,100.0,61.5
2024-05-04,98.5,100.0,59.7
2024-05-11,101.3,100.0,58.9
2024-05-18,98.3,100.0,66.1
2024-05-25,101.4,100.0,52.1
2024-06-01,99.6,100.0,55.7
2024-06-08,99.9,100.0,55.1
2024-06-15,98.3,100.0,49.0
2024-06-22,99.1,100.0,47.5
2024-06-29,102.6,100.0,61.0
2024-07-06,100.8,100.0,52.5
2024-07-13,99.6,100.0,48.9
2024-07-20,103.0,100.0,46.8
2024-07-27,101.8,100.0,33.8
2024-08-03,100.8,100.0,39.1
2024-08-10,99.9,100.0,37.5
2024-08-17,100.2,100.0,40.7
2024-08-24,100.3,100.0,36.0
2024-08-31,99.6,100.0,33.1
2024-09-07,100.2,100.0,36.9
2024-09-14,101.2,100.0,41.7
2024-09-21,99.6,100.0,26.3
2024-09-28,103.5,100.0,37.1
2024-10-05,98.9,100.0,39.0
2024-10-12,100.0,100.0,28.7
2024-10-19,98.1,100.0,42.2
2024-10-26,100.2,100.0,37.0
2024-11-02,98.8,100.0,37.7
2024-11-09,104.4,100.0,41.1
2024-11-16,99.6,100.0,33.1
2024-11-23,99.8,100.0,39.6
2024-11-30,99.8,100.0,42.0
2024-12-07,100.6,100.0,40.5
2024-12-14,96.8,100.0,38.5
2024-12-21,102.5,100.0,44.7
2024-12-28,97.7,100.0,55.2
2025-01-04,101.2,100.0,51.4
2025-01-11,101.1,100.0,55.6
2025-01-18,100.7,100.0,51.8
2025-01-25,101.4,100.0,60.4
2025-02-01,101.2,100.0,54.1
2025-02-08,100.9,100.0,64.4
2025-02-15,100.1,100.0,56.7
2025-02-22,98.6,100.0,57.8
2025-03-01,99.1,100.0,60.2
2025-03-08,101.3,100.0,64.6
2025-03-15,100.6,100.0,65.2
2025-03-22,101.9,100.0,64.3
2025-03-29,98.3,100.0,65.4
2025-04-05,99.1,100.0,67.4
2025-04-12,102.1,100.0,65.8
2025-04-19,99.5,100.0,68.2
2025-04-26,101.1,100.0,65.9
2025-05-03,100.6,100.0,59.4
2025-05-10,97.0,100.0,58.4
2025-05-17,102.4,100.0,64.5
2025-05-24,100.4,100.0,60.1
2025-05-31,100.7,100.0,70.5
2025-06-07,98.4,100.0,51.8
2025-06-14,100.1,100.0,55.4
2025-06-21,100.2,100.0,53.2
2025-06-28,99.0,100.0,51.0
2025-07-05,100.5,100.0,48.6
2025-07-12,100.6,100.0,44.6
2025-07-19,102.6,100.0,36.5
2025-07-26,99.3,100.0,38.5
2025-08-02,98.2,100.0,52.0
2025-08-09,100.0,100.0,100.0
2025-08-16,99.8,100.0,29.7
2025-08-23,100.7,100.0,40.6
2025-08-30,99.2,100.0,33.2
2025-09-06,99.9,100.0,36.6
2025-09-13,98.8,100.0,35.4
2025-09-20,100.4,100.0,33.4
2025-09-27,101.6,100.0,31.4
2025-10-04,100.9,100.0,30.7
2025-10-11,100.2,100.0,34.2
2025-10-18,98.6,100.0,35.6
2025-10-25,101.0,100.0,39.0
2025-11-01,100.7,100.0,53.1
2025-11-08,101.0,100.0,36.3
2025-11-15,97.3,100.0,34.1
2025-11-22,102.2,100.0,39.3
2025-11-29,101.7,100.0,42.7
2025-12-06,102.6,100.0,55.5
2025-12-13,99.4,100.0,58.6
2025-12-20,96.0,100.0,49.0
2025-12-27,101.1,100.0,55.0
2026-01-03,99.6,100.0,58.3
2026-01-10,101.5,100.0,57.3
2026-01-17,96.2,100.0,51.4
2026-01-24,99.8,100.0,50.0
2026-01-31,97.0,100.0,55.9
2026-02-07,100.8,100.0,61.7
2026-02-14,101.4,100.0,64.7
2026-02-21,99.0,100.0,58.9
2026-02-28,98.1,100.0,68.7
2026-03-07,98.1,100.0,63.0
2026-03-14,97.9,100.0,62.0
2026-03-21,99.1,100.0,61.4
2026-03-28,99.8,100.0,66.6
2026-04-04,99.3,100.0,67.9
2026-04-11,100.0,100.0,71.5
2026-04-18,101.9,100.0,74.6
2026-04-25,101.7,100.0,69.6
2026-05-02,97.6,100.0,69.3
2026-05-09,97.9,100.0,62.6
2026-05-16,100.9,100.0,55.4
2026-05-23,99.1,100.0,51.0
2026-05-30,100.2,100.0,66.9
2026-06-06,99.1,100.0,58.5
2026-06-13,98.8,100.0,44.5
2026-06-20,95.9,100.0,54.0
