date,units_in_stock,avg_daily_sales_14d
2023-07-01,467,20.71
2023-07-08,496,23.14
2023-07-15,491,20.43
2023-07-22,529,19.86
2023-07-29,534,20.43
2023-08-05,537,19.14
2023-08-12,588,16.43
2023-08-19,612,18.14
2023-08-26,628,18.14
2023-09-02,655,18.71
2023-09-09,675,19.14
2023-09-16,698,18.0
2023-09-23,732,16.29
2023-09-30,750,18.71
2023-10-07,784,18.14
2023-10-14,785,18.14
2023-10-21,825,18.57
2023-10-28,865,19.14
2023-11-04,891,17.14
2023-11-11,881,19.57
2023-11-18,883,18.57
2023-11-25,915,18.57
2023-12-02,899,19.86
2023-12-09,924,19.43
2023-12-16,914,21.86
2023-12-23,942,19.71
2023-12-30,963,20.0
2024-01-06,971,22.14
2024-01-13,981,20.57
2024-01-20,993,20.71
2024-01-27,959,23.43
2024-02-03,952,23.29
2024-02-10,947,22.43
2024-02-17,942,23.43
2024-02-24,974,21.57
2024-03-02,980,23.14
2024-03-09,966,24.0
2024-03-16,965,24.0
2024-03-23,951,22.43
2024-03-30,906,26.14
2024-04-06,889,25.86
2024-04-13,833,26.14
2024-04-20,806,26.0
2024-04-27,802,23.86
2024-05-04,759,25.43
2024-05-11,509,58.86
2024-05-18,527,21.86
2024-05-25,511,23.29
2024-06-01,499,24.14
2024-06-08,487,22.86
2024-06-15,495,22.86
2024-06-22,491,21.86
2024-06-29,488,22.14
2024-07-06,487,20.86
2024-07-13,502,21.71
2024-07-20,507,20.71
2024-07-27,536,19.29
2024-08-03,551,18.43
2024-08-10,568,19.71
2024-08-17,588,19.0
2024-08-24,597,18.43
2024-08-31,622,20.14
2024-09-07,656,18.43
2024-09-14,677,18.0
2024-09-21,687,16.71
2024-09-28,722,19.0
2024-10-05,736,19.0
2024-10-12,776,17.57
2024-10-19,790,17.86
2024-10-26,837,17.14
2024-11-02,848,19.0
2024-11-09,861,18.57
2024-11-16,885,18.57
2024-11-23,887,20.0
2024-11-30,880,23.14
2024-12-07,868,21.71
2024-12-14,891,19.57
2024-12-21,867,21.43
2024-12-28,867,21.57
2025-01-04,868,20.43
2025-01-11,907,21.0
2025-01-18,911,21.57
2025-01-25,893,24.43
2025-02-01,875,24.0
2025-02-08,865,24.43
2025-02-15,838,26.29
2025-02-22,833,22.29
2025-03-01,796,26.43
2025-03-08,770,21.71
2025-03-15,734,23.29
2025-03-22,695,25.86
2025-03-29,639,26.0
2025-04-05,607,27.57
2025-04-12,568,24.71
2025-04-19,544,23.86
2025-04-26,524,23.14
2025-05-03,480,30.0
2025-05-10,404,31.71
2025-05-17,329,30.71
2025-05-24,234,31.14
2025-05-31,176,30.0
2025-06-07,133,29.57
2025-06-14,44,33.0
2025-06-21,141,6.29
2025-06-28,68,32.71
2025-07-05,10,30.43
2025-07-12,158,1.43
2025-07-19,122,26.57
2025-07-26,107,27.0
2025-08-02,58,28.29
2025-08-09,112,8.29
2025-08-16,71,27.57
2025-08-23,48,28.86
2025-08-30,152,6.86
2025-09-06,128,23.57
2025-09-13,93,26.14
2025-09-20,31,27.86
2025-09-27,155,4.43
2025-10-04,153,20.57
2025-10-11,141,24.29
2025-10-18,96,27.86
2025-10-25,45,30.0
2025-11-01,135,6.43
2025-11-08,77,31.14
2025-11-15,10,32.14
2025-11-22,175,1.43
2025-11-29,119,28.14
2025-12-06,79,28.0
2025-12-13,18,31.86
2025-12-20,141,2.57
2025-12-27,86,31.0
2026-01-03,24,31.14
2026-01-10,148,3.43
2026-01-17,32,36.57
2026-01-24,163,4.57
2026-01-31,108,29.43
2026-02-07,10,36.43
2026-02-14,160,1.43
2026-02-21,79,32.71
2026-02-28,10,33.71
2026-03-07,170,1.43
2026-03-14,143,28.57
2026-03-21,62,31.57
2026-03-28,166,8.86
2026-04-04,79,31.14
2026-04-11,10,35.57
2026-04-18,146,1.43
2026-04-25,36,35.86
2026-05-02,145,5.14
2026-05-09,72,34.57
2026-05-16,10,36.86
2026-05-23,157,1.43
2026-05-30,116,27.86
2026-06-06,28,37.43
2026-06-13,147,4.0
2026-06-20,61,31.71
