date,sku_id,unit_price,units_sold,cost_per_unit
2023-07-01,ELE_MOBILE_PHONE_001,792.12,145,500.0
2023-07-08,ELE_MOBILE_PHONE_001,775.35,162,500.0
2023-07-15,ELE_MOBILE_PHONE_001,788.03,143,500.0
2023-07-22,ELE_MOBILE_PHONE_001,797.82,139,500.0
2023-07-29,ELE_MOBILE_PHONE_001,823.81,143,500.0
2023-08-05,ELE_MOBILE_PHONE_001,813.94,134,500.0
2023-08-12,ELE_MOBILE_PHONE_001,835.68,115,500.0
2023-08-19,ELE_MOBILE_PHONE_001,817.8,127,500.0
2023-08-26,ELE_MOBILE_PHONE_001,795.11,127,500.0
2023-09-02,ELE_MOBILE_PHONE_001,810.5,131,500.0
2023-09-09,ELE_MOBILE_PHONE_001,808.11,134,500.0
2023-09-16,ELE_MOBILE_PHONE_001,784.47,126,500.0
2023-09-23,ELE_MOBILE_PHONE_001,801.67,114,500.0
2023-09-30,ELE_MOBILE_PHONE_001,829.7,131,500.0
2023-10-07,ELE_MOBILE_PHONE_001,786.05,127,500.0
2023-10-14,ELE_MOBILE_PHONE_001,809.67,127,500.0
2023-10-21,ELE_MOBILE_PHONE_001,800.93,130,500.0
2023-10-28,ELE_MOBILE_PHONE_001,796.25,134,500.0
2023-11-04,ELE_MOBILE_PHONE_001,807.22,120,500.0
2023-11-11,ELE_MOBILE_PHONE_001,781.49,137,500.0
2023-11-18,ELE_MOBILE_PHONE_001,803.68,130,500.0
2023-11-25,ELE_MOBILE_PHONE_001,796.34,130,500.0
2023-12-02,ELE_MOBILE_PHONE_001,775.18,139,500.0
2023-12-09,ELE_MOBILE_PHONE_001,807.08,136,500.0
2023-12-16,ELE_MOBILE_PHONE_001,809.68,153,500.0
2023-12-23,ELE_MOBILE_PHONE_001,811.26,138,500.0
2023-12-30,ELE_MOBILE_PHONE_001,793.35,140,500.0
2024-01-06,ELE_MOBILE_PHONE_001,805.65,155,500.0
2024-01-13,ELE_MOBILE_PHONE_001,832.77,144,500.0
2024-01-20,ELE_MOBILE_PHONE_001,827.63,145,500.0
2024-01-27,ELE_MOBILE_PHONE_001,800.54,164,500.0
2024-02-03,ELE_MOBILE_PHONE_001,792.8,163,500.0
2024-02-10,ELE_MOBILE_PHONE_001,812.38,157,500.0
2024-02-17,ELE_MOBILE_PHONE_001,821.55,164,500.0
2024-02-24,ELE_MOBILE_PHONE_001,821.46,151,500.0
2024-03-02,ELE_MOBILE_PHONE_001,809.87,162,500.0
2024-03-09,ELE_MOBILE_PHONE_001,814.81,168,500.0
2024-03-16,ELE_MOBILE_PHONE_001,813.73,168,500.0
2024-03-23,ELE_MOBILE_PHONE_001,823.0,157,500.0
2024-03-30,ELE_MOBILE_PHONE_001,778.07,183,500.0
2024-04-06,ELE_MOBILE_PHONE_001,815.35,181,500.0
2024-04-13,ELE_MOBILE_PHONE_001,795.94,183,500.0
2024-04-20,ELE_MOBILE_PHONE_001,793.53,182,500.0
2024-04-27,ELE_MOBILE_PHONE_001,805.67,167,500.0
2024-05-04,ELE_MOBILE_PHONE_001,782.18,178,500.0
2024-05-11,ELE_MOBILE_PHONE_001,803.8,412,500.0
2024-05-18,ELE_MOBILE_PHONE_001,810.32,153,500.0
2024-05-25,ELE_MOBILE_PHONE_001,811.74,163,500.0
2024-06-01,ELE_MOBILE_PHONE_001,793.97,169,500.0
2024-06-08,ELE_MOBILE_PHONE_001,816.62,160,500.0
2024-06-15,ELE_MOBILE_PHONE_001,803.99,160,500.0
2024-06-22,ELE_MOBILE_PHONE_001,804.06,153,500.0
2024-06-29,ELE_MOBILE_PHONE_001,774.55,155,500.0
2024-07-06,ELE_MOBILE_PHONE_001,810.32,146,500.0
2024-07-13,ELE_MOBILE_PHONE_001,781.81,152,500.0
2024-07-20,ELE_MOBILE_PHONE_001,805.3,145,500.0
2024-07-27,ELE_MOBILE_PHONE_001,796.04,135,500.0
2024-08-03,ELE_MOBILE_PHONE_001,801.76,129,500.0
2024-08-10,ELE_MOBILE_PHONE_001,785.63,138,500.0
2024-08-17,ELE_MOBILE_PHONE_001,816.41,133,500.0
2024-08-24,ELE_MOBILE_PHONE_001,800.91,129,500.0
2024-08-31,ELE_MOBILE_PHONE_001,773.72,141,500.0
2024-09-07,ELE_MOBILE_PHONE_001,795.82,129,500.0
2024-09-14,ELE_MOBILE_PHONE_001,799.8,126,500.0
2024-09-21,ELE_MOBILE_PHONE_001,821.02,117,500.0
2024-09-28,ELE_MOBILE_PHONE_001,787.11,133,500.0
2024-10-05,ELE_MOBILE_PHONE_001,776.65,133,500.0
2024-10-12,ELE_MOBILE_PHONE_001,822.76,123,500.0
2024-10-19,ELE_MOBILE_PHONE_001,807.7,125,500.0
2024-10-26,ELE_MOBILE_PHONE_001,803.28,120,500.0
2024-11-02,ELE_MOBILE_PHONE_001,814.68,133,500.0
2024-11-09,ELE_MOBILE_PHONE_001,786.45,130,500.0
2024-11-16,ELE_MOBILE_PHONE_001,807.62,130,500.0
2024-11-23,ELE_MOBILE_PHONE_001,813.11,140,500.0
2024-11-30,ELE_MOBILE_PHONE_001,772.69,162,500.0
2024-12-07,ELE_MOBILE_PHONE_001,777.07,152,500.0
2024-12-14,ELE_MOBILE_PHONE_001,814.76,137,500.0
2024-12-21,ELE_MOBILE_PHONE_001,792.81,150,500.0
2024-12-28,ELE_MOBILE_PHONE_001,796.9,151,500.0
2025-01-04,ELE_MOBILE_PHONE_001,805.07,143,500.0
2025-01-11,ELE_MOBILE_PHONE_001,808.17,147,500.0
2025-01-18,ELE_MOBILE_PHONE_001,815.83,151,500.0
2025-01-25,ELE_MOBILE_PHONE_001,797.28,171,500.0
2025-02-01,ELE_MOBILE_PHONE_001,796.68,168,500.0
2025-02-08,ELE_MOBILE_PHONE_001,811.77,171,500.0
2025-02-15,ELE_MOBILE_PHONE_001,786.7,184,500.0
2025-02-22,ELE_MOBILE_PHONE_001,810.34,156,500.0
2025-03-01,ELE_MOBILE_PHONE_001,799.15,185,500.0
2025-03-08,ELE_MOBILE_PHONE_001,808.89,152,500.0
2025-03-15,ELE_MOBILE_PHONE_001,804.99,163,500.0
2025-03-22,ELE_MOBILE_PHONE_001,782.32,181,500.0
2025-03-29,ELE_MOBILE_PHONE_001,803.65,182,500.0
2025-04-05,ELE_MOBILE_PHONE_001,776.9,193,500.0
2025-04-12,ELE_MOBILE_PHONE_001,795.39,173,500.0
2025-04-19,ELE_MOBILE_PHONE_001,790.65,167,500.0
2025-04-26,ELE_MOBILE_PHONE_001,801.82,162,500.0
2025-05-03,ELE_MOBILE_PHONE_001,724.74,210,500.0
2025-05-10,ELE_MOBILE_PHONE_001,717.34,222,500.0
2025-05-17,ELE_MOBILE_PHONE_001,714.52,215,500.0
2025-05-24,ELE_MOBILE_PHONE_001,705.28,218,500.0
2025-05-31,ELE_MOBILE_PHONE_001,717.38,210,500.0
2025-06-07,ELE_MOBILE_PHONE_001,723.24,207,500.0
2025-06-14,ELE_MOBILE_PHONE_001,728.58,231,500.0
2025-06-21,ELE_MOBILE_PHONE_001,715.49,44,500.0
2025-06-28,ELE_MOBILE_PHONE_001,723.89,229,500.0
2025-07-05,ELE_MOBILE_PHONE_001,720.22,213,500.0
2025-07-12,ELE_MOBILE_PHONE_001,716.97,10,500.0
2025-07-19,ELE_MOBILE_PHONE_001,718.9,186,500.0
2025-07-26,ELE_MOBILE_PHONE_001,730.13,189,500.0
2025-08-02,ELE_MOBILE_PHONE_001,721.85,198,500.0
2025-08-09,ELE_MOBILE_PHONE_001,730.11,58,500.0
2025-08-16,ELE_MOBILE_PHONE_001,715.86,193,500.0
2025-08-23,ELE_MOBILE_PHONE_001,721.54,202,500.0
2025-08-30,ELE_MOBILE_PHONE_001,743.77,48,500.0
2025-09-06,ELE_MOBILE_PHONE_001,711.37,165,500.0
2025-09-13,ELE_MOBILE_PHONE_001,725.29,183,500.0
2025-09-20,ELE_MOBILE_PHONE_001,720.24,195,500.0
2025-09-27,ELE_MOBILE_PHONE_001,724.72,31,500.0
2025-10-04,ELE_MOBILE_PHONE_001,728.37,144,500.0
2025-10-11,ELE_MOBILE_PHONE_001,722.45,170,500.0
2025-10-18,ELE_MOBILE_PHONE_001,724.07,195,500.0
2025-10-25,ELE_MOBILE_PHONE_001,725.53,210,500.0
2025-11-01,ELE_MOBILE_PHONE_001,724.17,45,500.0
2025-11-08,ELE_MOBILE_PHONE_001,711.51,218,500.0
2025-11-15,ELE_MOBILE_PHONE_001,713.32,225,500.0
2025-11-22,ELE_MOBILE_PHONE_001,723.61,10,500.0
2025-11-29,ELE_MOBILE_PHONE_001,721.43,197,500.0
2025-12-06,ELE_MOBILE_PHONE_001,715.48,196,500.0
2025-12-13,ELE_MOBILE_PHONE_001,715.22,223,500.0
2025-12-20,ELE_MOBILE_PHONE_001,720.02,18,500.0
2025-12-27,ELE_MOBILE_PHONE_001,716.14,217,500.0
2026-01-03,ELE_MOBILE_PHONE_001,703.68,218,500.0
2026-01-10,ELE_MOBILE_PHONE_001,713.45,24,500.0
2026-01-17,ELE_MOBILE_PHONE_001,705.65,256,500.0
2026-01-24,ELE_MOBILE_PHONE_001,717.26,32,500.0
2026-01-31,ELE_MOBILE_PHONE_001,730.05,206,500.0
2026-02-07,ELE_MOBILE_PHONE_001,723.1,255,500.0
2026-02-14,ELE_MOBILE_PHONE_001,709.57,10,500.0
2026-02-21,ELE_MOBILE_PHONE_001,723.02,229,500.0
2026-02-28,ELE_MOBILE_PHONE_001,750.72,236,500.0
2026-03-07,ELE_MOBILE_PHONE_001,726.03,10,500.0
2026-03-14,ELE_MOBILE_PHONE_001,717.17,200,500.0
2026-03-21,ELE_MOBILE_PHONE_001,719.66,221,500.0
2026-03-28,ELE_MOBILE_PHONE_001,717.57,62,500.0
2026-04-04,ELE_MOBILE_PHONE_001,722.56,218,500.0
2026-04-11,ELE_MOBILE_PHONE_001,721.1,249,500.0
2026-04-18,ELE_MOBILE_PHONE_001,731.36,10,500.0
2026-04-25,ELE_MOBILE_PHONE_001,718.17,251,500.0
2026-05-02,ELE_MOBILE_PHONE_001,729.65,36,500.0
2026-05-09,ELE_MOBILE_PHONE_001,731.83,242,500.0
2026-05-16,ELE_MOBILE_PHONE_001,719.1,258,500.0
2026-05-23,ELE_MOBILE_PHONE_001,715.83,10,500.0
2026-05-30,ELE_MOBILE_PHONE_001,725.44,195,500.0
2026-06-06,ELE_MOBILE_PHONE_001,720.38,262,500.0
2026-06-13,ELE_MOBILE_PHONE_001,707.81,28,500.0
2026-06-20,ELE_MOBILE_PHONE_001,734.97,222,500.0
