date,comp_price_avg,comp_price_min,comp_price_max
2023-07-01,803.9,763.6999999999999,844.1
2023-07-08,809.5,769.02,849.98
2023-07-15,836.13,794.3199999999999,877.94
2023-07-22,847.08,804.73,889.4300000000001
2023-07-29,793.61,753.9300000000001,833.29
2023-08-05,799.87,759.88,839.86
2023-08-12,811.61,771.03,852.19
2023-08-19,808.55,768.12,848.9799999999999
2023-08-26,801.17,761.1099999999999,841.23
2023-09-02,824.22,783.01,865.4300000000001
2023-09-09,831.58,790.0,873.1600000000001
2023-09-16,800.64,760.61,840.67
2023-09-23,778.3,739.39,817.2099999999999
2023-09-30,811.44,770.87,852.0100000000001
2023-10-07,804.87,764.63,845.11
2023-10-14,831.81,790.2199999999999,873.4
2023-10-21,808.33,767.9100000000001,848.75
2023-10-28,804.07,763.87,844.2700000000001
2023-11-04,774.59,735.86,813.32
2023-11-11,740.07,703.07,777.07
2023-11-18,870.69,827.1600000000001,914.22
2023-11-25,809.51,769.03,849.99
2023-12-02,789.35,749.88,828.82
2023-12-09,804.54,764.31,844.77
2023-12-16,781.1,742.04,820.1600000000001
2023-12-23,776.23,737.4200000000001,815.04
2023-12-30,801.33,761.26,841.4000000000001
2024-01-06,807.74,767.35,848.13
2024-01-13,830.73,789.19,872.27
2024-01-20,766.28,727.97,804.5899999999999
2024-01-27,755.65,717.87,793.43
2024-02-03,817.72,776.83,858.61
2024-02-10,780.98,741.9300000000001,820.03
2024-02-17,790.5,750.97,830.03
2024-02-24,821.81,780.7199999999999,862.9
2024-03-02,808.46,768.0400000000001,848.88
2024-03-09,804.44,764.22,844.6600000000001
2024-03-16,826.07,784.7700000000001,867.37
2024-03-23,793.25,753.59,832.91
2024-03-30,770.27,731.76,808.78
2024-04-06,793.43,753.76,833.0999999999999
2024-04-13,783.13,743.97,822.29
2024-04-20,829.95,788.45,871.45
2024-04-27,769.81,731.3199999999999,808.3
2024-05-04,844.17,801.9599999999999,886.38
2024-05-11,795.59,755.8100000000001,835.37
2024-05-18,822.56,781.43,863.6899999999999
2024-05-25,843.47,801.3000000000001,885.64
2024-06-01,748.75,711.31,786.19
2024-06-08,777.96,739.0600000000001,816.86
2024-06-15,778.3,739.39,817.2099999999999
2024-06-22,836.65,794.8199999999999,878.48
2024-06-29,788.69,749.2600000000001,828.12
2024-07-06,768.3,729.89,806.7099999999999
2024-07-13,823.62,782.44,864.8
2024-07-20,821.64,780.56,862.72
2024-07-27,825.15,783.89,866.41
2024-08-03,779.82,740.83,818.8100000000001
2024-08-10,757.68,719.8,795.56
2024-08-17,800.0,760.0,840.0
2024-08-24,801.81,761.7199999999999,841.9
2024-08-31,846.51,804.18,888.84
2024-09-07,769.21,730.75,807.6700000000001
2024-09-14,833.56,791.88,875.2399999999999
2024-09-21,817.63,776.75,858.51
2024-09-28,816.12,775.31,856.9300000000001
2024-10-05,819.24,778.28,860.2
2024-10-12,741.45,704.38,778.5200000000001
2024-10-19,769.62,731.14,808.1
2024-10-26,821.67,780.5899999999999,862.75
2024-11-02,787.54,748.16,826.92
2024-11-09,789.87,750.38,829.36
2024-11-16,836.97,795.12,878.82
2024-11-23,829.92,788.42,871.42
2024-11-30,805.39,765.12,845.66
2024-12-07,840.67,798.64,882.6999999999999
2024-12-14,829.4,787.93,870.87
2024-12-21,804.2,763.99,844.4100000000001
2024-12-28,760.07,722.07,798.07
2025-01-04,781.83,742.74,820.9200000000001
2025-01-11,785.21,745.95,824.47
2025-01-18,840.03,798.03,882.03
2025-01-25,846.49,804.17,888.8100000000001
2025-02-01,794.6,754.87,834.33
2025-02-08,747.08,709.73,784.4300000000001
2025-02-15,779.38,740.41,818.35
2025-02-22,841.1,799.04,883.1600000000001
2025-03-01,806.35,766.03,846.6700000000001
2025-03-08,831.18,789.6199999999999,872.74
2025-03-15,785.93,746.63,825.2299999999999
2025-03-22,768.63,730.2,807.06
2025-03-29,808.71,768.27,849.1500000000001
2025-04-05,808.08,767.6800000000001,848.48
2025-04-12,847.33,804.96,889.7
2025-04-19,811.0,770.45,851.55
2025-04-26,773.0,734.35,811.65
2025-05-03,764.34,726.12,802.5600000000001
2025-05-10,815.6,774.82,856.38
2025-05-17,798.27,758.36,838.18
2025-05-24,818.23,777.32,859.14
2025-05-31,767.5,729.12,805.88
2025-06-07,781.23,742.1700000000001,820.29
2025-06-14,808.85,768.4100000000001,849.29
2025-06-21,761.87,723.78,799.96
2025-06-28,828.45,787.0300000000001,869.87
2025-07-05,797.04,757.1899999999999,836.89
2025-07-12,765.39,727.12,803.66
2025-07-19,771.63,733.05,810.21
2025-07-26,813.79,773.0999999999999,854.48
2025-08-02,762.25,724.14,800.36
2025-08-09,741.92,704.8199999999999,779.02
2025-08-16,787.82,748.4300000000001,827.21
2025-08-23,821.25,780.19,862.31
2025-08-30,822.57,781.44,863.7
2025-09-06,832.24,790.63,873.85
2025-09-13,810.79,770.25,851.3299999999999
2025-09-20,801.02,760.97,841.0699999999999
2025-09-27,807.11,766.75,847.47
2025-10-04,815.62,774.84,856.4
2025-10-11,807.01,766.66,847.36
2025-10-18,809.0,768.55,849.45
2025-10-25,803.02,762.87,843.17
2025-11-01,807.34,766.97,847.71
2025-11-08,841.63,799.55,883.71
2025-11-15,815.99,775.19,856.79
2025-11-22,793.89,754.2,833.5799999999999
2025-11-29,828.45,787.0300000000001,869.87
2025-12-06,780.84,741.8000000000001,819.88
2025-12-13,800.71,760.6700000000001,840.75
2025-12-20,819.41,778.4399999999999,860.38
2025-12-27,800.09,760.09,840.09
2026-01-03,818.18,777.27,859.0899999999999
2026-01-10,828.37,786.95,869.79
2026-01-17,774.43,735.7099999999999,813.15
2026-01-24,789.1,749.64,828.5600000000001
2026-01-31,824.92,783.67,866.17
2026-02-07,775.51,736.73,814.29
2026-02-14,768.47,730.0500000000001,806.89
2026-02-21,782.45,743.33,821.57
2026-02-28,763.43,725.26,801.5999999999999
2026-03-07,808.23,767.82,848.64
2026-03-14,825.01,783.76,866.26
2026-03-21,757.15,719.29,795.01
2026-03-28,835.34,793.57,877.11
2026-04-04,813.26,772.6,853.92
2026-04-11,753.06,715.41,790.7099999999999
2026-04-18,811.53,770.9499999999999,852.11
2026-04-25,806.7,766.36,847.0400000000001
2026-05-02,833.64,791.96,875.3199999999999
2026-05-09,791.33,751.76,830.9000000000001
2026-05-16,801.24,761.1800000000001,841.3
2026-05-23,769.72,731.23,808.21
2026-05-30,802.7,762.5600000000001,842.84
2026-06-06,794.4,754.68,834.12
2026-06-13,786.69,747.36,826.0200000000001
2026-06-20,778.04,739.14,816.9399999999999
