date,units_in_stock,avg_daily_sales_14d
2023-07-01,483,18.86
2023-07-08,493,20.0
2023-07-15,506,20.71
2023-07-22,518,19.71
2023-07-29,523,20.14
2023-08-05,537,17.86
2023-08-12,554,18.14
2023-08-19,565,17.0
2023-08-26,593,18.29
2023-09-02,658,18.0
2023-09-09,703,16.71
2023-09-16,734,18.71
2023-09-23,756,19.14
2023-09-30,784,16.86
2023-10-07,814,18.29
2023-10-14,832,20.57
2023-10-21,866,17.14
2023-10-28,905,16.86
2023-11-04,937,18.57
2023-11-11,958,21.14
2023-11-18,956,19.0
2023-11-25,970,20.71
2023-12-02,984,19.14
2023-12-09,981,20.71
2023-12-16,996,19.71
2023-12-23,1026,19.14
2023-12-30,1034,22.71
2024-01-06,1017,21.0
2024-01-13,1020,20.29
2024-01-20,1023,21.29
2024-01-27,987,23.29
2024-02-03,970,24.86
2024-02-10,978,24.57
2024-02-17,981,21.14
2024-02-24,951,23.71
2024-03-02,944,21.14
2024-03-09,886,27.57
2024-03-16,896,25.86
2024-03-23,865,26.57
2024-03-30,827,26.71
2024-04-06,829,23.43
2024-04-13,803,24.29
2024-04-20,820,20.29
2024-04-27,799,25.29
2024-05-04,797,22.29
2024-05-11,560,56.43
2024-05-18,543,24.57
2024-05-25,534,24.0
2024-06-01,503,24.57
2024-06-08,492,23.0
2024-06-15,495,20.0
2024-06-22,435,24.0
2024-06-29,446,21.86
2024-07-06,457,19.86
2024-07-13,474,18.71
2024-07-20,495,19.43
2024-07-27,504,18.29
2024-08-03,528,19.43
2024-08-10,556,17.43
2024-08-17,588,18.71
2024-08-24,614,17.71
2024-08-31,623,19.86
2024-09-07,646,18.86
2024-09-14,679,17.57
2024-09-21,713,18.86
2024-09-28,754,17.0
2024-10-05,792,17.43
2024-10-12,812,18.29
2024-10-19,825,20.14
2024-10-26,828,19.71
2024-11-02,840,18.0
2024-11-09,832,20.57
2024-11-16,843,17.86
2024-11-23,889,19.14
2024-11-30,923,20.57
2024-12-07,932,21.43
2024-12-14,925,20.57
2024-12-21,923,21.71
2024-12-28,921,21.14
2025-01-04,938,20.86
2025-01-11,935,22.43
2025-01-18,943,23.43
2025-01-25,960,20.86
2025-02-01,953,23.57
2025-02-08,948,21.86
2025-02-15,941,23.57
2025-02-22,911,20.71
2025-03-01,900,24.57
2025-03-08,887,21.86
2025-03-15,833,24.71
2025-03-22,837,21.14
2025-03-29,793,27.29
2025-04-05,766,26.43
2025-04-12,773,22.86
2025-04-19,746,25.14
2025-04-26,727,24.14
2025-05-03,731,22.14
2025-05-10,725,21.29
2025-05-17,753,21.0
2025-05-24,735,24.29
2025-05-31,728,22.0
2025-06-07,723,20.86
2025-06-14,706,23.43
2025-06-21,700,24.57
2025-06-28,687,21.86
2025-07-05,693,22.29
2025-07-12,687,19.0
2025-07-19,687,19.57
2025-07-26,683,21.0
2025-08-02,686,21.86
2025-08-09,570,40.14
2025-08-16,605,18.57
2025-08-23,632,19.29
2025-08-30,648,18.86
2025-09-06,679,17.86
2025-09-13,682,16.57
2025-09-20,706,18.57
2025-09-27,746,16.29
2025-10-04,781,19.0
2025-10-11,790,18.86
2025-10-18,811,19.43
2025-10-25,830,18.57
2025-11-01,841,18.43
2025-11-08,844,21.14
2025-11-15,853,20.14
2025-11-22,848,19.86
2025-11-29,880,19.86
2025-12-06,841,23.43
2025-12-13,882,17.29
2025-12-20,892,20.14
2025-12-27,903,20.43
2026-01-03,888,21.14
2026-01-10,895,22.86
2026-01-17,894,20.57
2026-01-24,875,22.0
2026-01-31,866,21.86
2026-02-07,861,21.14
2026-02-14,821,25.14
2026-02-21,817,23.57
2026-02-28,794,22.57
2026-03-07,771,23.43
2026-03-14,738,24.29
2026-03-21,711,24.86
2026-03-28,675,27.86
2026-04-04,682,23.14
2026-04-11,665,24.43
2026-04-18,656,23.29
2026-04-25,628,22.43
2026-05-02,629,24.14
2026-05-09,640,20.86
2026-05-16,645,20.57
2026-05-23,648,20.43
2026-05-30,613,23.71
2026-06-06,572,24.29
2026-06-13,593,19.14
2026-06-20,597,22.86
