date,sku_id,unit_price,units_sold,cost_per_unit
2023-07-01,ELE_MOBILE_PHONE_001,797.87,141,500.0
2023-07-08,ELE_MOBILE_PHONE_001,806.46,142,500.9
2023-07-15,ELE_MOBILE_PHONE_001,798.51,142,501.79
2023-07-22,ELE_MOBILE_PHONE_001,812.32,140,502.69
2023-07-29,ELE_MOBILE_PHONE_001,820.92,132,503.59
2023-08-05,ELE_MOBILE_PHONE_001,815.51,138,504.49
2023-08-12,ELE_MOBILE_PHONE_001,812.57,134,505.38
2023-08-19,ELE_MOBILE_PHONE_001,807.14,135,506.28
2023-08-26,ELE_MOBILE_PHONE_001,834.15,115,507.18
2023-09-02,ELE_MOBILE_PHONE_001,814.9,134,508.08
2023-09-09,ELE_MOBILE_PHONE_001,818.41,130,508.97
2023-09-16,ELE_MOBILE_PHONE_001,822.34,126,509.87
2023-09-23,ELE_MOBILE_PHONE_001,826.96,121,510.77
2023-09-30,ELE_MOBILE_PHONE_001,820.17,117,511.67
2023-10-07,ELE_MOBILE_PHONE_001,827.69,122,512.56
2023-10-14,ELE_MOBILE_PHONE_001,827.51,125,513.46
2023-10-21,ELE_MOBILE_PHONE_001,817.01,121,514.36
2023-10-28,ELE_MOBILE_PHONE_001,832.44,123,515.26
2023-11-04,ELE_MOBILE_PHONE_001,834.67,119,516.15
2023-11-11,ELE_MOBILE_PHONE_001,827.39,113,517.05
2023-11-18,ELE_MOBILE_PHONE_001,843.24,113,517.95
2023-11-25,ELE_MOBILE_PHONE_001,842.72,117,518.85
2023-12-02,ELE_MOBILE_PHONE_001,838.89,132,519.74
2023-12-09,ELE_MOBILE_PHONE_001,840.16,129,520.64
2023-12-16,ELE_MOBILE_PHONE_001,845.16,137,521.54
2023-12-23,ELE_MOBILE_PHONE_001,847.79,135,522.44
2023-12-30,ELE_MOBILE_PHONE_001,849.08,129,523.33
2024-01-06,ELE_MOBILE_PHONE_001,853.68,142,524.23
2024-01-13,ELE_MOBILE_PHONE_001,848.58,143,525.13
2024-01-20,ELE_MOBILE_PHONE_001,850.85,149,526.03
2024-01-27,ELE_MOBILE_PHONE_001,844.47,141,526.92
2024-02-03,ELE_MOBILE_PHONE_001,860.95,141,527.82
2024-02-10,ELE_MOBILE_PHONE_001,859.85,139,528.72
2024-02-17,ELE_MOBILE_PHONE_001,849.54,152,529.62
2024-02-24,ELE_MOBILE_PHONE_001,863.17,142,530.51
2024-03-02,ELE_MOBILE_PHONE_001,867.73,147,531.41
2024-03-09,ELE_MOBILE_PHONE_001,869.97,137,532.31
2024-03-16,ELE_MOBILE_PHONE_001,881.53,147,533.21
2024-03-23,ELE_MOBILE_PHONE_001,870.46,155,534.1
2024-03-30,ELE_MOBILE_PHONE_001,868.63,152,535.0
2024-04-06,ELE_MOBILE_PHONE_001,875.24,150,535.9
2024-04-13,ELE_MOBILE_PHONE_001,870.04,142,536.79
2024-04-20,ELE_MOBILE_PHONE_001,875.31,155,537.69
2024-04-27,ELE_MOBILE_PHONE_001,874.34,130,538.59
2024-05-04,ELE_MOBILE_PHONE_001,889.09,136,539.49
2024-05-11,ELE_MOBILE_PHONE_001,894.14,337,540.38
2024-05-18,ELE_MOBILE_PHONE_001,872.3,135,541.28
2024-05-25,ELE_MOBILE_PHONE_001,876.81,151,542.18
2024-06-01,ELE_MOBILE_PHONE_001,883.2,134,543.08
2024-06-08,ELE_MOBILE_PHONE_001,878.63,128,543.97
2024-06-15,ELE_MOBILE_PHONE_001,883.91,123,544.87
2024-06-22,ELE_MOBILE_PHONE_001,886.91,121,545.77
2024-06-29,ELE_MOBILE_PHONE_001,881.82,120,546.67
2024-07-06,ELE_MOBILE_PHONE_001,887.98,130,547.56
2024-07-13,ELE_MOBILE_PHONE_001,898.43,112,548.46
2024-07-20,ELE_MOBILE_PHONE_001,898.08,108,549.36
2024-07-27,ELE_MOBILE_PHONE_001,905.45,119,550.26
2024-08-03,ELE_MOBILE_PHONE_001,902.69,107,551.15
2024-08-10,ELE_MOBILE_PHONE_001,887.19,109,552.05
2024-08-17,ELE_MOBILE_PHONE_001,916.12,99,552.95
2024-08-24,ELE_MOBILE_PHONE_001,898.48,103,553.85
2024-08-31,ELE_MOBILE_PHONE_001,907.17,102,554.74
2024-09-07,ELE_MOBILE_PHONE_001,906.02,106,555.64
2024-09-14,ELE_MOBILE_PHONE_001,908.41,91,556.54
2024-09-21,ELE_MOBILE_PHONE_001,917.04,87,557.44
2024-09-28,ELE_MOBILE_PHONE_001,917.8,91,558.33
2024-10-05,ELE_MOBILE_PHONE_001,928.74,89,559.23
2024-10-12,ELE_MOBILE_PHONE_001,922.03,98,560.13
2024-10-19,ELE_MOBILE_PHONE_001,907.69,99,561.03
2024-10-26,ELE_MOBILE_PHONE_001,925.43,94,561.92
2024-11-02,ELE_MOBILE_PHONE_001,928.09,90,562.82
2024-11-09,ELE_MOBILE_PHONE_001,918.5,104,563.72
2024-11-16,ELE_MOBILE_PHONE_001,931.84,103,564.62
2024-11-23,ELE_MOBILE_PHONE_001,934.08,95,565.51
2024-11-30,ELE_MOBILE_PHONE_001,936.02,99,566.41
2024-12-07,ELE_MOBILE_PHONE_001,941.91,92,567.31
2024-12-14,ELE_MOBILE_PHONE_001,943.19,95,568.21
2024-12-21,ELE_MOBILE_PHONE_001,939.84,100,569.1
2024-12-28,ELE_MOBILE_PHONE_001,934.98,110,570.0
2025-01-04,ELE_MOBILE_PHONE_001,940.53,98,570.9
2025-01-11,ELE_MOBILE_PHONE_001,952.04,101,571.79
2025-01-18,ELE_MOBILE_PHONE_001,947.07,99,572.69
2025-01-25,ELE_MOBILE_PHONE_001,947.53,101,573.59
2025-02-01,ELE_MOBILE_PHONE_001,945.84,105,574.49
2025-02-08,ELE_MOBILE_PHONE_001,948.85,101,575.38
2025-02-15,ELE_MOBILE_PHONE_001,945.16,120,576.28
