date,comp_price_avg,comp_price_min,comp_price_max
2023-07-01,786.62,747.29,825.95
2023-07-08,795.76,755.97,835.55
2023-07-15,806.43,766.1099999999999,846.75
2023-07-22,806.9,766.56,847.24
2023-07-29,811.71,771.12,852.3000000000001
2023-08-05,780.22,741.21,819.23
2023-08-12,800.78,760.74,840.8199999999999
2023-08-19,775.61,736.83,814.39
2023-08-26,798.95,759.0,838.9000000000001
2023-09-02,784.1,744.89,823.3100000000001
2023-09-09,819.26,778.3,860.22
2023-09-16,793.98,754.28,833.6800000000001
2023-09-23,791.84,752.25,831.4300000000001
2023-09-30,793.03,753.38,832.68
2023-10-07,789.9,750.4,829.4
2023-10-14,798.81,758.8699999999999,838.75
2023-10-21,818.21,777.3000000000001,859.12
2023-10-28,824.06,782.8599999999999,865.26
2023-11-04,792.06,752.4599999999999,831.66
2023-11-11,814.78,774.04,855.52
2023-11-18,830.51,788.98,872.04
2023-11-25,817.27,776.41,858.13
2023-12-02,815.01,774.26,855.76
2023-12-09,750.47,712.95,787.99
2023-12-16,820.08,779.08,861.08
2023-12-23,813.11,772.45,853.77
2023-12-30,808.85,768.4100000000001,849.29
2024-01-06,777.0,738.15,815.85
2024-01-13,788.64,749.21,828.0699999999999
2024-01-20,801.38,761.31,841.45
2024-01-27,787.46,748.09,826.83
2024-02-03,815.95,775.1500000000001,856.75
2024-02-10,810.74,770.2,851.28
2024-02-17,778.42,739.5,817.3399999999999
2024-02-24,794.49,754.77,834.21
2024-03-02,821.97,780.87,863.07
2024-03-09,791.05,751.5,830.5999999999999
2024-03-16,808.85,768.4100000000001,849.29
2024-03-23,818.34,777.4200000000001,859.26
2024-03-30,801.31,761.2399999999999,841.38
2024-04-06,769.15,730.6899999999999,807.61
2024-04-13,859.12,816.16,902.08
2024-04-20,794.37,754.65,834.09
2024-04-27,819.26,778.3,860.22
2024-05-04,813.22,772.5600000000001,853.88
2024-05-11,798.9,758.9499999999999,838.85
2024-05-18,797.02,757.17,836.87
2024-05-25,796.88,757.04,836.72
2024-06-01,792.39,752.77,832.01
2024-06-08,799.8,759.81,839.79
2024-06-15,801.05,761.0,841.0999999999999
2024-06-22,781.31,742.2399999999999,820.38
2024-06-29,773.03,734.38,811.68
2024-07-06,827.57,786.19,868.95
2024-07-13,823.11,781.95,864.27
2024-07-20,785.41,746.14,824.68
2024-07-27,839.63,797.65,881.61
2024-08-03,793.77,754.0799999999999,833.46
2024-08-10,798.74,758.8,838.6800000000001
2024-08-17,804.32,764.1,844.5400000000001
2024-08-24,761.78,723.6899999999999,799.87
2024-08-31,769.19,730.73,807.6500000000001
2024-09-07,809.74,769.25,850.23
2024-09-14,841.95,799.85,884.0500000000001
2024-09-21,822.75,781.61,863.89
2024-09-28,763.19,725.0300000000001,801.35
2024-10-05,801.26,761.2,841.3199999999999
2024-10-12,796.96,757.11,836.8100000000001
2024-10-19,778.44,739.5200000000001,817.36
2024-10-26,807.04,766.6899999999999,847.39
2024-11-02,820.13,779.12,861.14
2024-11-09,752.62,714.99,790.25
2024-11-16,770.29,731.78,808.8
2024-11-23,837.47,795.6,879.34
2024-11-30,806.26,765.95,846.5699999999999
2024-12-07,828.8,787.3599999999999,870.24
2024-12-14,785.61,746.33,824.89
2024-12-21,790.95,751.4000000000001,830.5
2024-12-28,764.24,726.03,802.45
2025-01-04,820.16,779.15,861.17
2025-01-11,821.16,780.0999999999999,862.22
2025-01-18,773.55,734.87,812.2299999999999
