date,cci_current,cci_baseline,google_trends_score
2023-07-01,100.5,100.0,57.4
2023-07-08,99.6,100.0,47.7
2023-07-15,99.9,100.0,41.4
2023-07-22,103.5,100.0,49.5
2023-07-29,100.7,100.0,39.4
2023-08-05,102.0,100.0,45.2
2023-08-12,100.7,100.0,43.0
2023-08-19,99.6,100.0,44.2
2023-08-26,101.0,100.0,35.2
2023-09-02,103.3,100.0,40.3
2023-09-09,99.0,100.0,47.4
2023-09-16,102.7,100.0,39.1
2023-09-23,101.2,100.0,43.3
2023-09-30,101.3,100.0,49.4
2023-10-07,101.5,100.0,39.2
2023-10-14,99.1,100.0,34.4
2023-10-21,99.3,100.0,31.3
2023-10-28,100.0,100.0,41.3
2023-11-04,99.6,100.0,38.4
2023-11-11,95.6,100.0,47.0
2023-11-18,98.6,100.0,42.3
2023-11-25,101.2,100.0,46.1
2023-12-02,101.1,100.0,41.2
2023-12-09,102.1,100.0,41.9
2023-12-16,100.5,100.0,51.1
2023-12-23,98.6,100.0,45.6
2023-12-30,99.5,100.0,58.2
2024-01-06,98.4,100.0,53.9
2024-01-13,97.6,100.0,60.0
2024-01-20,100.5,100.0,59.3
2024-01-27,97.6,100.0,56.0
2024-02-03,98.7,100.0,52.8
2024-02-10,100.6,100.0,62.6
2024-02-17,98.5,100.0,55.3
2024-02-24,101.1,100.0,62.8
2024-03-02,101.9,100.0,58.8
2024-03-09,100.0,100.0,71.3
2024-03-16,99.0,100.0,66.9
2024-03-23,98.4,100.0,62.1
2024-03-30,101.1,100.0,67.2
2024-04-06,101.8,100.0,68.2
2024-04-13,98.0,100.0,65.2
2024-04-20,102.3,100.0,66.3
2024-04-27,101.2,100.0,66.9
2024-05-04,100.6,100.0,61.1
2024-05-11,100.4,100.0,62.9
2024-05-18,100.3,100.0,67.0
2024-05-25,99.5,100.0,66.2
2024-06-01,99.8,100.0,61.4
2024-06-08,99.5,100.0,54.6
2024-06-15,100.7,100.0,53.8
2024-06-22,102.9,100.0,46.1
2024-06-29,98.6,100.0,46.9
2024-07-06,102.0,100.0,45.6
2024-07-13,100.2,100.0,52.2
2024-07-20,100.7,100.0,44.1
2024-07-27,99.2,100.0,46.3
2024-08-03,101.0,100.0,43.3
2024-08-10,99.3,100.0,41.2
2024-08-17,100.0,100.0,36.8
2024-08-24,99.3,100.0,46.6
2024-08-31,100.7,100.0,27.3
2024-09-07,98.9,100.0,28.8
2024-09-14,98.8,100.0,39.3
2024-09-21,99.6,100.0,34.1
2024-09-28,98.7,100.0,34.7
2024-10-05,100.4,100.0,42.6
2024-10-12,101.1,100.0,36.9
2024-10-19,101.3,100.0,23.4
2024-10-26,100.2,100.0,38.4
2024-11-02,100.6,100.0,32.6
2024-11-09,100.9,100.0,35.4
2024-11-16,100.1,100.0,40.0
2024-11-23,100.7,100.0,47.1
2024-11-30,99.7,100.0,41.2
2024-12-07,97.5,100.0,60.0
2024-12-14,103.7,100.0,45.2
2024-12-21,99.6,100.0,43.6
2024-12-28,98.2,100.0,43.7
2025-01-04,97.0,100.0,53.5
2025-01-11,96.0,100.0,58.6
2025-01-18,99.2,100.0,63.3
2025-01-25,98.7,100.0,58.8
2025-02-01,99.1,100.0,47.0
2025-02-08,100.6,100.0,63.3
2025-02-15,98.8,100.0,64.0
2025-02-22,98.4,100.0,70.3
2025-03-01,99.1,100.0,63.3
2025-03-08,101.7,100.0,58.6
2025-03-15,99.4,100.0,62.6
2025-03-22,99.9,100.0,69.5
2025-03-29,99.9,100.0,65.4
2025-04-05,100.6,100.0,61.2
2025-04-12,98.6,100.0,72.4
2025-04-19,101.2,100.0,60.2
2025-04-26,100.1,100.0,56.5
2025-05-03,101.5,100.0,64.3
2025-05-10,101.2,100.0,67.5
2025-05-17,99.5,100.0,59.4
2025-05-24,98.9,100.0,60.8
2025-05-31,100.7,100.0,53.9
2025-06-07,100.4,100.0,53.1
2025-06-14,101.3,100.0,54.7
2025-06-21,100.7,100.0,49.6
2025-06-28,101.1,100.0,44.3
2025-07-05,99.1,100.0,43.4
2025-07-12,99.3,100.0,46.8
2025-07-19,103.1,100.0,50.3
2025-07-26,101.5,100.0,37.0
2025-08-02,101.5,100.0,41.5
2025-08-09,98.4,100.0,100.0
2025-08-16,100.1,100.0,39.6
2025-08-23,99.7,100.0,40.2
2025-08-30,101.7,100.0,37.7
2025-09-06,101.4,100.0,44.6
2025-09-13,100.0,100.0,36.2
2025-09-20,99.2,100.0,39.5
2025-09-27,100.3,100.0,30.7
2025-10-04,98.2,100.0,38.7
2025-10-11,99.4,100.0,43.5
2025-10-18,102.8,100.0,38.1
2025-10-25,97.7,100.0,38.9
2025-11-01,100.3,100.0,31.9
2025-11-08,101.2,100.0,40.0
2025-11-15,97.8,100.0,38.6
2025-11-22,100.7,100.0,36.0
2025-11-29,97.5,100.0,41.3
2025-12-06,99.7,100.0,45.8
2025-12-13,101.5,100.0,51.0
