date,units_in_stock,avg_daily_sales_14d
2023-07-01,318,39.0
2023-07-08,353,19.57
2023-07-15,380,21.0
2023-07-22,394,20.0
2023-07-29,283,37.71
2023-08-05,318,19.29
2023-08-12,338,19.0
2023-08-19,384,19.0
2023-08-26,259,38.0
2023-09-02,261,19.14
2023-09-09,277,18.43
2023-09-16,286,19.0
2023-09-23,190,33.57
2023-09-30,220,18.0
2023-10-07,252,18.57
2023-10-14,300,18.0
2023-10-21,184,34.43
2023-10-28,205,16.43
2023-11-04,200,18.71
2023-11-11,205,19.86
2023-11-18,117,37.71
2023-11-25,94,22.86
2023-12-02,63,25.14
2023-12-09,151,9.0
2023-12-16,14,39.57
2023-12-23,146,2.0
2023-12-30,121,24.57
2024-01-06,59,25.0
2024-01-13,158,8.43
2024-01-20,161,21.86
2024-01-27,135,24.57
2024-02-03,88,28.29
2024-02-10,10,55.57
2024-02-17,155,1.43
2024-02-24,142,24.0
2024-03-02,91,27.71
2024-03-09,10,58.71
2024-03-16,126,1.43
2024-03-23,107,26.43
2024-03-30,52,29.0
2024-04-06,129,7.43
2024-04-13,91,28.0
2024-04-20,16,29.86
2024-04-27,172,2.29
2024-05-04,10,50.0
2024-05-11,165,1.43
2024-05-18,139,23.14
2024-05-25,89,31.0
2024-06-01,10,56.86
2024-06-08,141,1.43
2024-06-15,136,24.71
2024-06-22,109,24.71
2024-06-29,10,48.0
2024-07-06,151,1.43
2024-07-13,192,19.0
2024-07-20,219,18.57
2024-07-27,91,40.14
2024-08-03,62,24.57
2024-08-10,136,8.86
2024-08-17,103,21.86
2024-08-24,10,41.86
2024-08-31,164,1.43
2024-09-07,162,20.0
2024-09-14,174,20.29
2024-09-21,31,38.57
2024-09-28,156,4.43
2024-10-05,199,17.29
2024-10-12,212,19.29
2024-10-19,67,40.86
2024-10-26,65,20.0
2024-11-02,52,21.0
2024-11-09,137,7.43
2024-11-16,10,45.14
2024-11-23,137,1.43
2024-11-30,145,24.57
2024-12-07,125,24.14
2024-12-14,10,49.0
2024-12-21,160,1.43
2024-12-28,146,23.43
2025-01-04,100,26.0
2025-01-11,10,57.0
2025-01-18,157,1.43
2025-01-25,122,24.29
2025-02-01,71,27.71
2025-02-08,10,63.43
2025-02-15,156,1.43
2025-02-22,131,20.86
2025-03-01,32,30.57
2025-03-08,124,4.57
2025-03-15,81,27.14
2025-03-22,10,31.29
2025-03-29,142,1.43
2025-04-05,10,63.57
2025-04-12,148,1.43
2025-04-19,98,27.43
2025-04-26,41,28.0
2025-05-03,153,5.86
2025-05-10,143,23.29
2025-05-17,109,30.29
2025-05-24,26,28.14
2025-05-31,149,3.71
2025-06-07,89,26.0
2025-06-14,91,23.14
2025-06-21,52,25.0
2025-06-28,150,7.43
2025-07-05,128,24.29
2025-07-12,123,22.0
2025-07-19,118,24.43
2025-07-26,10,47.86
2025-08-02,135,1.43
2025-08-09,10,46.86
2025-08-16,159,1.43
2025-08-23,11,42.86
2025-08-30,153,1.57
2025-09-06,180,16.86
2025-09-13,198,17.57
2025-09-20,90,38.14
2025-09-27,88,22.14
2025-10-04,62,21.43
2025-10-11,151,8.86
2025-10-18,10,44.57
2025-10-25,149,1.43
2025-11-01,158,21.14
2025-11-08,176,18.71
2025-11-15,35,43.86
2025-11-22,154,5.0
2025-11-29,153,21.43
2025-12-06,153,20.57
2025-12-13,10,40.86
2025-12-20,167,1.43
2025-12-27,186,22.57
2026-01-03,187,23.14
2026-01-10,15,49.0
2026-01-17,156,2.14
2026-01-24,140,23.29
2026-01-31,121,26.0
2026-02-07,10,58.43
2026-02-14,111,1.43
2026-02-21,81,24.86
2026-02-28,36,28.57
2026-03-07,133,5.14
2026-03-14,69,31.0
2026-03-21,39,27.14
2026-03-28,166,5.57
2026-04-04,10,54.14
2026-04-11,164,1.43
2026-04-18,144,24.0
2026-04-25,83,29.86
2026-05-02,10,62.86
2026-05-09,150,1.43
2026-05-16,122,23.71
2026-05-23,123,26.43
2026-05-30,10,55.86
2026-06-06,162,1.43
2026-06-13,139,22.43
2026-06-20,87,27.71
