date,is_promo,marketing_spend
2023-07-01,1,2000.0
2023-07-08,0,0.0
2023-07-15,0,0.0
2023-07-22,0,0.0
2023-07-29,1,2000.0
2023-08-05,0,0.0
2023-08-12,0,0.0
2023-08-19,0,0.0
2023-08-26,1,2000.0
2023-09-02,0,0.0
2023-09-09,0,0.0
2023-09-16,0,0.0
2023-09-23,1,2000.0
2023-09-30,0,0.0
2023-10-07,0,0.0
2023-10-14,0,0.0
2023-10-21,1,2000.0
2023-10-28,0,0.0
2023-11-04,0,0.0
2023-11-11,0,0.0
2023-11-18,1,2000.0
2023-11-25,0,0.0
2023-12-02,0,0.0
2023-12-09,0,0.0
2023-12-16,1,2000.0
2023-12-23,0,0.0
2023-12-30,0,0.0
2024-01-06,0,0.0
2024-01-13,1,2000.0
2024-01-20,0,0.0
2024-01-27,0,0.0
2024-02-03,0,0.0
2024-02-10,1,2000.0
2024-02-17,0,0.0
2024-02-24,0,0.0
2024-03-02,0,0.0
2024-03-09,1,2000.0
2024-03-16,0,0.0
2024-03-23,0,0.0
2024-03-30,0,0.0
2024-04-06,1,2000.0
2024-04-13,0,0.0
2024-04-20,0,0.0
2024-04-27,0,0.0
2024-05-04,1,2000.0
2024-05-11,0,0.0
2024-05-18,0,0.0
2024-05-25,0,0.0
2024-06-01,1,2000.0
2024-06-08,0,0.0
2024-06-15,0,0.0
2024-06-22,0,0.0
2024-06-29,1,2000.0
2024-07-06,0,0.0
2024-07-13,0,0.0
2024-07-20,0,0.0
2024-07-27,1,2000.0
2024-08-03,0,0.0
2024-08-10,0,0.0
2024-08-17,0,0.0
2024-08-24,1,2000.0
2024-08-31,0,0.0
2024-09-07,0,0.0
2024-09-14,0,0.0
2024-09-21,1,2000.0
2024-09-28,0,0.0
2024-10-05,0,0.0
2024-10-12,0,0.0
2024-10-19,1,2000.0
2024-10-26,0,0.0
2024-11-02,0,0.0
2024-11-09,0,0.0
2024-11-16,1,2000.0
2024-11-23,0,0.0
2024-11-30,0,0.0
2024-12-07,0,0.0
2024-12-14,1,2000.0
2024-12-21,0,0.0
2024-12-28,0,0.0
2025-01-04,0,0.0
2025-01-11,1,2000.0
2025-01-18,0,0.0
2025-01-25,0,0.0
2025-02-01,0,0.0
2025-02-08,1,2000.0
2025-02-15,0,0.0
2025-02-22,0,0.0
2025-03-01,0,0.0
2025-03-08,1,2000.0
2025-03-15,0,0.0
2025-03-22,0,0.0
2025-03-29,0,0.0
2025-04-05,1,2000.0
2025-04-12,0,0.0
2025-04-19,0,0.0
2025-04-26,0,0.0
2025-05-03,1,2000.0
2025-05-10,0,0.0
2025-05-17,0,0.0
2025-05-24,0,0.0
2025-05-31,1,2000.0
2025-06-07,0,0.0
2025-06-14,0,0.0
2025-06-21,0,0.0
2025-06-28,1,2000.0
2025-07-05,0,0.0
2025-07-12,0,0.0
2025-07-19,0,0.0
2025-07-26,1,2000.0
2025-08-02,0,0.0
2025-08-09,0,0.0
2025-08-16,0,0.0
2025-08-23,1,2000.0
2025-08-30,0,0.0
2025-09-06,0,0.0
2025-09-13,0,0.0
2025-09-20,1,2000.0
2025-09-27,0,0.0
2025-10-04,0,0.0
2025-10-11,0,0.0
2025-10-18,1,2000.0
2025-10-25,0,0.0
2025-11-01,0,0.0
2025-11-08,0,0.0
2025-11-15,1,2000.0
2025-11-22,0,0.0
2025-11-29,0,0.0
2025-12-06,0,0.0
2025-12-13,1,2000.0
2025-12-20,0,0.0
2025-12-27,0,0.0
2026-01-03,0,0.0
2026-01-10,1,2000.0
2026-01-17,0,0.0
2026-01-24,0,0.0
2026-01-31,0,0.0
2026-02-07,1,2000.0
2026-02-14,0,0.0
2026-02-21,0,0.0
2026-02-28,0,0.0
2026-03-07,1,2000.0
2026-03-14,0,0.0
2026-03-21,0,0.0
2026-03-28,0,0.0
2026-04-04,1,2000.0
2026-04-11,0,0.0
2026-04-18,0,0.0
2026-04-25,0,0.0
2026-05-02,1,2000.0
2026-05-09,0,0.0
2026-05-16,0,0.0
2026-05-23,0,0.0
2026-05-30,1,2000.0
2026-06-06,0,0.0
2026-06-13,0,0.0
2026-06-20,0,0.0
