date,sku_id,unit_price,units_sold,cost_per_unit
2023-07-01,ELE_MOBILE_PHONE_001,656.0,273,500.0
2023-07-08,ELE_MOBILE_PHONE_001,803.04,137,500.0
2023-07-15,ELE_MOBILE_PHONE_001,799.5,147,500.0
2023-07-22,ELE_MOBILE_PHONE_001,810.72,140,500.0
2023-07-29,ELE_MOBILE_PHONE_001,656.0,264,500.0
2023-08-05,ELE_MOBILE_PHONE_001,800.9,135,500.0
2023-08-12,ELE_MOBILE_PHONE_001,790.25,133,500.0
2023-08-19,ELE_MOBILE_PHONE_001,821.52,133,500.0
2023-08-26,ELE_MOBILE_PHONE_001,656.0,266,500.0
2023-09-02,ELE_MOBILE_PHONE_001,780.0,134,500.0
2023-09-09,ELE_MOBILE_PHONE_001,792.35,129,500.0
2023-09-16,ELE_MOBILE_PHONE_001,792.48,133,500.0
2023-09-23,ELE_MOBILE_PHONE_001,656.0,235,500.0
2023-09-30,ELE_MOBILE_PHONE_001,799.74,126,500.0
2023-10-07,ELE_MOBILE_PHONE_001,794.06,130,500.0
2023-10-14,ELE_MOBILE_PHONE_001,789.55,126,500.0
2023-10-21,ELE_MOBILE_PHONE_001,656.0,241,500.0
2023-10-28,ELE_MOBILE_PHONE_001,825.39,115,500.0
2023-11-04,ELE_MOBILE_PHONE_001,793.19,131,500.0
2023-11-11,ELE_MOBILE_PHONE_001,806.99,139,500.0
2023-11-18,ELE_MOBILE_PHONE_001,656.0,264,500.0
2023-11-25,ELE_MOBILE_PHONE_001,792.18,160,500.0
2023-12-02,ELE_MOBILE_PHONE_001,761.04,176,500.0
2023-12-09,ELE_MOBILE_PHONE_001,810.13,63,500.0
2023-12-16,ELE_MOBILE_PHONE_001,656.0,277,500.0
2023-12-23,ELE_MOBILE_PHONE_001,837.36,14,500.0
2023-12-30,ELE_MOBILE_PHONE_001,804.97,172,500.0
2024-01-06,ELE_MOBILE_PHONE_001,796.67,175,500.0
2024-01-13,ELE_MOBILE_PHONE_001,656.0,59,500.0
2024-01-20,ELE_MOBILE_PHONE_001,820.53,153,500.0
2024-01-27,ELE_MOBILE_PHONE_001,795.37,172,500.0
2024-02-03,ELE_MOBILE_PHONE_001,788.88,198,500.0
2024-02-10,ELE_MOBILE_PHONE_001,656.0,389,500.0
2024-02-17,ELE_MOBILE_PHONE_001,803.17,10,500.0
2024-02-24,ELE_MOBILE_PHONE_001,803.77,168,500.0
2024-03-02,ELE_MOBILE_PHONE_001,793.96,194,500.0
2024-03-09,ELE_MOBILE_PHONE_001,656.0,411,500.0
2024-03-16,ELE_MOBILE_PHONE_001,776.69,10,500.0
2024-03-23,ELE_MOBILE_PHONE_001,807.1,185,500.0
2024-03-30,ELE_MOBILE_PHONE_001,806.21,203,500.0
2024-04-06,ELE_MOBILE_PHONE_001,656.0,52,500.0
2024-04-13,ELE_MOBILE_PHONE_001,814.8,196,500.0
2024-04-20,ELE_MOBILE_PHONE_001,775.85,209,500.0
2024-04-27,ELE_MOBILE_PHONE_001,737.45,16,500.0
2024-05-04,ELE_MOBILE_PHONE_001,656.0,350,500.0
2024-05-11,ELE_MOBILE_PHONE_001,812.63,10,500.0
2024-05-18,ELE_MOBILE_PHONE_001,804.24,162,500.0
2024-05-25,ELE_MOBILE_PHONE_001,776.99,217,500.0
2024-06-01,ELE_MOBILE_PHONE_001,656.0,398,500.0
2024-06-08,ELE_MOBILE_PHONE_001,791.05,10,500.0
2024-06-15,ELE_MOBILE_PHONE_001,816.72,173,500.0
2024-06-22,ELE_MOBILE_PHONE_001,817.83,173,500.0
2024-06-29,ELE_MOBILE_PHONE_001,656.0,336,500.0
2024-07-06,ELE_MOBILE_PHONE_001,811.06,10,500.0
2024-07-13,ELE_MOBILE_PHONE_001,795.46,133,500.0
2024-07-20,ELE_MOBILE_PHONE_001,811.12,130,500.0
2024-07-27,ELE_MOBILE_PHONE_001,656.0,281,500.0
2024-08-03,ELE_MOBILE_PHONE_001,782.32,172,500.0
2024-08-10,ELE_MOBILE_PHONE_001,814.5,62,500.0
2024-08-17,ELE_MOBILE_PHONE_001,820.01,153,500.0
2024-08-24,ELE_MOBILE_PHONE_001,656.0,293,500.0
2024-08-31,ELE_MOBILE_PHONE_001,799.74,10,500.0
2024-09-07,ELE_MOBILE_PHONE_001,784.48,140,500.0
2024-09-14,ELE_MOBILE_PHONE_001,763.12,142,500.0
2024-09-21,ELE_MOBILE_PHONE_001,656.0,270,500.0
2024-09-28,ELE_MOBILE_PHONE_001,800.41,31,500.0
2024-10-05,ELE_MOBILE_PHONE_001,789.91,121,500.0
2024-10-12,ELE_MOBILE_PHONE_001,818.07,135,500.0
2024-10-19,ELE_MOBILE_PHONE_001,656.0,286,500.0
2024-10-26,ELE_MOBILE_PHONE_001,811.28,140,500.0
2024-11-02,ELE_MOBILE_PHONE_001,800.85,147,500.0
2024-11-09,ELE_MOBILE_PHONE_001,817.53,52,500.0
2024-11-16,ELE_MOBILE_PHONE_001,656.0,316,500.0
2024-11-23,ELE_MOBILE_PHONE_001,770.67,10,500.0
2024-11-30,ELE_MOBILE_PHONE_001,805.41,172,500.0
