date,cci_current,cci_baseline,google_trends_score
2023-07-01,101.0,100.0,47.3
2023-07-08,99.5,100.0,51.6
2023-07-15,102.6,100.0,39.3
2023-07-22,101.1,100.0,33.4
2023-07-29,98.8,100.0,44.8
2023-08-05,99.6,100.0,44.9
2023-08-12,101.1,100.0,44.8
2023-08-19,100.1,100.0,42.0
2023-08-26,99.7,100.0,40.1
2023-09-02,100.4,100.0,36.8
2023-09-09,96.5,100.0,38.9
2023-09-16,98.2,100.0,30.4
2023-09-23,100.1,100.0,33.4
2023-09-30,99.5,100.0,27.9
2023-10-07,100.0,100.0,35.2
2023-10-14,101.1,100.0,43.7
2023-10-21,99.1,100.0,42.0
2023-10-28,100.4,100.0,40.3
2023-11-04,100.4,100.0,36.5
2023-11-11,101.3,100.0,43.5
2023-11-18,101.6,100.0,46.4
2023-11-25,100.6,100.0,43.3
2023-12-02,99.4,100.0,46.1
2023-12-09,97.7,100.0,40.3
2023-12-16,98.0,100.0,55.7
2023-12-23,101.0,100.0,48.2
2023-12-30,101.1,100.0,51.7
2024-01-06,98.1,100.0,48.6
2024-01-13,100.6,100.0,53.9
2024-01-20,100.0,100.0,52.0
2024-01-27,99.7,100.0,48.7
2024-02-03,98.8,100.0,60.1
2024-02-10,96.8,100.0,64.0
2024-02-17,101.5,100.0,56.1
2024-02-24,100.8,100.0,60.6
2024-03-02,100.5,100.0,64.9
2024-03-09,97.8,100.0,65.6
2024-03-16,100.4,100.0,58.6
2024-03-23,102.1,100.0,58.1
2024-03-30,100.2,100.0,63.3
2024-04-06,97.5,100.0,62.5
2024-04-13,98.9,100.0,68.9
2024-04-20,97.0,100.0,68.9
2024-04-27,97.9,100.0,63.3
2024-05-04,100.8,100.0,65.3
2024-05-11,101.5,100.0,59.5
2024-05-18,98.0,100.0,61.0
2024-05-25,100.2,100.0,61.9
2024-06-01,99.6,100.0,53.6
2024-06-08,102.7,100.0,59.3
2024-06-15,99.0,100.0,56.1
2024-06-22,99.8,100.0,57.8
2024-06-29,99.1,100.0,41.4
2024-07-06,102.5,100.0,48.9
2024-07-13,100.8,100.0,41.8
2024-07-20,102.4,100.0,46.8
2024-07-27,97.3,100.0,41.9
2024-08-03,100.9,100.0,40.8
2024-08-10,101.7,100.0,42.9
2024-08-17,98.5,100.0,46.3
2024-08-24,101.5,100.0,37.5
2024-08-31,99.4,100.0,41.9
2024-09-07,101.2,100.0,40.9
2024-09-14,97.5,100.0,39.2
2024-09-21,100.5,100.0,40.2
2024-09-28,101.4,100.0,23.5
2024-10-05,99.9,100.0,35.5
2024-10-12,102.0,100.0,30.0
2024-10-19,99.7,100.0,38.7
2024-10-26,100.0,100.0,35.2
2024-11-02,102.2,100.0,40.9
2024-11-09,96.7,100.0,41.6
2024-11-16,101.6,100.0,34.4
2024-11-23,102.0,100.0,41.9
2024-11-30,100.0,100.0,41.1
2024-12-07,99.9,100.0,48.2
2024-12-14,98.7,100.0,52.1
2024-12-21,97.7,100.0,43.7
2024-12-28,101.1,100.0,48.5
2025-01-04,103.2,100.0,45.0
2025-01-11,101.2,100.0,55.5
2025-01-18,98.2,100.0,56.5
2025-01-25,101.8,100.0,60.2
2025-02-01,99.4,100.0,55.4
2025-02-08,99.0,100.0,57.1
2025-02-15,99.8,100.0,49.7
2025-02-22,101.2,100.0,65.0
2025-03-01,99.7,100.0,57.3
2025-03-08,100.8,100.0,64.1
2025-03-15,97.6,100.0,68.3
2025-03-22,97.9,100.0,66.6
2025-03-29,99.9,100.0,56.0
2025-04-05,98.9,100.0,67.2
2025-04-12,97.9,100.0,59.4
2025-04-19,99.7,100.0,65.6
2025-04-26,102.4,100.0,66.9
2025-05-03,97.6,100.0,56.3
2025-05-10,99.6,100.0,63.4
2025-05-17,99.9,100.0,56.1
2025-05-24,102.0,100.0,53.5
2025-05-31,99.7,100.0,67.5
2025-06-07,99.1,100.0,65.2
2025-06-14,100.2,100.0,52.4
2025-06-21,99.8,100.0,48.4
2025-06-28,100.6,100.0,48.5
2025-07-05,98.7,100.0,43.8
2025-07-12,100.2,100.0,47.3
2025-07-19,98.0,100.0,39.7
2025-07-26,101.3,100.0,41.3
2025-08-02,100.7,100.0,43.4
2025-08-09,101.9,100.0,100.0
2025-08-16,99.7,100.0,37.7
2025-08-23,99.6,100.0,33.1
2025-08-30,99.0,100.0,36.5
2025-09-06,99.7,100.0,37.0
2025-09-13,100.5,100.0,37.3
2025-09-20,98.4,100.0,32.0
2025-09-27,99.2,100.0,27.9
2025-10-04,97.3,100.0,27.4
2025-10-11,100.0,100.0,39.6
2025-10-18,100.4,100.0,32.7
2025-10-25,101.8,100.0,37.1
2025-11-01,99.2,100.0,35.9
2025-11-08,99.3,100.0,43.6
2025-11-15,98.0,100.0,46.2
2025-11-22,102.7,100.0,44.8
2025-11-29,99.3,100.0,43.9
2025-12-06,101.0,100.0,36.4
2025-12-13,100.1,100.0,42.7
2025-12-20,99.2,100.0,49.8
2025-12-27,101.3,100.0,46.1
2026-01-03,101.7,100.0,44.1
2026-01-10,101.2,100.0,57.6
2026-01-17,98.4,100.0,56.0
2026-01-24,100.3,100.0,52.7
2026-01-31,99.4,100.0,61.0
2026-02-07,101.4,100.0,51.9
2026-02-14,102.3,100.0,55.2
2026-02-21,97.7,100.0,62.2
2026-02-28,99.1,100.0,64.8
2026-03-07,101.0,100.0,62.2
2026-03-14,102.5,100.0,67.0
2026-03-21,97.1,100.0,65.0
2026-03-28,100.0,100.0,62.5
2026-04-04,100.0,100.0,62.2
2026-04-11,98.2,100.0,59.0
2026-04-18,102.3,100.0,60.4
2026-04-25,101.2,100.0,72.2
2026-05-02,98.7,100.0,66.9
2026-05-09,97.5,100.0,55.2
2026-05-16,96.9,100.0,58.4
2026-05-23,99.6,100.0,57.5
2026-05-30,99.6,100.0,61.2
2026-06-06,98.7,100.0,52.7
2026-06-13,100.3,100.0,51.2
2026-06-20,99.3,100.0,44.6
