date,units_in_stock,avg_daily_sales_14d
2023-07-01,440,21.43
2023-07-08,476,20.0
2023-07-15,465,22.14
2023-07-22,516,19.57
2023-07-29,545,17.86
2023-08-05,544,20.14
2023-08-12,569,16.86
2023-08-19,569,17.57
2023-08-26,598,20.14
2023-09-02,591,21.0
2023-09-09,631,16.29
2023-09-16,663,19.43
2023-09-23,706,17.71
2023-09-30,735,16.86
2023-10-07,768,17.0
2023-10-14,812,18.43
2023-10-21,820,17.43
2023-10-28,822,18.86
2023-11-04,844,19.14
2023-11-11,876,18.29
2023-11-18,897,18.29
2023-11-25,908,20.14
2023-12-02,914,19.29
2023-12-09,903,19.29
2023-12-16,901,19.14
2023-12-23,885,21.14
2023-12-30,882,20.71
2024-01-06,895,20.0
2024-01-13,917,20.71
2024-01-20,897,24.14
2024-01-27,884,21.29
2024-02-03,894,22.43
2024-02-10,855,27.0
2024-02-17,838,25.29
2024-02-24,815,22.0
2024-03-02,762,28.0
2024-03-09,762,22.57
2024-03-16,752,23.14
2024-03-23,725,23.86
2024-03-30,677,25.43
2024-04-06,655,24.86
2024-04-13,603,23.29
2024-04-20,554,27.0
2024-04-27,593,21.29
2024-05-04,566,25.57
2024-05-11,294,57.86
2024-05-18,269,22.86
2024-05-25,240,22.86
2024-06-01,224,20.57
2024-06-08,206,22.0
2024-06-15,196,20.29
2024-06-22,196,20.86
2024-06-29,216,19.86
2024-07-06,244,19.71
2024-07-13,214,21.86
2024-07-20,209,20.29
2024-07-27,224,20.57
2024-08-03,243,18.86
2024-08-10,274,16.0
2024-08-17,274,17.86
2024-08-24,296,17.86
2024-08-31,330,17.86
2024-09-07,335,17.43
2024-09-14,338,19.71
2024-09-21,352,18.29
2024-09-28,392,17.57
2024-10-05,404,17.0
2024-10-12,408,19.29
2024-10-19,432,17.0
2024-10-26,423,20.29
2024-11-02,446,18.43
2024-11-09,517,15.86
2024-11-16,530,17.57
2024-11-23,544,19.71
2024-11-30,538,20.71
2024-12-07,554,18.86
2024-12-14,541,18.86
2024-12-21,544,19.86
2024-12-28,555,21.29
2025-01-04,576,20.14
2025-01-11,554,24.0
2025-01-18,554,21.86
2025-01-25,561,22.0
2025-02-01,561,23.29
2025-02-08,528,24.71
2025-02-15,501,24.71
2025-02-22,483,24.71
2025-03-01,453,26.29
2025-03-08,444,23.29
2025-03-15,432,25.57
2025-03-22,457,22.29
2025-03-29,451,22.57
2025-04-05,453,22.86
2025-04-12,441,24.43
2025-04-19,403,24.14
2025-04-26,389,24.29
2025-05-03,378,23.0
2025-05-10,361,24.0
2025-05-17,352,22.14
2025-05-24,294,24.57
2025-05-31,270,21.86
2025-06-07,266,23.0
2025-06-14,269,21.71
2025-06-21,258,22.29
2025-06-28,276,21.71
2025-07-05,283,21.0
2025-07-12,283,19.43
2025-07-19,320,20.0
2025-07-26,283,21.71
2025-08-02,295,20.29
2025-08-09,122,43.43
2025-08-16,92,23.0
2025-08-23,76,21.57
2025-08-30,58,22.71
2025-09-06,162,8.29
2025-09-13,202,17.14
2025-09-20,229,16.14
2025-09-27,237,18.57
2025-10-04,262,18.57
2025-10-11,264,17.86
2025-10-18,289,18.29
2025-10-25,328,18.43
2025-11-01,370,15.57
2025-11-08,397,19.43
2025-11-15,387,22.57
2025-11-22,416,17.57
2025-11-29,390,23.57
2025-12-06,424,19.71
2025-12-13,436,19.57
2025-12-20,461,21.43
2025-12-27,442,20.86
2026-01-03,420,22.86
2026-01-10,434,22.14
2026-01-17,438,21.14
2026-01-24,460,22.86
2026-01-31,415,25.57
2026-02-07,415,24.71
2026-02-14,361,26.29
2026-02-21,340,25.71
2026-02-28,314,24.71
2026-03-07,284,27.43
2026-03-14,258,23.29
2026-03-21,259,23.14
2026-03-28,219,25.0
2026-04-04,198,26.0
2026-04-11,178,22.86
2026-04-18,118,24.86
2026-04-25,72,28.43
2026-05-02,46,26.14
2026-05-09,132,6.57
2026-05-16,90,27.29
2026-05-23,57,28.14
2026-05-30,143,8.14
2026-06-06,141,23.71
2026-06-13,117,23.57
2026-06-20,110,24.43
