date,sku_id,unit_price,units_sold,cost_per_unit
2023-07-01,ELE_MOBILE_PHONE_001,802.96,151,500.0
2023-07-08,ELE_MOBILE_PHONE_001,812.47,154,500.0
2023-07-15,ELE_MOBILE_PHONE_001,843.39,125,500.0
2023-07-22,ELE_MOBILE_PHONE_001,846.24,134,500.0
2023-07-29,ELE_MOBILE_PHONE_001,870.6,110,500.0
2023-08-05,ELE_MOBILE_PHONE_001,880.38,120,500.0
2023-08-12,ELE_MOBILE_PHONE_001,889.24,114,500.0
2023-08-19,ELE_MOBILE_PHONE_001,893.2,115,500.0
2023-08-26,ELE_MOBILE_PHONE_001,908.22,101,500.0
2023-09-02,ELE_MOBILE_PHONE_001,916.34,102,500.0
2023-09-09,ELE_MOBILE_PHONE_001,916.15,104,500.0
2023-09-16,ELE_MOBILE_PHONE_001,904.9,101,500.0
2023-09-23,ELE_MOBILE_PHONE_001,907.86,100,500.0
2023-09-30,ELE_MOBILE_PHONE_001,895.8,104,500.0
2023-10-07,ELE_MOBILE_PHONE_001,886.21,102,500.0
2023-10-14,ELE_MOBILE_PHONE_001,887.35,107,500.0
2023-10-21,ELE_MOBILE_PHONE_001,865.05,110,500.0
2023-10-28,ELE_MOBILE_PHONE_001,854.76,113,500.0
2023-11-04,ELE_MOBILE_PHONE_001,829.99,122,500.0
2023-11-11,ELE_MOBILE_PHONE_001,812.82,130,500.0
2023-11-18,ELE_MOBILE_PHONE_001,793.6,143,500.0
2023-11-25,ELE_MOBILE_PHONE_001,754.41,155,500.0
2023-12-02,ELE_MOBILE_PHONE_001,749.99,154,500.0
2023-12-09,ELE_MOBILE_PHONE_001,723.57,154,500.0
2023-12-16,ELE_MOBILE_PHONE_001,727.56,170,500.0
2023-12-23,ELE_MOBILE_PHONE_001,710.15,173,500.0
2023-12-30,ELE_MOBILE_PHONE_001,706.1,186,500.0
2024-01-06,ELE_MOBILE_PHONE_001,694.43,217,500.0
2024-01-13,ELE_MOBILE_PHONE_001,683.25,216,500.0
2024-01-20,ELE_MOBILE_PHONE_001,671.45,237,500.0
2024-01-27,ELE_MOBILE_PHONE_001,688.91,211,500.0
2024-02-03,ELE_MOBILE_PHONE_001,682.48,224,500.0
2024-02-10,ELE_MOBILE_PHONE_001,694.39,224,500.0
2024-02-17,ELE_MOBILE_PHONE_001,706.64,213,500.0
2024-02-24,ELE_MOBILE_PHONE_001,719.49,190,500.0
2024-03-02,ELE_MOBILE_PHONE_001,730.51,207,500.0
2024-03-09,ELE_MOBILE_PHONE_001,740.6,223,500.0
2024-03-16,ELE_MOBILE_PHONE_001,774.35,185,500.0
2024-03-23,ELE_MOBILE_PHONE_001,777.79,188,500.0
2024-03-30,ELE_MOBILE_PHONE_001,803.85,157,500.0
2024-04-06,ELE_MOBILE_PHONE_001,836.94,161,500.0
2024-04-13,ELE_MOBILE_PHONE_001,838.95,155,500.0
2024-04-20,ELE_MOBILE_PHONE_001,854.07,143,500.0
2024-04-27,ELE_MOBILE_PHONE_001,871.79,139,500.0
2024-05-04,ELE_MOBILE_PHONE_001,890.24,127,500.0
2024-05-11,ELE_MOBILE_PHONE_001,899.43,331,500.0
2024-05-18,ELE_MOBILE_PHONE_001,917.31,133,500.0
2024-05-25,ELE_MOBILE_PHONE_001,923.34,128,500.0
2024-06-01,ELE_MOBILE_PHONE_001,927.99,112,500.0
2024-06-08,ELE_MOBILE_PHONE_001,911.85,125,500.0
2024-06-15,ELE_MOBILE_PHONE_001,925.12,121,500.0
2024-06-22,ELE_MOBILE_PHONE_001,897.41,108,500.0
2024-06-29,ELE_MOBILE_PHONE_001,905.76,120,500.0
2024-07-06,ELE_MOBILE_PHONE_001,892.54,124,500.0
2024-07-13,ELE_MOBILE_PHONE_001,890.45,114,500.0
2024-07-20,ELE_MOBILE_PHONE_001,857.58,123,500.0
2024-07-27,ELE_MOBILE_PHONE_001,860.38,109,500.0
2024-08-03,ELE_MOBILE_PHONE_001,829.32,124,500.0
2024-08-10,ELE_MOBILE_PHONE_001,816.2,125,500.0
2024-08-17,ELE_MOBILE_PHONE_001,781.23,152,500.0
2024-08-24,ELE_MOBILE_PHONE_001,771.91,135,500.0
2024-08-31,ELE_MOBILE_PHONE_001,746.52,140,500.0
2024-09-07,ELE_MOBILE_PHONE_001,743.36,148,500.0
2024-09-14,ELE_MOBILE_PHONE_001,723.22,165,500.0
2024-09-21,ELE_MOBILE_PHONE_001,691.95,179,500.0
2024-09-28,ELE_MOBILE_PHONE_001,685.34,169,500.0
2024-10-05,ELE_MOBILE_PHONE_001,689.62,181,500.0
2024-10-12,ELE_MOBILE_PHONE_001,694.95,176,500.0
2024-10-19,ELE_MOBILE_PHONE_001,682.11,166,500.0
2024-10-26,ELE_MOBILE_PHONE_001,685.9,183,500.0
2024-11-02,ELE_MOBILE_PHONE_001,685.79,186,500.0
2024-11-09,ELE_MOBILE_PHONE_001,689.64,186,500.0
2024-11-16,ELE_MOBILE_PHONE_001,702.34,186,500.0
