date,comp_price_avg,comp_price_min,comp_price_max
2023-07-01,8.01,7.609999999999999,8.41
2023-07-08,7.94,7.54,8.34
2023-07-15,7.87,7.48,8.26
2023-07-22,8.11,7.699999999999999,8.52
2023-07-29,7.99,7.59,8.39
2023-08-05,8.06,7.66,8.46
2023-08-12,8.11,7.699999999999999,8.52
2023-08-19,8.16,7.75,8.57
2023-08-26,8.09,7.6899999999999995,8.49
2023-09-02,8.06,7.66,8.46
2023-09-09,8.13,7.720000000000001,8.540000000000001
2023-09-16,8.25,7.84,8.66
2023-09-23,8.33,7.91,8.75
2023-09-30,8.33,7.91,8.75
2023-10-07,8.36,7.9399999999999995,8.78
2023-10-14,8.3,7.880000000000001,8.72
2023-10-21,8.38,7.960000000000001,8.8
2023-10-28,8.24,7.83,8.65
2023-11-04,7.98,7.58,8.38
2023-11-11,7.93,7.529999999999999,8.33
2023-11-18,7.85,7.46,8.24
2023-11-25,7.8,7.41,8.19
2023-12-02,7.69,7.3100000000000005,8.07
2023-12-09,7.8,7.41,8.19
2023-12-16,7.8,7.41,8.19
2023-12-23,7.9,7.5,8.3
2023-12-30,7.95,7.55,8.35
2024-01-06,7.93,7.529999999999999,8.33
2024-01-13,8.16,7.75,8.57
2024-01-20,8.17,7.76,8.58
2024-01-27,8.05,7.65,8.450000000000001
2024-02-03,8.08,7.68,8.48
2024-02-10,8.01,7.609999999999999,8.41
2024-02-17,7.98,7.58,8.38
2024-02-24,7.96,7.56,8.36
2024-03-02,7.99,7.59,8.39
2024-03-09,7.98,7.58,8.38
2024-03-16,8.09,7.6899999999999995,8.49
2024-03-23,7.99,7.59,8.39
2024-03-30,7.95,7.55,8.35
2024-04-06,7.85,7.46,8.24
2024-04-13,7.83,7.44,8.22
2024-04-20,7.9,7.5,8.3
2024-04-27,7.9,7.5,8.3
2024-05-04,7.88,7.49,8.27
2024-05-11,7.82,7.430000000000001,8.21
2024-05-18,7.98,7.58,8.38
2024-05-25,7.97,7.569999999999999,8.37
2024-06-01,7.92,7.52,8.32
2024-06-08,7.86,7.470000000000001,8.25
2024-06-15,7.81,7.42,8.2
2024-06-22,7.93,7.529999999999999,8.33
2024-06-29,7.85,7.46,8.24
2024-07-06,7.89,7.5,8.28
2024-07-13,7.85,7.46,8.24
2024-07-20,7.87,7.48,8.26
2024-07-27,7.8,7.41,8.19
2024-08-03,7.82,7.430000000000001,8.21
2024-08-10,7.82,7.430000000000001,8.21
2024-08-17,7.79,7.4,8.18
2024-08-24,7.74,7.3500000000000005,8.13
2024-08-31,7.82,7.430000000000001,8.21
2024-09-07,7.87,7.48,8.26
2024-09-14,7.84,7.45,8.23
