date,cci_current,cci_baseline,google_trends_score
2023-07-01,101.7,100.0,54.5
2023-07-08,102.2,100.0,47.6
2023-07-15,99.9,100.0,48.8
2023-07-22,102.2,100.0,38.6
2023-07-29,99.1,100.0,33.8
2023-08-05,98.6,100.0,31.7
2023-08-12,98.8,100.0,21.5
2023-08-19,98.4,100.0,33.6
2023-08-26,98.2,100.0,13.7
2023-09-02,100.6,100.0,14.9
2023-09-09,102.2,100.0,21.0
2023-09-16,97.0,100.0,16.8
2023-09-23,97.7,100.0,23.6
2023-09-30,100.6,100.0,25.0
2023-10-07,100.7,100.0,20.3
2023-10-14,99.1,100.0,11.6
2023-10-21,100.1,100.0,12.6
2023-10-28,101.1,100.0,19.1
2023-11-04,99.1,100.0,12.3
2023-11-11,101.1,100.0,19.1
2023-11-18,100.4,100.0,31.8
2023-11-25,99.7,100.0,35.1
2023-12-02,100.7,100.0,34.4
2023-12-09,100.4,100.0,37.9
2023-12-16,99.2,100.0,52.8
2023-12-23,99.2,100.0,40.0
2023-12-30,99.7,100.0,53.4
2024-01-06,99.9,100.0,57.2
2024-01-13,100.7,100.0,59.0
2024-01-20,98.8,100.0,48.7
2024-01-27,95.2,100.0,64.5
2024-02-03,100.9,100.0,68.1
2024-02-10,101.5,100.0,74.7
2024-02-17,99.3,100.0,76.3
2024-02-24,100.5,100.0,73.5
2024-03-02,98.7,100.0,76.1
2024-03-09,103.6,100.0,77.5
2024-03-16,101.6,100.0,89.5
2024-03-23,100.7,100.0,88.6
2024-03-30,98.8,100.0,80.8
2024-04-06,100.9,100.0,83.3
2024-04-13,97.7,100.0,93.0
2024-04-20,99.2,100.0,88.4
2024-04-27,100.2,100.0,78.8
2024-05-04,98.6,100.0,85.8
2024-05-11,98.5,100.0,71.6
2024-05-18,98.3,100.0,75.0
2024-05-25,100.2,100.0,77.6
2024-06-01,98.1,100.0,60.7
2024-06-08,99.3,100.0,60.9
2024-06-15,99.1,100.0,53.9
2024-06-22,101.6,100.0,52.4
2024-06-29,99.4,100.0,53.2
2024-07-06,99.9,100.0,39.8
2024-07-13,99.7,100.0,39.2
2024-07-20,100.0,100.0,41.7
2024-07-27,99.4,100.0,21.9
2024-08-03,99.6,100.0,32.6
2024-08-10,101.0,100.0,20.2
2024-08-17,99.3,100.0,28.6
2024-08-24,99.4,100.0,18.7
2024-08-31,99.7,100.0,15.4
2024-09-07,102.1,100.0,14.6
2024-09-14,98.8,100.0,13.4
2024-09-21,99.5,100.0,13.4
2024-09-28,99.7,100.0,25.3
2024-10-05,97.1,100.0,13.1
2024-10-12,101.1,100.0,14.5
2024-10-19,99.7,100.0,29.5
