date,units_in_stock,avg_daily_sales_14d
2023-07-01,1844,58.0
2023-07-08,1429,59.29
2023-07-15,1403,58.0
2023-07-22,1450,51.14
2023-07-29,1387,55.86
2023-08-05,1379,51.29
2023-08-12,1426,54.0
2023-08-19,1493,40.71
2023-08-26,1424,44.86
2023-09-02,1503,42.43
2023-09-09,1537,44.43
2023-09-16,1444,45.14
2023-09-23,1507,38.86
2023-09-30,1492,38.86
2023-10-07,1594,37.71
2023-10-14,1468,43.14
2023-10-21,1410,44.57
2023-10-28,1510,44.0
2023-11-04,1424,48.86
2023-11-11,1517,44.71
2023-11-18,1400,53.43
2023-11-25,1443,52.14
2023-12-02,1467,54.0
2023-12-09,1442,52.0
2023-12-16,1371,59.71
2023-12-23,1337,60.0
2023-12-30,1454,61.86
2024-01-06,1280,70.71
2024-01-13,1287,71.29
2024-01-20,1182,80.71
2024-01-27,1311,68.86
2024-02-03,1242,82.29
2024-02-10,1218,78.29
2024-02-17,1303,72.14
2024-02-24,1121,83.14
2024-03-02,1192,85.29
2024-03-09,1166,85.14
2024-03-16,1136,91.0
2024-03-23,1285,79.71
2024-03-30,1128,83.14
2024-04-06,1199,86.71
2024-04-13,1217,81.0
2024-04-20,1263,88.29
2024-04-27,1232,87.43
2024-05-04,1222,82.57
2024-05-11,351,209.43
2024-05-18,1075,97.29
2024-05-25,1233,75.14
2024-06-01,1196,81.43
2024-06-08,1308,69.14
2024-06-15,1313,69.71
2024-06-22,1245,67.86
2024-06-29,1383,67.43
2024-07-06,1359,62.0
2024-07-13,1296,57.86
2024-07-20,1369,59.43
2024-07-27,1467,51.14
2024-08-03,1461,52.43
2024-08-10,1443,49.71
2024-08-17,1479,49.0
2024-08-24,1469,47.71
2024-08-31,1509,46.57
2024-09-07,1485,43.57
2024-09-14,1528,41.57
2024-09-21,1526,42.86
2024-09-28,1589,43.71
2024-10-05,1442,39.29
2024-10-12,1517,41.43
2024-10-19,1533,41.71
2024-10-26,1372,50.0
2024-11-02,1483,47.14
2024-11-09,1481,45.29
2024-11-16,1493,46.0
2024-11-23,1509,48.43
2024-11-30,1393,51.29
2024-12-07,1544,53.14
2024-12-14,1320,57.71
2024-12-21,1464,57.29
2024-12-28,1376,68.86
2025-01-04,1376,63.29
2025-01-11,1316,70.0
2025-01-18,1276,72.0
2025-01-25,1257,82.71
2025-02-01,1194,89.43
2025-02-08,1268,80.57
2025-02-15,1142,85.29
2025-02-22,1230,84.43
2025-03-01,1150,89.43
2025-03-08,1299,87.86
2025-03-15,1132,91.0
2025-03-22,1204,93.0
2025-03-29,1171,87.71
2025-04-05,1241,83.29
2025-04-12,1183,85.0
2025-04-19,1115,85.29
2025-04-26,1215,88.14
2025-05-03,1046,102.14
2025-05-10,1033,110.43
2025-05-17,1066,108.57
2025-05-24,1028,107.57
2025-05-31,1021,100.86
2025-06-07,1084,97.14
2025-06-14,1061,93.43
2025-06-21,1175,86.43
2025-06-28,1304,80.14
2025-07-05,1270,75.29
2025-07-12,1305,80.86
2025-07-19,1264,79.29
2025-07-26,1294,61.0
2025-08-02,1304,70.43
2025-08-09,783,143.29
2025-08-16,1283,68.0
2025-08-23,1327,66.57
2025-08-30,1354,58.86
2025-09-06,1477,57.29
2025-09-13,1346,55.0
2025-09-20,1314,57.14
2025-09-27,1468,55.57
2025-10-04,1441,56.43
2025-10-11,1407,59.14
2025-10-18,1409,57.57
2025-10-25,1446,56.86
2025-11-01,1419,59.57
2025-11-08,1400,63.14
2025-11-15,1375,65.29
2025-11-22,1387,65.57
2025-11-29,1321,66.43
2025-12-06,1345,76.57
2025-12-13,1261,77.86
2025-12-20,1258,84.14
2025-12-27,1228,79.57
2026-01-03,1158,90.14
2026-01-10,1113,94.43
2026-01-17,1153,92.86
2026-01-24,1019,102.43
2026-01-31,1061,105.43
2026-02-07,1019,101.57
2026-02-14,979,113.43
2026-02-21,1076,106.14
2026-02-28,940,115.86
2026-03-07,997,118.14
2026-03-14,949,114.71
2026-03-21,1052,108.57
2026-03-28,1042,112.0
2026-04-04,979,110.29
2026-04-11,1075,108.71
2026-04-18,1100,105.57
2026-04-25,1038,110.71
2026-05-02,1073,107.57
2026-05-09,957,115.43
2026-05-16,1102,100.57
2026-05-23,1044,99.86
2026-05-30,1107,92.0
2026-06-06,1183,92.43
2026-06-13,1201,90.71
2026-06-20,1196,88.14
