date,sku_id,unit_price,units_sold,cost_per_unit
2023-07-01,FMC_FACE_WASH_001,7.9,476,3.8
2023-07-08,FMC_FACE_WASH_001,7.96,422,3.8
2023-07-15,FMC_FACE_WASH_001,8.12,402,3.8
2023-07-22,FMC_FACE_WASH_001,7.98,424,3.8
2023-07-29,FMC_FACE_WASH_001,8.27,371,3.8
2023-08-05,FMC_FACE_WASH_001,8.01,323,3.8
2023-08-12,FMC_FACE_WASH_001,7.95,364,3.8
2023-08-19,FMC_FACE_WASH_001,7.98,329,3.8
2023-08-26,FMC_FACE_WASH_001,7.79,331,3.8
2023-09-02,FMC_FACE_WASH_001,8.08,316,3.8
2023-09-09,FMC_FACE_WASH_001,8.24,287,3.8
2023-09-16,FMC_FACE_WASH_001,8.29,264,3.8
2023-09-23,FMC_FACE_WASH_001,7.9,276,3.8
2023-09-30,FMC_FACE_WASH_001,8.11,263,3.8
2023-10-07,FMC_FACE_WASH_001,8.14,292,3.8
2023-10-14,FMC_FACE_WASH_001,8.37,296,3.8
2023-10-21,FMC_FACE_WASH_001,7.94,319,3.8
2023-10-28,FMC_FACE_WASH_001,7.98,289,3.8
2023-11-04,FMC_FACE_WASH_001,8.1,316,3.8
2023-11-11,FMC_FACE_WASH_001,8.1,332,3.8
2023-11-18,FMC_FACE_WASH_001,8.01,359,3.8
2023-11-25,FMC_FACE_WASH_001,7.94,402,3.8
2023-12-02,FMC_FACE_WASH_001,8.02,395,3.8
2023-12-09,FMC_FACE_WASH_001,8.09,363,3.8
2023-12-16,FMC_FACE_WASH_001,8.0,424,3.8
2023-12-23,FMC_FACE_WASH_001,7.94,421,3.8
2023-12-30,FMC_FACE_WASH_001,8.0,445,3.8
2024-01-06,FMC_FACE_WASH_001,8.14,445,3.8
2024-01-13,FMC_FACE_WASH_001,8.03,480,3.8
2024-01-20,FMC_FACE_WASH_001,7.99,538,3.8
2024-01-27,FMC_FACE_WASH_001,7.8,513,3.8
2024-02-03,FMC_FACE_WASH_001,8.01,588,3.8
