date,comp_price_avg,comp_price_min,comp_price_max
2023-07-01,8.12,7.709999999999999,8.53
2023-07-08,8.01,7.609999999999999,8.41
2023-07-15,7.99,7.59,8.39
2023-07-22,7.96,7.56,8.36
2023-07-29,8.03,7.629999999999999,8.43
2023-08-05,8.12,7.709999999999999,8.53
2023-08-12,8.08,7.68,8.48
2023-08-19,8.08,7.68,8.48
2023-08-26,8.19,7.779999999999999,8.6
2023-09-02,8.19,7.779999999999999,8.6
2023-09-09,8.23,7.82,8.64
2023-09-16,8.11,7.699999999999999,8.52
2023-09-23,8.13,7.720000000000001,8.540000000000001
2023-09-30,8.36,7.9399999999999995,8.78
2023-10-07,8.23,7.82,8.64
2023-10-14,8.32,7.9,8.74
2023-10-21,8.31,7.890000000000001,8.73
2023-10-28,8.21,7.800000000000001,8.620000000000001
2023-11-04,8.3,7.880000000000001,8.72
2023-11-11,8.34,7.92,8.76
2023-11-18,8.24,7.83,8.65
2023-11-25,8.52,8.09,8.95
2023-12-02,8.36,7.9399999999999995,8.78
2023-12-09,8.27,7.859999999999999,8.68
2023-12-16,8.28,7.869999999999999,8.69
2023-12-23,8.5,8.07,8.93
2023-12-30,8.47,8.05,8.89
2024-01-06,8.43,8.01,8.85
2024-01-13,8.33,7.91,8.75
2024-01-20,8.56,8.13,8.99
2024-01-27,8.54,8.11,8.969999999999999
2024-02-03,8.56,8.13,8.99
2024-02-10,8.46,8.040000000000001,8.88
2024-02-17,8.45,8.03,8.87
2024-02-24,8.47,8.05,8.89
2024-03-02,8.55,8.120000000000001,8.98
2024-03-09,8.59,8.16,9.02
2024-03-16,8.65,8.22,9.08
2024-03-23,8.62,8.19,9.049999999999999
2024-03-30,8.68,8.25,9.11
2024-04-06,8.65,8.22,9.08
2024-04-13,8.73,8.290000000000001,9.17
2024-04-20,8.69,8.26,9.12
2024-04-27,8.66,8.23,9.09
2024-05-04,8.73,8.290000000000001,9.17
2024-05-11,8.68,8.25,9.11
2024-05-18,8.8,8.360000000000001,9.24
2024-05-25,8.68,8.25,9.11
2024-06-01,8.8,8.360000000000001,9.24
2024-06-08,8.8,8.360000000000001,9.24
2024-06-15,8.84,8.4,9.28
2024-06-22,8.9,8.450000000000001,9.35
2024-06-29,8.96,8.510000000000002,9.41
2024-07-06,8.82,8.38,9.26
2024-07-13,8.95,8.5,9.399999999999999
2024-07-20,8.77,8.33,9.209999999999999
2024-07-27,8.97,8.520000000000001,9.42
2024-08-03,9.02,8.57,9.469999999999999
2024-08-10,9.0,8.55,9.45
2024-08-17,8.92,8.47,9.37
2024-08-24,8.98,8.530000000000001,9.43
2024-08-31,9.12,8.659999999999998,9.58
2024-09-07,9.26,8.799999999999999,9.72
2024-09-14,9.14,8.68,9.600000000000001
2024-09-21,9.01,8.56,9.459999999999999
2024-09-28,9.0,8.55,9.45
2024-10-05,9.13,8.67,9.590000000000002
2024-10-12,9.22,8.76,9.680000000000001
2024-10-19,9.09,8.64,9.54
2024-10-26,9.17,8.709999999999999,9.63
2024-11-02,9.22,8.76,9.680000000000001
2024-11-09,9.19,8.729999999999999,9.65
2024-11-16,9.08,8.63,9.53
2024-11-23,9.19,8.729999999999999,9.65
2024-11-30,9.16,8.7,9.620000000000001
2024-12-07,9.24,8.78,9.700000000000001
2024-12-14,9.28,8.819999999999999,9.74
2024-12-21,9.34,8.87,9.81
2024-12-28,9.23,8.77,9.690000000000001
2025-01-04,9.41,8.94,9.88
2025-01-11,9.35,8.879999999999999,9.82
2025-01-18,9.44,8.969999999999999,9.91
2025-01-25,9.34,8.87,9.81
2025-02-01,9.4,8.93,9.870000000000001
2025-02-08,9.41,8.94,9.88
2025-02-15,9.57,9.09,10.05
2025-02-22,9.49,9.02,9.96
2025-03-01,9.38,8.91,9.850000000000001
2025-03-08,9.43,8.959999999999999,9.9
2025-03-15,9.46,8.99,9.930000000000001
2025-03-22,9.51,9.03,9.99
2025-03-29,9.58,9.1,10.06
2025-04-05,9.57,9.09,10.05
2025-04-12,9.43,8.959999999999999,9.9
2025-04-19,9.55,9.07,10.030000000000001
2025-04-26,9.65,9.17,10.13
2025-05-03,9.51,9.03,9.99
2025-05-10,9.68,9.2,10.16
2025-05-17,9.67,9.19,10.15
2025-05-24,9.68,9.2,10.16
2025-05-31,9.71,9.22,10.200000000000001
2025-06-07,9.7,9.219999999999999,10.18
2025-06-14,9.67,9.19,10.15
2025-06-21,9.63,9.15,10.110000000000001
2025-06-28,9.74,9.25,10.23
2025-07-05,9.82,9.33,10.31
2025-07-12,9.76,9.27,10.25
2025-07-19,9.68,9.2,10.16
2025-07-26,9.68,9.2,10.16
2025-08-02,9.77,9.28,10.26
2025-08-09,9.65,9.17,10.13
2025-08-16,9.83,9.34,10.32
2025-08-23,9.76,9.27,10.25
2025-08-30,9.78,9.29,10.27
2025-09-06,9.9,9.4,10.4
2025-09-13,9.87,9.379999999999999,10.36
2025-09-20,9.97,9.47,10.47
2025-09-27,10.02,9.52,10.52
2025-10-04,10.03,9.53,10.53
2025-10-11,9.98,9.48,10.48
2025-10-18,10.0,9.5,10.5
2025-10-25,10.08,9.58,10.58
2025-11-01,9.96,9.46,10.46
2025-11-08,10.01,9.51,10.51
2025-11-15,10.12,9.61,10.629999999999999
2025-11-22,10.17,9.66,10.68
2025-11-29,10.17,9.66,10.68
2025-12-06,9.97,9.47,10.47
2025-12-13,10.22,9.71,10.73
2025-12-20,10.21,9.700000000000001,10.72
2025-12-27,10.13,9.620000000000001,10.64
2026-01-03,10.1,9.59,10.61
2026-01-10,10.12,9.61,10.629999999999999
2026-01-17,10.15,9.64,10.66
2026-01-24,10.05,9.55,10.55
2026-01-31,10.09,9.59,10.59
2026-02-07,10.21,9.700000000000001,10.72
2026-02-14,10.2,9.69,10.709999999999999
2026-02-21,10.28,9.77,10.79
2026-02-28,10.48,9.96,11.0
2026-03-07,10.4,9.88,10.92
2026-03-14,10.36,9.84,10.879999999999999
2026-03-21,10.18,9.67,10.69
2026-03-28,10.27,9.76,10.78
2026-04-04,10.37,9.85,10.889999999999999
2026-04-11,10.32,9.8,10.84
2026-04-18,10.35,9.83,10.87
2026-04-25,10.4,9.88,10.92
2026-05-02,10.5,9.97,11.03
2026-05-09,10.55,10.020000000000001,11.08
2026-05-16,10.33,9.81,10.85
2026-05-23,10.58,10.05,11.11
2026-05-30,10.53,10.0,11.059999999999999
2026-06-06,10.58,10.05,11.11
2026-06-13,10.62,10.09,11.149999999999999
2026-06-20,10.53,10.0,11.059999999999999
