date,cci_current,cci_baseline,google_trends_score
2023-07-01,100.0,100.0,42.2
2023-07-08,99.9,100.0,51.3
2023-07-15,99.8,100.0,43.4
2023-07-22,99.6,100.0,35.6
2023-07-29,99.5,100.0,37.2
2023-08-05,99.4,100.0,41.2
2023-08-12,99.3,100.0,25.5
2023-08-19,99.2,100.0,18.8
2023-08-26,99.0,100.0,20.7
2023-09-02,98.9,100.0,14.1
2023-09-09,98.8,100.0,12.5
2023-09-16,98.7,100.0,3.7
2023-09-23,98.6,100.0,22.0
2023-09-30,98.4,100.0,22.4
2023-10-07,98.3,100.0,14.6
2023-10-14,98.2,100.0,16.6
2023-10-21,98.1,100.0,18.7
2023-10-28,98.0,100.0,21.2
2023-11-04,97.8,100.0,22.0
2023-11-11,97.7,100.0,32.8
2023-11-18,97.6,100.0,27.2
2023-11-25,97.5,100.0,25.4
2023-12-02,97.4,100.0,29.6
2023-12-09,97.2,100.0,42.1
2023-12-16,97.1,100.0,36.0
2023-12-23,97.0,100.0,47.7
2023-12-30,96.9,100.0,49.8
2024-01-06,96.8,100.0,42.7
2024-01-13,96.6,100.0,58.6
2024-01-20,96.5,100.0,59.9
2024-01-27,96.4,100.0,57.6
2024-02-03,96.3,100.0,72.2
2024-02-10,96.2,100.0,76.7
2024-02-17,96.0,100.0,79.1
2024-02-24,95.9,100.0,76.9
2024-03-02,95.8,100.0,72.2
2024-03-09,95.7,100.0,82.1
2024-03-16,95.6,100.0,88.2
2024-03-23,95.4,100.0,82.5
2024-03-30,95.3,100.0,85.9
2024-04-06,95.2,100.0,83.7
2024-04-13,95.1,100.0,80.7
2024-04-20,95.0,100.0,81.4
2024-04-27,94.8,100.0,74.6
2024-05-04,94.7,100.0,71.9
2024-05-11,94.6,100.0,82.5
2024-05-18,94.5,100.0,68.9
2024-05-25,94.4,100.0,64.7
2024-06-01,94.2,100.0,65.9
2024-06-08,94.1,100.0,64.7
2024-06-15,94.0,100.0,48.5
2024-06-22,93.9,100.0,51.0
2024-06-29,93.8,100.0,50.9
2024-07-06,93.6,100.0,55.7
2024-07-13,93.5,100.0,39.3
2024-07-20,93.4,100.0,38.4
2024-07-27,93.3,100.0,39.2
2024-08-03,93.2,100.0,27.4
2024-08-10,93.0,100.0,30.5
2024-08-17,92.9,100.0,27.7
2024-08-24,92.8,100.0,29.6
2024-08-31,92.7,100.0,26.7
2024-09-07,92.6,100.0,17.7
2024-09-14,92.4,100.0,35.5
2024-09-21,92.3,100.0,12.1
2024-09-28,92.2,100.0,16.5
2024-10-05,92.1,100.0,18.1
2024-10-12,92.0,100.0,18.7
2024-10-19,91.8,100.0,20.9
2024-10-26,91.7,100.0,23.0
2024-11-02,91.6,100.0,24.9
2024-11-09,91.5,100.0,23.2
2024-11-16,91.4,100.0,36.2
2024-11-23,91.2,100.0,31.5
2024-11-30,91.1,100.0,36.4
2024-12-07,91.0,100.0,37.2
2024-12-14,90.9,100.0,45.6
2024-12-21,90.8,100.0,50.5
2024-12-28,90.6,100.0,58.7
2025-01-04,90.5,100.0,50.3
2025-01-11,90.4,100.0,63.3
2025-01-18,90.3,100.0,58.7
2025-01-25,90.2,100.0,61.9
2025-02-01,90.0,100.0,68.6
2025-02-08,89.9,100.0,79.3
2025-02-15,89.8,100.0,79.3
2025-02-22,89.7,100.0,78.3
2025-03-01,89.6,100.0,82.1
2025-03-08,89.4,100.0,91.6
2025-03-15,89.3,100.0,71.9
2025-03-22,89.2,100.0,82.5
2025-03-29,89.1,100.0,77.2
2025-04-05,89.0,100.0,86.5
2025-04-12,88.8,100.0,79.5
2025-04-19,88.7,100.0,83.5
2025-04-26,88.6,100.0,82.1
2025-05-03,88.5,100.0,80.6
2025-05-10,88.4,100.0,79.1
2025-05-17,88.2,100.0,72.5
2025-05-24,88.1,100.0,74.9
2025-05-31,88.0,100.0,65.5
2025-06-07,87.9,100.0,64.3
2025-06-14,87.8,100.0,68.8
2025-06-21,87.6,100.0,52.0
2025-06-28,87.5,100.0,47.3
2025-07-05,87.4,100.0,44.0
2025-07-12,87.3,100.0,43.9
2025-07-19,87.2,100.0,36.3
2025-07-26,87.0,100.0,34.5
2025-08-02,86.9,100.0,28.2
2025-08-09,86.8,100.0,62.0
2025-08-16,86.7,100.0,30.5
2025-08-23,86.6,100.0,16.8
2025-08-30,86.4,100.0,17.4
2025-09-06,86.3,100.0,21.8
2025-09-13,86.2,100.0,2.4
