date,units_in_stock,avg_daily_sales_14d
2023-07-01,1295,63.14
2023-07-08,1281,64.14
2023-07-15,1281,58.29
2023-07-22,1314,56.71
2023-07-29,1444,48.43
2023-08-05,1537,47.86
2023-08-12,1683,47.0
2023-08-19,1741,48.29
2023-08-26,1876,47.71
2023-09-02,1984,46.29
2023-09-09,2083,41.86
2023-09-16,2225,36.86
2023-09-23,2348,42.0
2023-09-30,2456,47.71
2023-10-07,2672,36.29
2023-10-14,2757,41.0
2023-10-21,2843,47.0
2023-10-28,2949,41.71
2023-11-04,3032,46.43
2023-11-11,3200,50.14
2023-11-18,3399,48.0
2023-11-25,3447,54.71
2023-12-02,3489,55.86
2023-12-09,3455,58.0
2023-12-16,3521,56.57
2023-12-23,3571,58.0
2023-12-30,3580,61.43
2024-01-06,3532,70.86
2024-01-13,3572,68.57
2024-01-20,3473,71.57
2024-01-27,3431,75.43
2024-02-03,3402,72.0
2024-02-10,3330,78.43
2024-02-17,3182,89.0
2024-02-24,2983,77.14
2024-03-02,2797,89.14
2024-03-09,2642,83.71
2024-03-16,2496,83.57
2024-03-23,2354,79.43
2024-03-30,2200,86.71
2024-04-06,2040,88.0
2024-04-13,1897,88.29
2024-04-20,1859,81.14
2024-04-27,1779,83.29
2024-05-04,1728,74.86
2024-05-11,728,206.14
2024-05-18,723,73.57
2024-05-25,629,77.43
2024-06-01,585,72.57
2024-06-08,432,82.71
2024-06-15,333,83.14
2024-06-22,192,81.43
2024-06-29,401,27.43
2024-07-06,390,71.14
2024-07-13,371,64.29
2024-07-20,308,67.0
2024-07-27,305,58.71
2024-08-03,372,56.0
2024-08-10,450,55.57
2024-08-17,591,48.29
2024-08-24,681,50.57
2024-08-31,782,44.86
2024-09-07,961,45.43
2024-09-14,1205,38.14
2024-09-21,1291,42.0
2024-09-28,1494,41.57
2024-10-05,1677,38.43
2024-10-12,1751,45.71
2024-10-19,1897,43.71
2024-10-26,2132,43.86
2024-11-02,2247,46.43
2024-11-09,2392,43.14
2024-11-16,2522,48.29
2024-11-23,2528,54.43
2024-11-30,2608,50.43
2024-12-07,2629,54.29
2024-12-14,2587,65.86
2024-12-21,2734,55.29
2024-12-28,2738,61.14
2025-01-04,2666,65.43
2025-01-11,2566,67.57
2025-01-18,2511,72.71
2025-01-25,2450,76.14
2025-02-01,2378,75.43
2025-02-08,2220,78.29
2025-02-15,2183,74.71
2025-02-22,2059,85.0
2025-03-01,1789,91.71
2025-03-08,1662,82.14
2025-03-15,1395,91.0
2025-03-22,1308,83.57
2025-03-29,1138,86.43
2025-04-05,937,98.14
2025-04-12,763,86.57
2025-04-19,598,88.86
2025-04-26,366,91.86
2025-05-03,49,103.0
2025-05-10,445,7.0
2025-05-17,252,91.14
2025-05-24,37,94.86
2025-05-31,518,5.29
2025-06-07,492,70.57
2025-06-14,464,62.29
2025-06-21,397,75.43
2025-06-28,348,74.0
2025-07-05,253,75.43
2025-07-12,282,64.86
2025-07-19,308,61.29
2025-07-26,282,63.14
2025-08-02,408,53.57
2025-08-09,10,128.14
2025-08-16,473,1.43
2025-08-23,644,45.71
2025-08-30,787,42.43
2025-09-06,903,45.14
2025-09-13,1085,42.86
2025-09-20,1318,38.86
2025-09-27,1440,41.14
2025-10-04,1566,39.29
2025-10-11,1666,42.29
2025-10-18,1829,42.57
2025-10-25,1953,45.0
2025-11-01,2061,49.14
2025-11-08,2147,48.29
2025-11-15,2217,53.71
2025-11-22,2264,54.14
2025-11-29,2358,50.57
2025-12-06,2451,52.57
2025-12-13,2490,55.0
2025-12-20,2471,69.0
2025-12-27,2448,66.29
2026-01-03,2444,69.0
2026-01-10,2500,71.71
2026-01-17,2449,75.29
2026-01-24,2430,68.57
2026-01-31,2451,72.57
2026-02-07,2326,81.86
2026-02-14,2109,87.14
2026-02-21,1998,83.0
2026-02-28,1767,91.86
2026-03-07,1595,77.43
2026-03-14,1450,80.86
2026-03-21,1231,88.86
2026-03-28,1100,82.43
2026-04-04,993,87.71
2026-04-11,840,85.29
2026-04-18,677,86.86
2026-04-25,548,86.71
2026-05-02,357,77.14
2026-05-09,170,94.57
2026-05-16,464,24.29
2026-05-23,375,74.71
2026-05-30,217,89.86
2026-06-06,47,85.86
2026-06-13,505,6.71
2026-06-20,614,57.0
