date,sku_id,unit_price,units_sold,cost_per_unit
2023-07-01,FMC_FACE_WASH_001,7.96,472,3.8
2023-07-08,FMC_FACE_WASH_001,8.03,417,3.81
2023-07-15,FMC_FACE_WASH_001,8.08,436,3.81
2023-07-22,FMC_FACE_WASH_001,7.96,379,3.82
2023-07-29,FMC_FACE_WASH_001,8.19,357,3.83
2023-08-05,FMC_FACE_WASH_001,8.06,346,3.83
2023-08-12,FMC_FACE_WASH_001,8.16,353,3.84
2023-08-19,FMC_FACE_WASH_001,8.18,332,3.85
2023-08-26,FMC_FACE_WASH_001,8.13,313,3.85
2023-09-02,FMC_FACE_WASH_001,8.23,306,3.86
2023-09-09,FMC_FACE_WASH_001,8.26,266,3.87
2023-09-16,FMC_FACE_WASH_001,8.15,266,3.88
2023-09-23,FMC_FACE_WASH_001,8.36,261,3.88
2023-09-30,FMC_FACE_WASH_001,8.21,290,3.89
2023-10-07,FMC_FACE_WASH_001,8.31,302,3.9
2023-10-14,FMC_FACE_WASH_001,8.25,297,3.9
2023-10-21,FMC_FACE_WASH_001,8.29,282,3.91
2023-10-28,FMC_FACE_WASH_001,8.37,300,3.92
2023-11-04,FMC_FACE_WASH_001,8.35,281,3.92
2023-11-11,FMC_FACE_WASH_001,8.3,309,3.93
2023-11-18,FMC_FACE_WASH_001,8.4,337,3.94
2023-11-25,FMC_FACE_WASH_001,8.38,314,3.94
2023-12-02,FMC_FACE_WASH_001,8.49,337,3.95
2023-12-09,FMC_FACE_WASH_001,8.36,369,3.96
2023-12-16,FMC_FACE_WASH_001,8.34,397,3.96
2023-12-23,FMC_FACE_WASH_001,8.55,396,3.97
2023-12-30,FMC_FACE_WASH_001,8.42,383,3.98
2024-01-06,FMC_FACE_WASH_001,8.36,442,3.98
2024-01-13,FMC_FACE_WASH_001,8.46,494,3.99
2024-01-20,FMC_FACE_WASH_001,8.53,439,4.0
2024-01-27,FMC_FACE_WASH_001,8.46,512,4.0
2024-02-03,FMC_FACE_WASH_001,8.47,483,4.01
2024-02-10,FMC_FACE_WASH_001,8.68,474,4.02
2024-02-17,FMC_FACE_WASH_001,8.49,484,4.03
2024-02-24,FMC_FACE_WASH_001,8.57,521,4.03
2024-03-02,FMC_FACE_WASH_001,8.52,520,4.04
2024-03-09,FMC_FACE_WASH_001,8.8,546,4.05
2024-03-16,FMC_FACE_WASH_001,8.55,527,4.05
2024-03-23,FMC_FACE_WASH_001,8.76,550,4.06
2024-03-30,FMC_FACE_WASH_001,8.85,492,4.07
2024-04-06,FMC_FACE_WASH_001,8.86,577,4.07
2024-04-13,FMC_FACE_WASH_001,8.74,542,4.08
2024-04-20,FMC_FACE_WASH_001,8.92,521,4.09
2024-04-27,FMC_FACE_WASH_001,8.81,567,4.09
2024-05-04,FMC_FACE_WASH_001,8.74,545,4.1
2024-05-11,FMC_FACE_WASH_001,8.92,1246,4.11
2024-05-18,FMC_FACE_WASH_001,8.75,601,4.11
2024-05-25,FMC_FACE_WASH_001,8.95,489,4.12
2024-06-01,FMC_FACE_WASH_001,8.97,473,4.13
2024-06-08,FMC_FACE_WASH_001,8.9,444,4.13
2024-06-15,FMC_FACE_WASH_001,8.88,405,4.14
2024-06-22,FMC_FACE_WASH_001,8.96,396,4.15
2024-06-29,FMC_FACE_WASH_001,9.09,371,4.15
