date,comp_price_avg,comp_price_min,comp_price_max
2023-07-01,7.87,7.48,8.26
2023-07-08,8.19,7.779999999999999,8.6
2023-07-15,8.16,7.75,8.57
2023-07-22,7.83,7.44,8.22
2023-07-29,7.98,7.58,8.38
2023-08-05,8.1,7.6899999999999995,8.51
2023-08-12,8.19,7.779999999999999,8.6
2023-08-19,7.85,7.46,8.24
2023-08-26,8.17,7.76,8.58
2023-09-02,8.22,7.8100000000000005,8.63
2023-09-09,7.73,7.340000000000001,8.120000000000001
2023-09-16,7.79,7.4,8.18
2023-09-23,8.38,7.960000000000001,8.8
2023-09-30,7.86,7.470000000000001,8.25
2023-10-07,8.33,7.91,8.75
2023-10-14,7.78,7.390000000000001,8.17
2023-10-21,7.72,7.33,8.11
2023-10-28,8.14,7.73,8.55
2023-11-04,8.01,7.609999999999999,8.41
2023-11-11,7.93,7.529999999999999,8.33
2023-11-18,8.15,7.74,8.56
2023-11-25,7.81,7.42,8.2
2023-12-02,8.14,7.73,8.55
2023-12-09,8.16,7.75,8.57
2023-12-16,8.05,7.65,8.450000000000001
2023-12-23,8.33,7.91,8.75
2023-12-30,8.22,7.8100000000000005,8.63
2024-01-06,8.1,7.6899999999999995,8.51
2024-01-13,7.78,7.390000000000001,8.17
2024-01-20,7.91,7.51,8.31
2024-01-27,7.8,7.41,8.19
2024-02-03,7.9,7.5,8.3
2024-02-10,8.41,7.99,8.83
2024-02-17,7.65,7.2700000000000005,8.030000000000001
2024-02-24,7.93,7.529999999999999,8.33
2024-03-02,8.03,7.629999999999999,8.43
2024-03-09,7.87,7.48,8.26
2024-03-16,7.99,7.59,8.39
2024-03-23,7.89,7.5,8.28
2024-03-30,7.81,7.42,8.2
2024-04-06,8.39,7.970000000000001,8.81
2024-04-13,7.86,7.470000000000001,8.25
2024-04-20,7.56,7.18,7.9399999999999995
2024-04-27,7.91,7.51,8.31
2024-05-04,7.47,7.1,7.84
2024-05-11,7.66,7.28,8.040000000000001
2024-05-18,7.94,7.54,8.34
2024-05-25,8.23,7.82,8.64
2024-06-01,7.83,7.44,8.22
2024-06-08,7.98,7.58,8.38
2024-06-15,8.35,7.93,8.77
2024-06-22,7.86,7.470000000000001,8.25
2024-06-29,8.25,7.84,8.66
2024-07-06,8.24,7.83,8.65
2024-07-13,7.9,7.5,8.3
2024-07-20,8.43,8.01,8.85
2024-07-27,8.08,7.68,8.48
2024-08-03,8.05,7.65,8.450000000000001
2024-08-10,8.19,7.779999999999999,8.6
2024-08-17,8.1,7.6899999999999995,8.51
2024-08-24,7.87,7.48,8.26
2024-08-31,8.01,7.609999999999999,8.41
2024-09-07,7.72,7.33,8.11
2024-09-14,8.24,7.83,8.65
2024-09-21,8.15,7.74,8.56
2024-09-28,7.99,7.59,8.39
2024-10-05,7.71,7.32,8.1
2024-10-12,7.71,7.32,8.1
2024-10-19,8.11,7.699999999999999,8.52
2024-10-26,7.75,7.36,8.14
2024-11-02,8.08,7.68,8.48
2024-11-09,8.37,7.949999999999999,8.79
2024-11-16,8.28,7.869999999999999,8.69
2024-11-23,7.86,7.470000000000001,8.25
2024-11-30,7.77,7.38,8.16
2024-12-07,7.98,7.58,8.38
2024-12-14,7.62,7.24,8.0
2024-12-21,7.78,7.390000000000001,8.17
2024-12-28,8.35,7.93,8.77
2025-01-04,7.99,7.59,8.39
2025-01-11,8.23,7.82,8.64
2025-01-18,7.95,7.55,8.35
2025-01-25,7.73,7.340000000000001,8.120000000000001
2025-02-01,8.03,7.629999999999999,8.43
2025-02-08,7.9,7.5,8.3
2025-02-15,7.98,7.58,8.38
2025-02-22,8.04,7.639999999999999,8.44
2025-03-01,8.2,7.789999999999999,8.61
2025-03-08,8.2,7.789999999999999,8.61
2025-03-15,8.44,8.02,8.86
2025-03-22,7.88,7.49,8.27
2025-03-29,7.96,7.56,8.36
2025-04-05,7.56,7.18,7.9399999999999995
2025-04-12,7.64,7.26,8.02
2025-04-19,8.12,7.709999999999999,8.53
2025-04-26,8.53,8.1,8.959999999999999
2025-05-03,7.86,7.470000000000001,8.25
2025-05-10,8.17,7.76,8.58
2025-05-17,8.12,7.709999999999999,8.53
2025-05-24,7.86,7.470000000000001,8.25
2025-05-31,7.88,7.49,8.27
2025-06-07,7.83,7.44,8.22
2025-06-14,8.09,7.6899999999999995,8.49
2025-06-21,8.58,8.15,9.01
2025-06-28,8.17,7.76,8.58
2025-07-05,7.59,7.21,7.97
2025-07-12,7.69,7.3100000000000005,8.07
2025-07-19,7.86,7.470000000000001,8.25
2025-07-26,7.78,7.390000000000001,8.17
2025-08-02,8.25,7.84,8.66
2025-08-09,8.07,7.67,8.47
2025-08-16,7.78,7.390000000000001,8.17
2025-08-23,7.45,7.08,7.82
2025-08-30,8.22,7.8100000000000005,8.63
2025-09-06,7.87,7.48,8.26
2025-09-13,8.22,7.8100000000000005,8.63
2025-09-20,8.18,7.77,8.59
2025-09-27,8.36,7.9399999999999995,8.78
2025-10-04,7.54,7.16,7.92
2025-10-11,7.74,7.3500000000000005,8.13
2025-10-18,8.08,7.68,8.48
2025-10-25,8.35,7.93,8.77
2025-11-01,7.86,7.470000000000001,8.25
2025-11-08,8.2,7.789999999999999,8.61
2025-11-15,8.19,7.779999999999999,8.6
2025-11-22,7.49,7.12,7.86
2025-11-29,8.15,7.74,8.56
2025-12-06,8.21,7.800000000000001,8.620000000000001
2025-12-13,7.22,6.859999999999999,7.58
2025-12-20,8.26,7.85,8.67
2025-12-27,8.12,7.709999999999999,8.53
2026-01-03,8.2,7.789999999999999,8.61
2026-01-10,7.72,7.33,8.11
2026-01-17,7.82,7.430000000000001,8.21
2026-01-24,7.99,7.59,8.39
2026-01-31,8.25,7.84,8.66
2026-02-07,7.87,7.48,8.26
2026-02-14,7.98,7.58,8.38
2026-02-21,8.16,7.75,8.57
2026-02-28,8.05,7.65,8.450000000000001
2026-03-07,8.63,8.200000000000001,9.06
2026-03-14,7.61,7.23,7.99
2026-03-21,7.36,6.99,7.73
2026-03-28,8.14,7.73,8.55
2026-04-04,7.71,7.32,8.1
2026-04-11,7.78,7.390000000000001,8.17
2026-04-18,7.93,7.529999999999999,8.33
2026-04-25,7.63,7.25,8.01
2026-05-02,8.1,7.6899999999999995,8.51
2026-05-09,7.79,7.4,8.18
2026-05-16,7.93,7.529999999999999,8.33
2026-05-23,7.87,7.48,8.26
2026-05-30,8.51,8.08,8.94
2026-06-06,8.22,7.8100000000000005,8.63
2026-06-13,7.8,7.41,8.19
2026-06-20,8.29,7.879999999999999,8.7
