date,cci_current,cci_baseline,google_trends_score
2023-07-01,99.6,100.0,42.5
2023-07-08,99.2,100.0,45.9
2023-07-15,99.8,100.0,44.1
2023-07-22,99.2,100.0,37.4
2023-07-29,101.0,100.0,29.1
2023-08-05,100.8,100.0,28.7
2023-08-12,100.7,100.0,28.8
2023-08-19,100.8,100.0,23.5
2023-08-26,101.4,100.0,19.0
2023-09-02,98.6,100.0,17.3
2023-09-09,99.8,100.0,17.1
2023-09-16,101.8,100.0,22.6
2023-09-23,98.6,100.0,23.4
2023-09-30,101.1,100.0,13.2
2023-10-07,100.3,100.0,16.0
2023-10-14,101.4,100.0,14.9
2023-10-21,99.1,100.0,10.8
2023-10-28,98.7,100.0,14.6
2023-11-04,102.5,100.0,18.6
2023-11-11,99.8,100.0,19.4
2023-11-18,99.2,100.0,29.7
2023-11-25,98.2,100.0,42.9
2023-12-02,102.8,100.0,38.8
2023-12-09,101.0,100.0,32.1
2023-12-16,101.0,100.0,39.7
2023-12-23,98.7,100.0,43.7
2023-12-30,99.0,100.0,47.3
2024-01-06,101.2,100.0,50.6
2024-01-13,100.2,100.0,56.9
2024-01-20,100.4,100.0,70.7
2024-01-27,100.2,100.0,62.2
2024-02-03,96.9,100.0,69.8
2024-02-10,104.1,100.0,78.6
2024-02-17,101.2,100.0,70.0
2024-02-24,100.8,100.0,86.3
2024-03-02,98.2,100.0,77.2
2024-03-09,98.1,100.0,85.3
2024-03-16,98.2,100.0,91.7
2024-03-23,98.6,100.0,83.2
2024-03-30,101.3,100.0,100.0
2024-04-06,98.6,100.0,77.4
2024-04-13,100.8,100.0,85.4
2024-04-20,100.5,100.0,87.2
2024-04-27,103.2,100.0,78.1
2024-05-04,99.3,100.0,82.7
2024-05-11,100.2,100.0,78.0
2024-05-18,95.8,100.0,71.8
2024-05-25,99.2,100.0,70.8
2024-06-01,99.4,100.0,70.1
2024-06-08,97.6,100.0,57.6
2024-06-15,101.7,100.0,65.9
2024-06-22,99.1,100.0,49.6
2024-06-29,99.6,100.0,45.3
2024-07-06,99.8,100.0,45.7
2024-07-13,98.3,100.0,47.4
2024-07-20,101.8,100.0,33.3
2024-07-27,99.3,100.0,53.2
2024-08-03,100.4,100.0,38.8
2024-08-10,103.6,100.0,19.7
2024-08-17,99.8,100.0,21.3
2024-08-24,101.7,100.0,13.8
2024-08-31,100.5,100.0,13.0
2024-09-07,102.0,100.0,18.1
2024-09-14,98.6,100.0,17.7
2024-09-21,101.1,100.0,17.8
2024-09-28,98.5,100.0,9.5
2024-10-05,100.5,100.0,12.7
2024-10-12,101.4,100.0,13.0
2024-10-19,100.0,100.0,16.0
2024-10-26,104.4,100.0,19.9
2024-11-02,100.5,100.0,19.7
2024-11-09,99.9,100.0,19.1
2024-11-16,99.3,100.0,26.7
2024-11-23,98.2,100.0,26.1
2024-11-30,100.6,100.0,42.0
2024-12-07,101.1,100.0,40.0
2024-12-14,101.8,100.0,44.8
2024-12-21,99.9,100.0,46.6
2024-12-28,102.6,100.0,47.6
2025-01-04,102.3,100.0,55.8
2025-01-11,98.6,100.0,63.0
2025-01-18,96.9,100.0,52.0
2025-01-25,101.2,100.0,79.2
2025-02-01,99.4,100.0,70.2
2025-02-08,102.6,100.0,74.4
2025-02-15,100.7,100.0,77.7
2025-02-22,100.0,100.0,81.3
2025-03-01,97.5,100.0,85.0
2025-03-08,102.4,100.0,74.6
2025-03-15,98.0,100.0,93.4
2025-03-22,99.3,100.0,86.0
2025-03-29,99.3,100.0,79.5
2025-04-05,101.1,100.0,89.5
2025-04-12,102.0,100.0,82.6
2025-04-19,97.5,100.0,84.7
2025-04-26,102.0,100.0,89.0
2025-05-03,98.0,100.0,78.9
2025-05-10,100.2,100.0,73.4
2025-05-17,100.8,100.0,68.7
2025-05-24,103.2,100.0,77.0
2025-05-31,99.2,100.0,63.8
2025-06-07,98.1,100.0,69.5
2025-06-14,100.3,100.0,49.0
2025-06-21,99.8,100.0,57.0
2025-06-28,101.1,100.0,47.9
2025-07-05,97.2,100.0,33.8
2025-07-12,98.8,100.0,42.5
2025-07-19,100.4,100.0,31.2
2025-07-26,101.8,100.0,32.9
2025-08-02,101.3,100.0,35.9
2025-08-09,98.9,100.0,100.0
2025-08-16,99.4,100.0,21.1
2025-08-23,98.5,100.0,20.5
2025-08-30,99.6,100.0,21.9
2025-09-06,102.2,100.0,15.8
2025-09-13,98.7,100.0,16.2
2025-09-20,98.7,100.0,17.1
2025-09-27,97.9,100.0,24.5
2025-10-04,100.0,100.0,12.6
2025-10-11,100.0,100.0,17.3
2025-10-18,99.6,100.0,17.7
2025-10-25,101.5,100.0,21.3
2025-11-01,98.9,100.0,29.3
2025-11-08,101.0,100.0,24.9
2025-11-15,96.7,100.0,18.3
2025-11-22,100.4,100.0,28.2
2025-11-29,99.5,100.0,24.5
2025-12-06,99.6,100.0,38.6
2025-12-13,102.3,100.0,39.6
2025-12-20,99.5,100.0,51.6
2025-12-27,98.7,100.0,46.0
2026-01-03,98.1,100.0,53.4
2026-01-10,101.7,100.0,57.6
2026-01-17,100.1,100.0,66.5
2026-01-24,100.4,100.0,69.2
2026-01-31,103.7,100.0,72.8
2026-02-07,102.1,100.0,78.9
2026-02-14,98.4,100.0,76.1
2026-02-21,98.8,100.0,82.9
2026-02-28,99.7,100.0,81.6
2026-03-07,99.4,100.0,85.3
2026-03-14,100.9,100.0,97.5
2026-03-21,100.0,100.0,76.8
2026-03-28,100.2,100.0,82.5
2026-04-04,100.6,100.0,81.1
2026-04-11,99.9,100.0,77.2
2026-04-18,99.3,100.0,75.7
2026-04-25,99.4,100.0,81.5
2026-05-02,100.5,100.0,85.3
2026-05-09,99.2,100.0,76.0
2026-05-16,100.1,100.0,65.8
2026-05-23,100.2,100.0,61.8
2026-05-30,99.8,100.0,60.5
2026-06-06,100.2,100.0,60.8
2026-06-13,99.5,100.0,66.5
2026-06-20,98.2,100.0,60.6
