date,units_in_stock,avg_daily_sales_14d
2023-07-01,1151,101.29
2023-07-08,1150,63.71
2023-07-15,1209,58.71
2023-07-22,1174,58.86
2023-07-29,980,87.43
2023-08-05,1140,49.14
2023-08-12,1382,48.57
2023-08-19,1436,47.29
2023-08-26,1394,70.57
2023-09-02,1588,41.71
2023-09-09,1753,40.14
2023-09-16,1977,42.71
2023-09-23,1877,64.71
2023-09-30,2000,41.14
2023-10-07,2115,43.0
2023-10-14,2262,39.86
2023-10-21,2251,65.14
2023-10-28,2396,42.86
2023-11-04,2497,48.43
2023-11-11,2590,44.29
2023-11-18,2457,83.0
2023-11-25,2540,48.14
2023-12-02,2635,55.29
2023-12-09,2672,54.86
2023-12-16,2458,93.14
2023-12-23,2382,61.86
2023-12-30,2435,61.71
2024-01-06,2495,65.71
2024-01-13,2113,110.86
2024-01-20,2000,76.29
2024-01-27,1915,71.86
2024-02-03,1759,76.71
2024-02-10,1301,134.86
2024-02-17,1110,87.14
2024-02-24,908,88.29
2024-03-02,703,91.29
2024-03-09,121,133.0
2024-03-16,436,17.29
2024-03-23,132,113.71
2024-03-30,453,18.86
2024-04-06,10,135.71
2024-04-13,431,1.43
2024-04-20,140,103.0
2024-04-27,433,20.0
2024-05-04,10,149.86
2024-05-11,483,1.43
2024-05-18,419,80.86
2024-05-25,372,86.43
2024-06-01,10,143.0
2024-06-08,458,1.43
2024-06-15,423,72.86
2024-06-22,293,73.29
2024-06-29,10,116.0
2024-07-06,466,1.43
2024-07-13,571,61.86
2024-07-20,646,56.43
2024-07-27,608,83.43
2024-08-03,682,50.86
2024-08-10,788,46.29
2024-08-17,903,46.14
2024-08-24,870,63.29
2024-08-31,947,46.29
2024-09-07,1105,42.43
2024-09-14,1238,36.86
2024-09-21,1171,69.86
2024-09-28,1243,40.14
2024-10-05,1365,44.86
2024-10-12,1536,46.0
2024-10-19,1473,71.43
2024-10-26,1572,47.14
2024-11-02,1669,43.43
2024-11-09,1794,48.57
2024-11-16,1760,71.43
2024-11-23,1837,51.29
2024-11-30,1881,56.57
2024-12-07,2034,49.14
2024-12-14,1956,84.71
2024-12-21,2018,60.86
2024-12-28,2043,60.0
2025-01-04,2005,67.0
2025-01-11,1698,110.86
2025-01-18,1641,67.57
2025-01-25,1604,74.43
2025-02-01,1631,77.14
2025-02-08,1180,123.57
2025-02-15,1072,78.71
2025-02-22,900,78.29
2025-03-01,799,84.43
2025-03-08,290,142.0
2025-03-15,76,98.14
2025-03-22,458,10.86
2025-03-29,307,84.43
2025-04-05,10,159.86
2025-04-12,402,1.43
2025-04-19,113,101.0
2025-04-26,504,16.14
2025-05-03,31,127.29
2025-05-10,440,4.43
2025-05-17,181,97.71
2025-05-24,393,25.86
2025-05-31,10,141.29
2025-06-07,495,1.43
2025-06-14,500,66.29
2025-06-21,461,63.43
2025-06-28,209,104.29
2025-07-05,147,68.29
2025-07-12,447,21.0
2025-07-19,345,66.0
2025-07-26,167,94.0
2025-08-02,480,23.86
2025-08-09,272,108.14
2025-08-16,346,54.43
2025-08-23,230,83.14
2025-08-30,273,52.29
2025-09-06,372,44.29
2025-09-13,537,46.14
2025-09-20,591,63.86
2025-09-27,725,43.29
2025-10-04,910,39.86
2025-10-11,1122,39.0
2025-10-18,1010,70.14
2025-10-25,1177,41.71
2025-11-01,1370,45.14
2025-11-08,1507,46.29
2025-11-15,1414,75.71
2025-11-22,1455,51.86
2025-11-29,1587,48.86
2025-12-06,1634,50.43
2025-12-13,1323,97.0
2025-12-20,1442,54.86
2025-12-27,1461,64.0
2026-01-03,1482,66.57
2026-01-10,1031,121.86
2026-01-17,976,72.0
2026-01-24,896,72.43
2026-01-31,877,73.86
2026-02-07,464,134.57
2026-02-14,367,82.43
2026-02-21,97,96.71
2026-02-28,448,13.86
2026-03-07,10,151.43
2026-03-14,449,1.43
2026-03-21,314,95.43
2026-03-28,101,102.43
2026-04-04,438,14.43
2026-04-11,62,109.0
2026-04-18,399,8.86
2026-04-25,219,95.43
2026-05-02,10,151.0
2026-05-09,486,1.43
2026-05-16,387,78.43
2026-05-23,212,84.0
2026-05-30,10,124.29
2026-06-06,524,1.43
2026-06-13,535,66.0
2026-06-20,521,64.0
