date,sku_id,unit_price,units_sold,cost_per_unit
2023-07-01,FMC_FACE_WASH_001,6.4,707,3.8
2023-07-08,FMC_FACE_WASH_001,8.43,420,3.8
2023-07-15,FMC_FACE_WASH_001,8.4,366,3.8
2023-07-22,FMC_FACE_WASH_001,8.46,395,3.8
2023-07-29,FMC_FACE_WASH_001,6.4,611,3.8
2023-08-05,FMC_FACE_WASH_001,8.32,342,3.8
2023-08-12,FMC_FACE_WASH_001,8.49,312,3.8
2023-08-19,FMC_FACE_WASH_001,8.37,318,3.8
2023-08-26,FMC_FACE_WASH_001,6.4,493,3.8
2023-09-02,FMC_FACE_WASH_001,8.29,292,3.8
2023-09-09,FMC_FACE_WASH_001,8.36,309,3.8
2023-09-16,FMC_FACE_WASH_001,8.35,280,3.8
2023-09-23,FMC_FACE_WASH_001,6.4,489,3.8
2023-09-30,FMC_FACE_WASH_001,8.2,250,3.8
2023-10-07,FMC_FACE_WASH_001,8.31,268,3.8
2023-10-14,FMC_FACE_WASH_001,8.34,263,3.8
2023-10-21,FMC_FACE_WASH_001,6.4,492,3.8
2023-10-28,FMC_FACE_WASH_001,8.36,282,3.8
2023-11-04,FMC_FACE_WASH_001,8.37,311,3.8
2023-11-11,FMC_FACE_WASH_001,8.26,319,3.8
2023-11-18,FMC_FACE_WASH_001,6.4,580,3.8
2023-11-25,FMC_FACE_WASH_001,8.32,334,3.8
2023-12-02,FMC_FACE_WASH_001,8.56,356,3.8
2023-12-09,FMC_FACE_WASH_001,8.56,361,3.8
2023-12-16,FMC_FACE_WASH_001,6.4,723,3.8
2023-12-23,FMC_FACE_WASH_001,8.37,392,3.8
2023-12-30,FMC_FACE_WASH_001,8.43,417,3.8
2024-01-06,FMC_FACE_WASH_001,8.32,452,3.8
2024-01-13,FMC_FACE_WASH_001,6.4,765,3.8
2024-01-20,FMC_FACE_WASH_001,8.39,479,3.8
2024-01-27,FMC_FACE_WASH_001,8.28,529,3.8
2024-02-03,FMC_FACE_WASH_001,8.42,463,3.8
2024-02-10,FMC_FACE_WASH_001,6.4,832,3.8
2024-02-17,FMC_FACE_WASH_001,8.32,496,3.8
2024-02-24,FMC_FACE_WASH_001,8.52,556,3.8
2024-03-02,FMC_FACE_WASH_001,8.43,544,3.8
2024-03-09,FMC_FACE_WASH_001,6.4,860,3.8
2024-03-16,FMC_FACE_WASH_001,8.46,596,3.8
2024-03-23,FMC_FACE_WASH_001,8.41,599,3.8
2024-03-30,FMC_FACE_WASH_001,8.3,571,3.8
2024-04-06,FMC_FACE_WASH_001,6.4,941,3.8
2024-04-13,FMC_FACE_WASH_001,8.31,581,3.8
2024-04-20,FMC_FACE_WASH_001,8.35,581,3.8
2024-04-27,FMC_FACE_WASH_001,8.43,548,3.8
2024-05-04,FMC_FACE_WASH_001,6.4,892,3.8
2024-05-11,FMC_FACE_WASH_001,8.45,1328,3.8
2024-05-18,FMC_FACE_WASH_001,8.41,520,3.8
2024-05-25,FMC_FACE_WASH_001,8.27,467,3.8
2024-06-01,FMC_FACE_WASH_001,6.4,801,3.8
2024-06-08,FMC_FACE_WASH_001,8.44,484,3.8
2024-06-15,FMC_FACE_WASH_001,8.57,441,3.8
2024-06-22,FMC_FACE_WASH_001,8.32,424,3.8
2024-06-29,FMC_FACE_WASH_001,6.4,672,3.8
2024-07-06,FMC_FACE_WASH_001,8.38,426,3.8
2024-07-13,FMC_FACE_WASH_001,8.43,422,3.8
2024-07-20,FMC_FACE_WASH_001,8.58,371,3.8
2024-07-27,FMC_FACE_WASH_001,6.4,608,3.8
2024-08-03,FMC_FACE_WASH_001,8.31,381,3.8
2024-08-10,FMC_FACE_WASH_001,8.46,350,3.8
2024-08-17,FMC_FACE_WASH_001,8.48,291,3.8
2024-08-24,FMC_FACE_WASH_001,6.4,501,3.8
2024-08-31,FMC_FACE_WASH_001,8.26,317,3.8
2024-09-07,FMC_FACE_WASH_001,8.56,282,3.8
2024-09-14,FMC_FACE_WASH_001,8.45,257,3.8
2024-09-21,FMC_FACE_WASH_001,6.4,440,3.8
2024-09-28,FMC_FACE_WASH_001,8.57,271,3.8
2024-10-05,FMC_FACE_WASH_001,8.35,311,3.8
2024-10-12,FMC_FACE_WASH_001,8.37,278,3.8
2024-10-19,FMC_FACE_WASH_001,6.4,458,3.8
2024-10-26,FMC_FACE_WASH_001,8.37,277,3.8
2024-11-02,FMC_FACE_WASH_001,8.43,294,3.8
2024-11-09,FMC_FACE_WASH_001,8.41,308,3.8
2024-11-16,FMC_FACE_WASH_001,6.4,556,3.8
2024-11-23,FMC_FACE_WASH_001,8.54,334,3.8
2024-11-30,FMC_FACE_WASH_001,8.37,340,3.8
2024-12-07,FMC_FACE_WASH_001,8.37,355,3.8
2024-12-14,FMC_FACE_WASH_001,6.4,632,3.8
