date,comp_price_avg,comp_price_min,comp_price_max
2023-07-01,7.88,7.49,8.27
2023-07-08,7.8,7.41,8.19
2023-07-15,7.94,7.54,8.34
2023-07-22,7.96,7.56,8.36
2023-07-29,8.1,7.699999999999999,8.5
2023-08-05,8.07,7.67,8.47
2023-08-12,8.29,7.879999999999999,8.7
2023-08-19,8.5,8.07,8.93
2023-08-26,8.65,8.22,9.08
2023-09-02,8.76,8.32,9.2
2023-09-09,8.99,8.540000000000001,9.44
2023-09-16,8.93,8.48,9.379999999999999
2023-09-23,9.04,8.59,9.489999999999998
2023-09-30,9.16,8.7,9.620000000000001
2023-10-07,8.95,8.5,9.399999999999999
2023-10-14,8.94,8.49,9.389999999999999
2023-10-21,8.95,8.5,9.399999999999999
2023-10-28,8.72,8.280000000000001,9.16
2023-11-04,8.73,8.290000000000001,9.17
2023-11-11,8.68,8.25,9.11
2023-11-18,8.51,8.08,8.94
2023-11-25,8.48,8.06,8.9
2023-12-02,8.31,7.890000000000001,8.73
2023-12-09,8.22,7.8100000000000005,8.63
2023-12-16,8.02,7.619999999999999,8.42
2023-12-23,7.96,7.56,8.36
2023-12-30,7.92,7.52,8.32
2024-01-06,7.72,7.33,8.11
2024-01-13,7.64,7.26,8.02
2024-01-20,7.39,7.02,7.76
2024-01-27,7.32,6.95,7.69
2024-02-03,7.3,6.9399999999999995,7.66
2024-02-10,7.14,6.779999999999999,7.5
2024-02-17,7.34,6.97,7.71
2024-02-24,7.26,6.8999999999999995,7.62
2024-03-02,7.25,6.89,7.61
2024-03-09,7.42,7.05,7.79
2024-03-16,7.43,7.06,7.8
2024-03-23,7.38,7.01,7.75
2024-03-30,7.48,7.11,7.8500000000000005
2024-04-06,7.57,7.19,7.95
2024-04-13,7.77,7.38,8.16
2024-04-20,7.9,7.5,8.3
2024-04-27,7.94,7.54,8.34
2024-05-04,8.07,7.67,8.47
2024-05-11,8.02,7.619999999999999,8.42
2024-05-18,8.14,7.73,8.55
2024-05-25,8.41,7.99,8.83
2024-06-01,8.74,8.3,9.18
2024-06-08,8.87,8.43,9.309999999999999
2024-06-15,9.1,8.639999999999999,9.56
2024-06-22,9.23,8.77,9.690000000000001
2024-06-29,9.11,8.649999999999999,9.57
2024-07-06,9.05,8.600000000000001,9.5
2024-07-13,8.91,8.46,9.36
2024-07-20,8.84,8.4,9.28
2024-07-27,8.96,8.510000000000002,9.41
2024-08-03,8.82,8.38,9.26
2024-08-10,8.65,8.22,9.08
2024-08-17,8.72,8.280000000000001,9.16
2024-08-24,8.55,8.120000000000001,8.98
2024-08-31,8.59,8.16,9.02
2024-09-07,8.59,8.16,9.02
2024-09-14,8.36,7.9399999999999995,8.78
2024-09-21,8.17,7.76,8.58
2024-09-28,8.04,7.639999999999999,8.44
2024-10-05,8.01,7.609999999999999,8.41
2024-10-12,7.77,7.38,8.16
2024-10-19,7.66,7.28,8.040000000000001
2024-10-26,7.37,7.0,7.74
2024-11-02,7.11,6.75,7.470000000000001
2024-11-09,7.02,6.67,7.369999999999999
2024-11-16,7.07,6.720000000000001,7.42
2024-11-23,7.28,6.92,7.640000000000001
2024-11-30,7.28,6.92,7.640000000000001
2024-12-07,7.26,6.8999999999999995,7.62
2024-12-14,7.37,7.0,7.74
2024-12-21,7.29,6.93,7.65
2024-12-28,7.39,7.02,7.76
