date,cci_current,cci_baseline,google_trends_score
2023-07-01,96.9,100.0,46.0
2023-07-08,99.0,100.0,44.8
2023-07-15,99.7,100.0,44.4
2023-07-22,101.4,100.0,41.2
2023-07-29,99.6,100.0,36.4
2023-08-05,100.3,100.0,29.2
2023-08-12,100.1,100.0,30.1
2023-08-19,100.8,100.0,20.5
2023-08-26,99.9,100.0,14.2
2023-09-02,97.2,100.0,20.1
2023-09-09,101.8,100.0,17.8
2023-09-16,99.4,100.0,16.9
2023-09-23,100.4,100.0,4.8
2023-09-30,99.8,100.0,19.5
2023-10-07,99.5,100.0,14.1
2023-10-14,100.8,100.0,19.0
2023-10-21,98.6,100.0,21.4
2023-10-28,98.8,100.0,15.8
2023-11-04,101.1,100.0,16.5
2023-11-11,101.9,100.0,33.8
2023-11-18,100.9,100.0,34.0
2023-11-25,100.9,100.0,25.4
2023-12-02,98.4,100.0,28.1
2023-12-09,99.6,100.0,34.3
2023-12-16,101.5,100.0,46.6
2023-12-23,100.4,100.0,54.8
2023-12-30,98.4,100.0,46.5
2024-01-06,99.9,100.0,44.6
2024-01-13,99.7,100.0,67.7
2024-01-20,102.7,100.0,48.6
2024-01-27,100.6,100.0,63.9
2024-02-03,101.1,100.0,64.7
2024-02-10,100.1,100.0,72.8
2024-02-17,98.4,100.0,83.5
2024-02-24,101.9,100.0,69.9
2024-03-02,100.0,100.0,84.8
2024-03-09,101.1,100.0,81.2
2024-03-16,100.0,100.0,80.1
2024-03-23,101.9,100.0,82.7
2024-03-30,100.5,100.0,83.2
2024-04-06,98.2,100.0,78.3
2024-04-13,97.7,100.0,79.4
2024-04-20,100.1,100.0,86.0
2024-04-27,100.4,100.0,75.9
2024-05-04,100.0,100.0,81.4
2024-05-11,100.7,100.0,74.7
2024-05-18,100.1,100.0,78.4
2024-05-25,96.5,100.0,59.2
2024-06-01,101.5,100.0,71.7
2024-06-08,99.8,100.0,49.1
2024-06-15,100.4,100.0,60.8
2024-06-22,102.0,100.0,46.6
2024-06-29,101.2,100.0,48.6
2024-07-06,102.6,100.0,43.0
2024-07-13,99.6,100.0,36.2
2024-07-20,100.3,100.0,47.2
2024-07-27,99.2,100.0,37.9
2024-08-03,99.7,100.0,35.9
2024-08-10,100.8,100.0,24.2
2024-08-17,101.7,100.0,21.7
2024-08-24,100.7,100.0,18.1
2024-08-31,100.6,100.0,22.1
2024-09-07,99.8,100.0,11.3
2024-09-14,98.6,100.0,3.3
2024-09-21,100.1,100.0,11.2
2024-09-28,96.2,100.0,18.8
2024-10-05,102.0,100.0,8.0
2024-10-12,101.1,100.0,20.6
2024-10-19,99.3,100.0,8.8
2024-10-26,102.6,100.0,24.4
2024-11-02,101.0,100.0,17.2
2024-11-09,98.5,100.0,23.3
2024-11-16,100.8,100.0,28.3
2024-11-23,99.8,100.0,32.4
