date,units_in_stock,avg_daily_sales_14d
2023-07-01,1826,60.57
2023-07-08,1410,59.43
2023-07-15,1486,55.14
2023-07-22,1429,55.86
2023-07-29,1520,50.0
2023-08-05,1501,43.57
2023-08-12,1492,43.14
2023-08-19,1502,41.57
2023-08-26,1576,39.86
2023-09-02,1520,38.71
2023-09-09,1559,35.57
2023-09-16,1508,35.57
2023-09-23,1558,35.71
2023-09-30,1568,34.14
2023-10-07,1605,36.86
2023-10-14,1551,37.14
2023-10-21,1486,40.71
2023-10-28,1437,43.71
2023-11-04,1395,44.43
2023-11-11,1484,46.43
2023-11-18,1478,51.57
2023-11-25,1393,50.71
2023-12-02,1315,62.0
2023-12-09,1444,58.14
2023-12-16,1410,62.71
2023-12-23,1248,74.71
2023-12-30,1272,75.29
2024-01-06,1190,85.71
2024-01-13,1158,89.86
2024-01-20,1169,90.14
2024-01-27,1115,99.86
2024-02-03,1074,97.29
2024-02-10,1143,96.71
2024-02-17,1088,95.57
2024-02-24,1198,87.71
2024-03-02,1136,88.71
2024-03-09,1240,86.29
2024-03-16,1073,95.14
2024-03-23,1147,88.29
2024-03-30,1247,87.0
2024-04-06,1142,88.14
2024-04-13,1109,84.0
2024-04-20,1280,76.57
2024-04-27,1301,72.14
2024-05-04,1279,76.57
2024-05-11,597,175.0
2024-05-18,1285,70.0
2024-05-25,1442,64.86
2024-06-01,1394,56.57
2024-06-08,1374,60.57
2024-06-15,1401,63.43
2024-06-22,1384,56.71
2024-06-29,1309,57.29
2024-07-06,1472,54.71
2024-07-13,1423,55.14
2024-07-20,1513,46.57
2024-07-27,1386,48.57
2024-08-03,1532,45.86
2024-08-10,1486,47.43
2024-08-17,1427,50.29
2024-08-24,1454,46.57
2024-08-31,1491,45.14
2024-09-07,1459,44.43
2024-09-14,1429,51.0
2024-09-21,1419,48.57
2024-09-28,1459,50.71
2024-10-05,1425,51.29
2024-10-12,1461,52.29
2024-10-19,1407,56.43
2024-10-26,1372,54.43
2024-11-02,1395,52.29
2024-11-09,1394,58.86
2024-11-16,1392,58.71
2024-11-23,1390,57.71
2024-11-30,1409,59.57
2024-12-07,1323,63.71
2024-12-14,1422,57.57
2024-12-21,1304,64.57
2024-12-28,1297,66.86
2025-01-04,1339,62.29
2025-01-11,1418,61.14
2025-01-18,1366,63.29
2025-01-25,1267,67.86
2025-02-01,1362,66.43
2025-02-08,1315,67.57
2025-02-15,1202,74.43
2025-02-22,1292,68.29
2025-03-01,1349,71.0
2025-03-08,1259,74.29
2025-03-15,1355,69.29
2025-03-22,1257,70.43
2025-03-29,1265,74.14
2025-04-05,1252,77.14
2025-04-12,1298,77.43
2025-04-19,1322,78.57
2025-04-26,1243,75.29
2025-05-03,1129,89.0
2025-05-10,1189,79.29
2025-05-17,1243,83.14
2025-05-24,1243,77.86
2025-05-31,1329,80.14
2025-06-07,1176,82.29
2025-06-14,1192,77.14
2025-06-21,1227,84.71
2025-06-28,1363,74.0
2025-07-05,1215,74.71
2025-07-12,1369,66.14
2025-07-19,1362,67.71
2025-07-26,1341,66.43
2025-08-02,1309,60.86
2025-08-09,870,128.71
2025-08-16,1341,61.29
2025-08-23,1473,47.57
2025-08-30,1461,50.71
2025-09-06,1436,48.57
2025-09-13,1512,45.86
2025-09-20,1474,45.57
2025-09-27,1536,40.86
2025-10-04,1686,37.29
2025-10-11,1551,40.0
2025-10-18,1504,38.71
2025-10-25,1424,38.14
2025-11-01,1450,39.14
2025-11-08,1500,41.43
2025-11-15,1490,44.0
2025-11-22,1523,44.86
2025-11-29,1520,45.29
2025-12-06,1474,43.71
2025-12-13,1422,48.71
2025-12-20,1476,50.14
2025-12-27,1380,54.0
2026-01-03,1457,49.43
2026-01-10,1361,63.43
2026-01-17,1258,67.43
2026-01-24,1271,70.0
2026-01-31,1284,81.14
2026-02-07,1319,75.29
2026-02-14,1238,82.29
2026-02-21,1188,82.29
2026-02-28,1106,90.43
2026-03-07,1138,97.71
2026-03-14,1078,97.29
2026-03-21,1129,94.57
2026-03-28,1108,100.0
2026-04-04,1007,106.29
2026-04-11,962,110.0
2026-04-18,1097,100.14
2026-04-25,1050,106.0
2026-05-02,1066,98.0
2026-05-09,1005,102.71
2026-05-16,1206,96.0
2026-05-23,1190,89.14
2026-05-30,1261,77.14
2026-06-06,1253,71.43
2026-06-13,1382,71.14
2026-06-20,1327,67.86
