date,sku_id,unit_price,units_sold,cost_per_unit
2023-07-01,FMC_FACE_WASH_001,7.92,472,3.8
2023-07-08,FMC_FACE_WASH_001,7.9,469,3.8
2023-07-15,FMC_FACE_WASH_001,8.22,396,3.8
2023-07-22,FMC_FACE_WASH_001,8.07,377,3.8
2023-07-29,FMC_FACE_WASH_001,8.02,370,3.8
2023-08-05,FMC_FACE_WASH_001,7.84,367,3.8
2023-08-12,FMC_FACE_WASH_001,8.14,314,3.8
2023-08-19,FMC_FACE_WASH_001,7.97,351,3.8
2023-08-26,FMC_FACE_WASH_001,7.88,327,3.8
2023-09-02,FMC_FACE_WASH_001,8.18,297,3.8
2023-09-09,FMC_FACE_WASH_001,8.08,300,3.8
2023-09-16,FMC_FACE_WASH_001,8.08,316,3.8
2023-09-23,FMC_FACE_WASH_001,7.82,290,3.8
2023-09-30,FMC_FACE_WASH_001,7.97,301,3.8
2023-10-07,FMC_FACE_WASH_001,7.87,293,3.8
2023-10-14,FMC_FACE_WASH_001,7.93,271,3.8
2023-10-21,FMC_FACE_WASH_001,7.94,285,3.8
2023-10-28,FMC_FACE_WASH_001,7.64,313,3.8
2023-11-04,FMC_FACE_WASH_001,8.18,301,3.8
2023-11-11,FMC_FACE_WASH_001,7.73,320,3.8
2023-11-18,FMC_FACE_WASH_001,7.85,356,3.8
2023-11-25,FMC_FACE_WASH_001,7.91,357,3.8
2023-12-02,FMC_FACE_WASH_001,7.92,357,3.8
2023-12-09,FMC_FACE_WASH_001,7.88,414,3.8
2023-12-16,FMC_FACE_WASH_001,8.22,414,3.8
2023-12-23,FMC_FACE_WASH_001,7.95,470,3.8
2023-12-30,FMC_FACE_WASH_001,7.95,449,3.8
2024-01-06,FMC_FACE_WASH_001,7.92,482,3.8
2024-01-13,FMC_FACE_WASH_001,8.35,436,3.8
2024-01-20,FMC_FACE_WASH_001,8.01,510,3.8
2024-01-27,FMC_FACE_WASH_001,7.87,526,3.8
2024-02-03,FMC_FACE_WASH_001,8.27,532,3.8
2024-02-10,FMC_FACE_WASH_001,8.06,582,3.8
2024-02-17,FMC_FACE_WASH_001,8.02,552,3.8
2024-02-24,FMC_FACE_WASH_001,7.95,567,3.8
2024-03-02,FMC_FACE_WASH_001,8.06,613,3.8
2024-03-09,FMC_FACE_WASH_001,8.05,599,3.8
2024-03-16,FMC_FACE_WASH_001,8.07,634,3.8
2024-03-23,FMC_FACE_WASH_001,8.1,587,3.8
2024-03-30,FMC_FACE_WASH_001,7.85,675,3.8
2024-04-06,FMC_FACE_WASH_001,7.94,531,3.8
2024-04-13,FMC_FACE_WASH_001,7.96,594,3.8
2024-04-20,FMC_FACE_WASH_001,7.79,668,3.8
2024-04-27,FMC_FACE_WASH_001,8.01,589,3.8
2024-05-04,FMC_FACE_WASH_001,8.06,603,3.8
2024-05-11,FMC_FACE_WASH_001,7.68,1491,3.8
2024-05-18,FMC_FACE_WASH_001,8.33,532,3.8
2024-05-25,FMC_FACE_WASH_001,8.03,525,3.8
2024-06-01,FMC_FACE_WASH_001,7.77,509,3.8
2024-06-08,FMC_FACE_WASH_001,7.81,503,3.8
2024-06-15,FMC_FACE_WASH_001,8.0,469,3.8
2024-06-22,FMC_FACE_WASH_001,8.13,422,3.8
2024-06-29,FMC_FACE_WASH_001,8.06,417,3.8
2024-07-06,FMC_FACE_WASH_001,7.7,460,3.8
2024-07-13,FMC_FACE_WASH_001,7.95,424,3.8
2024-07-20,FMC_FACE_WASH_001,8.1,414,3.8
2024-07-27,FMC_FACE_WASH_001,7.98,361,3.8
2024-08-03,FMC_FACE_WASH_001,7.88,373,3.8
2024-08-10,FMC_FACE_WASH_001,7.99,311,3.8
2024-08-17,FMC_FACE_WASH_001,8.05,310,3.8
2024-08-24,FMC_FACE_WASH_001,7.86,326,3.8
2024-08-31,FMC_FACE_WASH_001,7.99,310,3.8
2024-09-07,FMC_FACE_WASH_001,7.77,326,3.8
2024-09-14,FMC_FACE_WASH_001,8.12,290,3.8
2024-09-21,FMC_FACE_WASH_001,7.86,328,3.8
2024-09-28,FMC_FACE_WASH_001,7.87,308,3.8
2024-10-05,FMC_FACE_WASH_001,8.19,310,3.8
2024-10-12,FMC_FACE_WASH_001,8.16,289,3.8
2024-10-19,FMC_FACE_WASH_001,7.98,303,3.8
2024-10-26,FMC_FACE_WASH_001,7.86,296,3.8
2024-11-02,FMC_FACE_WASH_001,8.24,312,3.8
2024-11-09,FMC_FACE_WASH_001,7.74,356,3.8
2024-11-16,FMC_FACE_WASH_001,8.1,343,3.8
2024-11-23,FMC_FACE_WASH_001,8.21,324,3.8
2024-11-30,FMC_FACE_WASH_001,8.24,336,3.8
2024-12-07,FMC_FACE_WASH_001,8.01,396,3.8
2024-12-14,FMC_FACE_WASH_001,7.87,418,3.8
2024-12-21,FMC_FACE_WASH_001,7.97,426,3.8
2024-12-28,FMC_FACE_WASH_001,8.05,442,3.8
2025-01-04,FMC_FACE_WASH_001,7.83,482,3.8
2025-01-11,FMC_FACE_WASH_001,7.78,477,3.8
2025-01-18,FMC_FACE_WASH_001,7.97,480,3.8
2025-01-25,FMC_FACE_WASH_001,7.93,516,3.8
2025-02-01,FMC_FACE_WASH_001,8.19,540,3.8
2025-02-08,FMC_FACE_WASH_001,8.0,570,3.8
2025-02-15,FMC_FACE_WASH_001,8.03,611,3.8
2025-02-22,FMC_FACE_WASH_001,8.0,595,3.8
2025-03-01,FMC_FACE_WASH_001,7.82,606,3.8
2025-03-08,FMC_FACE_WASH_001,8.21,571,3.8
2025-03-15,FMC_FACE_WASH_001,8.1,570,3.8
2025-03-22,FMC_FACE_WASH_001,7.83,628,3.8
2025-03-29,FMC_FACE_WASH_001,7.96,639,3.8
2025-04-05,FMC_FACE_WASH_001,8.15,537,3.8
2025-04-12,FMC_FACE_WASH_001,8.1,593,3.8
2025-04-19,FMC_FACE_WASH_001,7.92,611,3.8
2025-04-26,FMC_FACE_WASH_001,7.94,600,3.8
2025-05-03,FMC_FACE_WASH_001,8.12,580,3.8
2025-05-10,FMC_FACE_WASH_001,8.03,556,3.8
2025-05-17,FMC_FACE_WASH_001,7.93,531,3.8
2025-05-24,FMC_FACE_WASH_001,8.0,522,3.8
2025-05-31,FMC_FACE_WASH_001,8.01,525,3.8
2025-06-07,FMC_FACE_WASH_001,8.21,503,3.8
2025-06-14,FMC_FACE_WASH_001,7.95,480,3.8
2025-06-21,FMC_FACE_WASH_001,8.36,430,3.8
2025-06-28,FMC_FACE_WASH_001,7.94,448,3.8
2025-07-05,FMC_FACE_WASH_001,8.16,428,3.8
2025-07-12,FMC_FACE_WASH_001,7.68,436,3.8
2025-07-19,FMC_FACE_WASH_001,8.33,368,3.8
2025-07-26,FMC_FACE_WASH_001,7.88,408,3.8
2025-08-02,FMC_FACE_WASH_001,7.91,361,3.8
2025-08-09,FMC_FACE_WASH_001,7.88,774,3.8
2025-08-16,FMC_FACE_WASH_001,8.23,305,3.8
2025-08-23,FMC_FACE_WASH_001,7.87,317,3.8
2025-08-30,FMC_FACE_WASH_001,8.01,287,3.8
2025-09-06,FMC_FACE_WASH_001,8.17,292,3.8
