date,comp_price_avg,comp_price_min,comp_price_max
2023-07-01,200.05,190.05,210.05
2023-07-08,199.06,189.11,209.01
2023-07-15,201.43,191.36,211.5
2023-07-22,199.91,189.91,209.91
2023-07-29,200.83,190.79000000000002,210.87
2023-08-05,197.66,187.78,207.54
2023-08-12,201.34,191.27,211.41
2023-08-19,199.71,189.72,209.70000000000002
2023-08-26,196.61,186.78,206.44000000000003
2023-09-02,194.76,185.01999999999998,204.5
2023-09-09,194.01,184.31,203.70999999999998
2023-09-16,192.85,183.20999999999998,202.49
2023-09-23,194.93,185.18,204.68
2023-09-30,191.88,182.29,201.47
2023-10-07,195.57,185.79,205.35
2023-10-14,195.11,185.35000000000002,204.87
2023-10-21,197.11,187.25,206.97000000000003
2023-10-28,195.61,185.83,205.39000000000001
2023-11-04,195.61,185.83,205.39000000000001
2023-11-11,192.14,182.52999999999997,201.75
2023-11-18,194.55,184.82000000000002,204.28
2023-11-25,198.83,188.89000000000001,208.77
2023-12-02,198.27,188.36,208.18
2023-12-09,197.3,187.43,207.17000000000002
2023-12-16,196.05,186.25,205.85000000000002
2023-12-23,191.83,182.24,201.42000000000002
2023-12-30,191.05,181.5,200.60000000000002
2024-01-06,190.63,181.1,200.16
2024-01-13,190.8,181.26000000000002,200.34
2024-01-20,191.53,181.95,201.11
2024-01-27,192.0,182.4,201.6
2024-02-03,196.73,186.89,206.57
2024-02-10,195.63,185.85,205.41
2024-02-17,196.8,186.96,206.64000000000001
2024-02-24,199.55,189.57000000000002,209.53
2024-03-02,199.04,189.09,208.98999999999998
2024-03-09,197.17,187.31,207.02999999999997
2024-03-16,197.03,187.18,206.88
2024-03-23,197.42,187.54999999999998,207.29
2024-03-30,198.3,188.38000000000002,208.22
2024-04-06,198.82,188.88,208.76
2024-04-13,196.92,187.07,206.76999999999998
2024-04-20,196.8,186.96,206.64000000000001
2024-04-27,193.24,183.58,202.9
2024-05-04,196.71,186.87,206.55
2024-05-11,199.83,189.84,209.82000000000002
2024-05-18,198.37,188.45000000000002,208.29
2024-05-25,195.72,185.93,205.51
2024-06-01,197.91,188.01,207.81
2024-06-08,199.48,189.51,209.45
2024-06-15,198.23,188.32,208.14
2024-06-22,195.7,185.91,205.48999999999998
2024-06-29,198.04,188.14,207.94
2024-07-06,198.31,188.39000000000001,208.23
2024-07-13,200.96,190.91,211.01000000000002
2024-07-20,201.54,191.45999999999998,211.62
2024-07-27,204.46,194.24,214.68
2024-08-03,203.12,192.96,213.28
2024-08-10,202.58,192.45000000000002,212.71
2024-08-17,203.04,192.89,213.19
2024-08-24,202.02,191.92000000000002,212.12
2024-08-31,203.12,192.96,213.28
2024-09-07,202.5,192.38,212.62
2024-09-14,201.86,191.77,211.95000000000002
2024-09-21,198.14,188.23,208.04999999999998
2024-09-28,199.46,189.49,209.43
2024-10-05,197.57,187.69,207.45
2024-10-12,197.06,187.21,206.91
2024-10-19,198.23,188.32,208.14
2024-10-26,199.8,189.81,209.79000000000002
2024-11-02,197.29,187.43,207.14999999999998
2024-11-09,203.17,193.01,213.32999999999998
2024-11-16,198.38,188.46,208.29999999999998
2024-11-23,200.28,190.27,210.29
2024-11-30,202.51,192.38,212.64
2024-12-07,198.08,188.18,207.98000000000002
2024-12-14,196.35,186.53,206.17
2024-12-21,194.91,185.16,204.66
2024-12-28,194.23,184.51999999999998,203.94
2025-01-04,195.43,185.66,205.20000000000002
2025-01-11,194.86,185.12,204.60000000000002
2025-01-18,154.26,146.54999999999998,161.97
2025-01-25,148.99,141.54000000000002,156.44
2025-02-01,153.79,146.1,161.48
2025-02-08,154.5,146.77,162.23
2025-02-15,144.9,137.65,152.15
2025-02-22,146.7,139.36999999999998,154.03
2025-03-01,151.39,143.82,158.95999999999998
2025-03-08,153.58,145.9,161.26000000000002
2025-03-15,152.14,144.52999999999997,159.75
2025-03-22,148.5,141.07,155.93
2025-03-29,145.51,138.23,152.79
2025-04-05,151.27,143.71,158.83
2025-04-12,146.59,139.26,153.92000000000002
2025-04-19,151.37,143.8,158.94
2025-04-26,154.18,146.47,161.89000000000001
2025-05-03,142.87,135.73000000000002,150.01
2025-05-10,147.09,139.74,154.44
2025-05-17,149.29,141.82999999999998,156.75
2025-05-24,148.42,141.0,155.83999999999997
2025-05-31,148.8,141.36,156.24
2025-06-07,150.82,143.28,158.35999999999999
2025-06-14,147.76,140.37,155.14999999999998
2025-06-21,153.67,145.98999999999998,161.35
2025-06-28,149.56,142.08,157.04
2025-07-05,153.82,146.13,161.51
2025-07-12,146.85,139.51,154.19
2025-07-19,148.17,140.76,155.57999999999998
2025-07-26,149.78,142.29,157.27
2025-08-02,152.98,145.32999999999998,160.63
2025-08-09,156.01,148.20999999999998,163.81
2025-08-16,155.29,147.53,163.04999999999998
2025-08-23,152.07,144.47,159.67
2025-08-30,150.65,143.12,158.18
2025-09-06,148.49,141.07000000000002,155.91
2025-09-13,149.57,142.09,157.04999999999998
2025-09-20,149.32,141.85,156.79
2025-09-27,147.43,140.06,154.8
2025-10-04,149.06,141.61,156.51
2025-10-11,150.58,143.05,158.11
2025-10-18,150.09,142.59,157.59
2025-10-25,145.83,138.54000000000002,153.12
2025-11-01,151.73,144.14,159.32
2025-11-08,150.69,143.16,158.22
2025-11-15,149.87,142.38,157.36
2025-11-22,152.36,144.74,159.98000000000002
2025-11-29,147.95,140.54999999999998,155.35
2025-12-06,149.99,142.49,157.49
2025-12-13,153.33,145.66000000000003,161.0
2025-12-20,142.97,135.82,150.12
2025-12-27,145.53,138.25,152.81
2026-01-03,153.42,145.75,161.08999999999997
2026-01-10,152.5,144.88,160.12
2026-01-17,147.55,140.17000000000002,154.93
2026-01-24,151.88,144.29,159.47
2026-01-31,149.32,141.85,156.79
2026-02-07,156.31,148.49,164.13
2026-02-14,151.73,144.14,159.32
2026-02-21,150.4,142.88,157.92000000000002
2026-02-28,155.07,147.32,162.82
2026-03-07,148.76,141.32,156.2
2026-03-14,150.74,143.20000000000002,158.28
2026-03-21,152.9,145.25,160.55
2026-03-28,149.72,142.23,157.21
2026-04-04,153.59,145.91,161.27
