date,cci_current,cci_baseline,google_trends_score
2023-07-01,98.9,100.0,44.1
2023-07-08,100.9,100.0,50.4
2023-07-15,98.9,100.0,41.1
2023-07-22,101.1,100.0,49.5
2023-07-29,99.5,100.0,39.8
2023-08-05,100.0,100.0,38.2
2023-08-12,102.5,100.0,40.9
2023-08-19,99.9,100.0,21.4
2023-08-26,96.1,100.0,30.8
2023-09-02,100.6,100.0,34.8
2023-09-09,98.8,100.0,37.0
2023-09-16,98.0,100.0,49.1
2023-09-23,97.9,100.0,24.4
2023-09-30,100.0,100.0,35.8
2023-10-07,103.1,100.0,25.6
2023-10-14,99.3,100.0,34.7
2023-10-21,100.3,100.0,35.3
2023-10-28,99.6,100.0,37.1
2023-11-04,99.1,100.0,33.0
2023-11-11,100.4,100.0,36.0
2023-11-18,99.6,100.0,40.0
2023-11-25,101.7,100.0,38.3
2023-12-02,98.9,100.0,29.3
2023-12-09,100.0,100.0,38.3
2023-12-16,103.8,100.0,37.6
2023-12-23,99.4,100.0,42.7
2023-12-30,97.2,100.0,50.6
2024-01-06,99.2,100.0,48.6
2024-01-13,101.2,100.0,49.9
2024-01-20,100.9,100.0,56.0
2024-01-27,101.4,100.0,61.4
2024-02-03,100.7,100.0,63.0
2024-02-10,100.7,100.0,51.6
2024-02-17,102.4,100.0,70.6
2024-02-24,101.3,100.0,66.9
2024-03-02,100.5,100.0,61.1
2024-03-09,99.9,100.0,66.3
2024-03-16,100.1,100.0,54.8
2024-03-23,99.4,100.0,76.1
2024-03-30,99.2,100.0,62.0
2024-04-06,101.3,100.0,71.9
2024-04-13,100.7,100.0,66.3
2024-04-20,100.5,100.0,57.6
2024-04-27,103.2,100.0,72.8
2024-05-04,98.5,100.0,61.5
2024-05-11,98.0,100.0,57.8
2024-05-18,98.9,100.0,72.3
2024-05-25,100.0,100.0,57.7
2024-06-01,97.0,100.0,58.5
2024-06-08,97.2,100.0,53.1
2024-06-15,99.8,100.0,66.5
2024-06-22,99.8,100.0,50.1
2024-06-29,98.9,100.0,44.3
2024-07-06,99.9,100.0,51.7
2024-07-13,103.2,100.0,38.1
2024-07-20,101.5,100.0,44.3
2024-07-27,99.2,100.0,44.8
2024-08-03,102.3,100.0,39.8
2024-08-10,98.8,100.0,35.3
2024-08-17,98.4,100.0,47.6
2024-08-24,100.4,100.0,36.2
2024-08-31,97.3,100.0,30.9
2024-09-07,100.4,100.0,31.7
2024-09-14,100.2,100.0,32.7
2024-09-21,99.5,100.0,32.4
2024-09-28,101.1,100.0,29.9
2024-10-05,102.7,100.0,35.4
2024-10-12,102.9,100.0,38.5
2024-10-19,101.3,100.0,37.1
2024-10-26,98.6,100.0,33.8
2024-11-02,101.7,100.0,41.5
2024-11-09,100.2,100.0,39.7
2024-11-16,98.1,100.0,28.1
2024-11-23,98.7,100.0,40.3
2024-11-30,99.6,100.0,44.9
2024-12-07,98.2,100.0,49.2
2024-12-14,99.5,100.0,42.2
2024-12-21,101.1,100.0,46.9
2024-12-28,100.1,100.0,53.2
2025-01-04,100.7,100.0,56.3
2025-01-11,101.5,100.0,55.8
2025-01-18,101.8,100.0,49.2
2025-01-25,100.2,100.0,54.1
2025-02-01,100.9,100.0,59.7
2025-02-08,100.1,100.0,53.3
2025-02-15,99.9,100.0,54.0
2025-02-22,100.0,100.0,59.3
2025-03-01,97.7,100.0,63.5
2025-03-08,99.0,100.0,67.2
2025-03-15,99.6,100.0,66.0
2025-03-22,99.1,100.0,62.2
2025-03-29,99.6,100.0,70.2
2025-04-05,98.7,100.0,68.8
2025-04-12,98.6,100.0,68.5
2025-04-19,100.7,100.0,60.8
2025-04-26,102.8,100.0,64.9
2025-05-03,98.5,100.0,68.4
2025-05-10,99.1,100.0,66.8
2025-05-17,100.0,100.0,61.1
2025-05-24,98.1,100.0,58.1
2025-05-31,101.6,100.0,54.6
2025-06-07,97.3,100.0,61.9
2025-06-14,102.5,100.0,65.0
2025-06-21,101.0,100.0,52.7
2025-06-28,101.9,100.0,48.2
2025-07-05,99.8,100.0,53.2
2025-07-12,99.2,100.0,42.7
2025-07-19,99.8,100.0,52.3
2025-07-26,100.6,100.0,37.3
2025-08-02,101.9,100.0,39.5
2025-08-09,95.9,100.0,100.0
2025-08-16,100.8,100.0,35.0
2025-08-23,99.6,100.0,39.8
2025-08-30,99.8,100.0,35.3
2025-09-06,101.4,100.0,27.4
2025-09-13,99.6,100.0,17.7
2025-09-20,100.9,100.0,34.8
2025-09-27,101.0,100.0,25.9
2025-10-04,101.0,100.0,38.2
2025-10-11,99.0,100.0,30.5
2025-10-18,97.5,100.0,32.1
2025-10-25,101.6,100.0,40.4
2025-11-01,102.1,100.0,36.2
2025-11-08,99.5,100.0,42.2
2025-11-15,100.6,100.0,34.5
2025-11-22,98.7,100.0,43.0
2025-11-29,99.2,100.0,32.5
2025-12-06,99.7,100.0,40.8
2025-12-13,99.1,100.0,53.3
2025-12-20,100.7,100.0,39.9
2025-12-27,99.1,100.0,54.9
2026-01-03,101.9,100.0,58.0
2026-01-10,99.1,100.0,53.1
2026-01-17,100.8,100.0,54.0
2026-01-24,98.6,100.0,66.8
2026-01-31,99.1,100.0,60.3
