date,units_in_stock,avg_daily_sales_14d
2023-07-01,3137,123.29
2023-07-08,2444,113.14
2023-07-15,2496,102.86
2023-07-22,2449,99.0
2023-07-29,2481,108.86
2023-08-05,2417,96.71
2023-08-12,2488,95.0
2023-08-19,2474,104.14
2023-08-26,2386,99.57
2023-09-02,2435,104.86
2023-09-09,2623,98.0
2023-09-16,2617,104.86
2023-09-23,2549,98.0
2023-09-30,2479,96.57
2023-10-07,2531,90.71
2023-10-14,2581,100.14
2023-10-21,2605,100.29
2023-10-28,2535,94.14
2023-11-04,2428,99.86
2023-11-11,2410,116.29
2023-11-18,2506,94.0
2023-11-25,2716,95.43
2023-12-02,2438,104.29
2023-12-09,2367,105.86
2023-12-16,2419,119.29
2023-12-23,2352,114.86
2023-12-30,2429,108.0
2024-01-06,2386,114.14
2024-01-13,2268,123.71
2024-01-20,2243,131.14
2024-01-27,2344,129.0
2024-02-03,2316,119.29
2024-02-10,2322,120.29
2024-02-17,2361,126.71
2024-02-24,2266,133.71
2024-03-02,2209,138.14
2024-03-09,2260,139.86
2024-03-16,2437,132.86
2024-03-23,2298,137.86
2024-03-30,2367,136.71
2024-04-06,2195,140.43
2024-04-13,2129,140.0
2024-04-20,2171,128.43
2024-04-27,2147,143.57
2024-05-04,2289,137.0
2024-05-11,892,330.86
2024-05-18,2292,126.71
2024-05-25,2142,137.0
2024-06-01,2453,102.86
2024-06-08,2441,125.86
2024-06-15,2415,125.71
2024-06-22,2252,119.57
2024-06-29,2297,117.29
2024-07-06,2404,113.71
2024-07-13,2420,107.57
2024-07-20,2414,109.57
2024-07-27,2263,109.43
2024-08-03,2435,111.86
2024-08-10,2660,95.29
2024-08-17,2484,100.57
2024-08-24,2630,92.14
2024-08-31,2525,88.86
2024-09-07,2580,93.14
2024-09-14,2489,96.86
2024-09-21,2480,97.29
2024-09-28,2526,103.57
2024-10-05,2626,98.0
2024-10-12,2543,101.0
2024-10-19,2480,96.71
2024-10-26,2444,98.86
2024-11-02,2478,95.86
2024-11-09,2698,97.0
2024-11-16,2591,96.43
2024-11-23,2439,97.71
2024-11-30,2395,112.0
2024-12-07,2408,114.43
2024-12-14,2553,99.0
2024-12-21,2314,110.86
2024-12-28,2502,102.86
2025-01-04,2364,127.29
2025-01-11,2233,127.14
2025-01-18,2246,134.14
2025-01-25,2268,126.57
2025-02-01,2211,144.71
2025-02-08,2479,137.29
2025-02-15,2316,147.86
2025-02-22,2230,133.29
2025-03-01,2269,133.29
2025-03-08,2127,151.57
2025-03-15,2183,141.71
2025-03-22,2401,134.29
2025-03-29,2134,143.86
2025-04-05,2276,147.86
2025-04-12,2257,142.43
2025-04-19,2056,145.86
2025-04-26,2095,142.14
2025-05-03,1625,219.43
2025-05-10,1829,216.57
2025-05-17,1668,218.43
2025-05-24,1807,189.14
2025-05-31,1576,217.71
2025-06-07,1933,194.29
2025-06-14,1687,199.86
2025-06-21,1749,202.86
2025-06-28,1730,197.29
2025-07-05,1970,168.71
2025-07-12,1987,193.29
2025-07-19,1938,179.0
2025-07-26,1956,178.71
2025-08-02,1994,157.86
2025-08-09,722,361.43
2025-08-16,1753,194.0
2025-08-23,2159,157.14
2025-08-30,2130,157.86
2025-09-06,2266,152.0
2025-09-13,2275,156.43
2025-09-20,1860,184.29
2025-09-27,2246,161.29
2025-10-04,1932,156.29
2025-10-11,2192,147.86
2025-10-18,2127,162.14
2025-10-25,2056,156.14
2025-11-01,2028,159.57
2025-11-08,1974,163.86
2025-11-15,2014,158.29
2025-11-22,2078,173.14
2025-11-29,1945,182.14
2025-12-06,2185,169.57
2025-12-13,2036,185.0
2025-12-20,1964,191.86
2025-12-27,1818,202.43
2026-01-03,2019,165.57
2026-01-10,1691,213.57
2026-01-17,1898,185.71
2026-01-24,1546,211.43
2026-01-31,1557,219.14
2026-02-07,1779,209.14
2026-02-14,1659,217.0
2026-02-21,1661,239.57
2026-02-28,1583,219.71
2026-03-07,1685,228.29
2026-03-14,1451,236.57
2026-03-21,1601,230.71
2026-03-28,1576,222.0
2026-04-04,1678,219.71
2026-04-11,1807,202.14
2026-04-18,1761,203.57
2026-04-25,1522,230.29
2026-05-02,1732,200.14
2026-05-09,1763,195.86
2026-05-16,1755,220.29
2026-05-23,1592,220.71
2026-05-30,1899,189.57
2026-06-06,1868,175.86
2026-06-13,1798,209.29
2026-06-20,1877,189.71
